state,districts,avg_index_score,leading_transparency,emerging_governance,limited_disclosure,minimal_transparency,no_public_signals,rate_public_ai_policy_exists,rate_ai_use_publicly_disclosed,rate_oversight_named,rate_board_policy_mentions_ai,rate_public_contact_available
AK,36,17.5,0,0,0,19,17,0.000,0.000,0.528,0.000,0.694
AL,40,19.8,0,0,0,25,15,0.000,0.000,0.625,0.000,0.725
AR,40,6.8,0,0,0,8,32,0.000,0.000,0.200,0.000,0.275
AZ,40,17.1,0,1,0,20,19,0.025,0.000,0.525,0.025,0.550
CA,44,26.5,0,3,0,30,11,0.068,0.000,0.750,0.068,0.841
CO,33,20.0,0,0,0,21,12,0.000,0.000,0.636,0.000,0.727
CT,34,21.2,0,1,0,21,12,0.029,0.000,0.647,0.000,0.735
DE,40,14.8,0,0,0,18,22,0.000,0.000,0.450,0.000,0.575
FL,44,20.9,0,1,0,27,16,0.023,0.000,0.636,0.000,0.750
GA,40,21.1,0,1,0,23,16,0.025,0.000,0.600,0.025,0.800
HI,1,0.0,0,0,0,0,1,0.000,0.000,0.000,0.000,0.000
IA,40,11.5,0,1,0,13,26,0.025,0.000,0.350,0.000,0.375
ID,40,14.0,0,1,0,16,23,0.025,0.000,0.425,0.000,0.475
IL,48,23.1,0,0,0,36,12,0.000,0.000,0.750,0.000,0.812
IN,40,10.5,0,0,0,12,28,0.000,0.000,0.300,0.000,0.450
KS,40,13.5,0,0,0,15,25,0.000,0.000,0.375,0.000,0.600
KY,40,9.8,0,0,0,11,29,0.000,0.000,0.275,0.000,0.425
LA,40,16.1,0,1,0,18,21,0.025,0.000,0.475,0.025,0.550
MA,25,18.2,0,1,0,13,11,0.040,0.000,0.560,0.040,0.520
MD,20,18.5,0,0,0,12,8,0.000,0.000,0.600,0.000,0.650
ME,30,13.0,0,0,0,12,18,0.000,0.000,0.400,0.000,0.500
MI,127,28.1,0,7,0,95,25,0.055,0.000,0.803,0.039,0.976
MN,40,13.0,0,0,0,17,23,0.000,0.000,0.425,0.000,0.450
MO,40,23.1,1,0,0,26,13,0.025,0.025,0.675,0.000,0.825
MS,40,19.6,0,0,1,24,15,0.025,0.000,0.600,0.025,0.650
MT,40,7.0,0,0,0,9,31,0.000,0.000,0.225,0.000,0.250
NC,40,11.5,0,0,0,14,26,0.000,0.000,0.350,0.000,0.450
ND,14,16.4,0,0,0,8,6,0.000,0.000,0.571,0.000,0.500
NE,40,10.8,0,0,0,14,26,0.000,0.000,0.350,0.000,0.375
NH,40,6.0,0,0,0,7,33,0.000,0.000,0.175,0.000,0.250
NJ,40,19.2,0,2,0,19,19,0.050,0.000,0.525,0.050,0.650
NM,40,15.2,0,0,0,19,21,0.000,0.000,0.475,0.000,0.575
NV,40,19.9,0,1,0,23,16,0.025,0.000,0.600,0.025,0.675
NY,45,25.7,0,1,0,34,10,0.022,0.000,0.778,0.022,0.911
OH,40,18.2,0,0,0,24,16,0.000,0.000,0.600,0.000,0.625
OK,40,11.8,0,0,0,13,27,0.000,0.000,0.325,0.000,0.525
OR,40,19.8,0,0,0,25,15,0.000,0.000,0.625,0.000,0.725
PA,40,17.2,0,1,0,20,19,0.025,0.000,0.525,0.000,0.600
RI,12,14.2,0,0,0,6,6,0.000,0.000,0.500,0.000,0.417
SC,40,14.5,0,0,0,18,22,0.000,0.000,0.450,0.000,0.550
SD,40,14.8,0,0,0,19,21,0.000,0.000,0.475,0.000,0.525
TN,25,12.4,0,0,0,10,15,0.000,0.000,0.400,0.000,0.440
TX,45,27.4,0,2,0,35,8,0.044,0.000,0.822,0.022,0.933
UT,40,13.0,0,0,0,15,25,0.000,0.000,0.375,0.000,0.550
VA,40,22.1,0,2,0,25,13,0.050,0.000,0.675,0.025,0.675
VT,40,14.5,0,0,0,16,24,0.000,0.000,0.400,0.000,0.650
WA,40,16.4,0,1,0,18,21,0.025,0.000,0.475,0.025,0.575
WI,40,12.2,0,0,0,15,25,0.000,0.000,0.375,0.000,0.475
WV,10,12.0,0,0,0,4,6,0.000,0.000,0.400,0.000,0.400
WY,40,11.5,0,0,0,15,25,0.000,0.000,0.375,0.000,0.400
