district,state,homepage
Los Angeles Unified School District,CA,https://achieve.lausd.net/
San Diego Unified School District,CA,https://sandiegounified.org/
Fresno Unified School District,CA,https://www.fresnounified.org/
Elk Grove Unified School District,CA,https://www.egusd.net/
Long Beach Unified School District,CA,https://www.lbschools.net/
San Francisco Unified School District,CA,https://www.sfusd.edu/
San Juan Unified School District,CA,https://www.sanjuan.edu/
Corona-Norco Unified School District,CA,https://www.cnusd.k12.ca.us/
San Bernardino City Unified School District,CA,https://www.sbcusd.com/
Capistrano Unified School District,CA,https://www.capousd.org/
Oakland Unified School District,CA,https://www.ousd.org/
Clovis Unified School District,CA,https://www.cusd.com/
Twin Rivers Unified School District,CA,https://www.trusd.net/
Kern High School District,CA,https://www.kernhigh.org/
Sacramento City Unified School District,CA,https://www.scusd.edu/
Santa Ana Unified School District,CA,https://www.sausd.us/
Riverside Unified School District,CA,https://www.riversideunified.org/
Chula Vista Elementary School District,CA,https://www.cvesd.org/
Anaheim Union High School District,CA,https://www.auhsd.us/
San Jose Unified School District,CA,https://www.sjusd.org/
Fontana Unified School District,CA,https://www.fusd.net/
Moreno Valley Unified School District,CA,https://www.mvusd.net/
Stockton Unified School District,CA,https://www.stocktonusd.net/
Mount Diablo Unified School District,CA,https://www.mdusd.org/
Sweetwater Union High School District,CA,https://www.sweetwaterschools.org/
San Dieguito Union High School District,CA,https://www.sduhsd.net/
Folsom Cordova Unified School District,CA,https://www.fcusd.org/
Roseville City School District,CA,https://www.rcsdk8.org/
Placentia-Yorba Linda Unified School District,CA,https://www.pylusd.org/
Poway Unified School District,CA,https://www.powayusd.com/
Saddleback Valley Unified School District,CA,https://www.svusd.org/
Conejo Valley Unified School District,CA,https://www.conejousd.org/
Irvine Unified School District,CA,https://www.iusd.org/
Newport-Mesa Unified School District,CA,https://www.nmusd.us/
Huntington Beach Union High School District,CA,https://hbuhsd.edu/
Ventura Unified School District,CA,https://www.venturausd.org/
Oxnard Union High School District,CA,https://www.oxnardunion.org/
San Mateo-Foster City School District,CA,https://www.smfc.k12.ca.us/
Palo Alto Unified School District,CA,https://www.pausd.org/
Santa Clara Unified School District,CA,https://www.santaclaraunified.org/
Torrance Unified School District,CA,https://www.tusd.org/
Bakersfield City School District,CA,https://www.bcsd.com/
Lodi Unified School District,CA,https://www.lodiusd.net/
Visalia Unified School District,CA,https://www.vusd.org/
