district,state,homepage
Miami-Dade County Public Schools,FL,https://www.dadeschools.net/
Broward County Public Schools,FL,https://www.browardschools.com/
The School District of Palm Beach County,FL,https://www.palmbeachschools.org/
Hillsborough County Public Schools,FL,https://www.hillsboroughschools.org/
Orange County Public Schools,FL,https://www.ocps.net/
Duval County Public Schools,FL,https://dcps.duvalschools.org/
Pinellas County Schools,FL,https://www.pcsb.org/
Polk County Public Schools,FL,https://www.polk-fl.net/
Lee County School District,FL,https://www.leeschools.net/
Volusia County Schools,FL,https://www.volusia.k12.fl.us/
Brevard Public Schools,FL,https://www.brevardschools.org/
Seminole County Public Schools,FL,https://www.scps.k12.fl.us/
Pasco County Schools,FL,https://www.pasco.k12.fl.us/
Osceola School District,FL,https://www.osceolaschools.net/
Collier County Public Schools,FL,https://www.collierschools.com/
Manatee County School District,FL,https://www.manateeschools.net/
Sarasota County Schools,FL,https://www.sarasotacountyschools.net/
Clay County District Schools,FL,https://www.oneclay.net/
St. Johns County School District,FL,https://www.stjohns.k12.fl.us/
Escambia County School District,FL,https://ecsd-fl.schoolloop.com/
Leon County Schools,FL,https://www.leonschools.net/
Alachua County Public Schools,FL,https://www.sbac.edu/
Okaloosa County Schools,FL,https://www.okaloosaschools.com/
Santa Rosa County District Schools,FL,https://www.santarosa.k12.fl.us/
Bay District Schools,FL,https://www.bay.k12.fl.us/
Martin County School District,FL,https://www.martinschools.org/
Charlotte County Public Schools,FL,https://www.yourcharlotteschools.net/
Hernando County School District,FL,https://www.hernandoschools.org/
Citrus County School District,FL,https://www.citrusschools.org/
Lake County Schools,FL,https://www.lake.k12.fl.us/
Marion County Public Schools,FL,https://www.marionschools.net/
Sumter County Schools,FL,https://www.sumter.k12.fl.us/
Indian River County School District,FL,https://www.sdirc.k12.fl.us/
St. Lucie Public Schools,FL,https://www.stlucie.k12.fl.us/
Monroe County School District,FL,https://www.keysschools.com/
Flagler Schools,FL,https://www.flaglerschools.com/
Putnam County School District,FL,https://www.putnamschools.org/
Highlands County Schools,FL,https://www.highlands.k12.fl.us/
Gadsden County Schools,FL,https://www.gcsedu.com/
Gulf County Schools,FL,https://www.gulf.k12.fl.us/
Jackson County School District,FL,https://www.jcsb.org/
Nassau County School District,FL,https://www.nassau.k12.fl.us/
Suwannee County Schools,FL,https://www.suwanneeschools.org/
Washington County Schools,FL,https://www.wcsdschools.com/
