district,state,homepage
Chicago Public Schools (SD 299),IL,https://www.cps.edu/
U-46 School District (Elgin Area),IL,https://www.u-46.org/
DuPage High School District 88,IL,https://www.dupage88.net/
Indian Prairie School District 204,IL,https://www.ipsd.org/
Naperville Community Unit School District 203,IL,https://www.naperville203.org/
Community Consolidated School District 15 (Palatine),IL,https://www.ccsd15.net/
Township High School District 214,IL,https://www.d214.org/
Plainfield School District 202,IL,https://www.psd202.org/
Rockford Public Schools (SD 205),IL,https://www.rps205.com/
Schaumburg School District 54,IL,https://sd54.org/
Valley View School District 365U,IL,https://www.valleyviewsd365u.org/
Joliet Public Schools District 86,IL,https://www.joliet86.org/
Peoria Public Schools District 150,IL,https://www.peoria150.org/
Springfield School District 186,IL,https://www.sps186.org/
Aurora Public Schools District 131,IL,https://www.d131.org/
East Aurora School District 131,IL,https://www.d131.org/
Oswego Community Unit School District 308,IL,https://www.sd308.org/
Waukegan Community Unit School District 60,IL,https://www.wps60.org/
Evanston/Skokie School District 65,IL,https://www.district65.net/
New Trier Township High School District 203,IL,https://www.newtrier.k12.il.us/
Maine Township High School District 207,IL,https://www.maine207.org/
Glenbrook High School District 225,IL,https://www.glenbrook225.org/
Stevenson High School District 125,IL,https://www.d125.org/
Adlai E. Stevenson District 125,IL,https://www.d125.org/
Lyons Township High School District 204,IL,https://www.lths.net/
Oak Park and River Forest High School District 200,IL,https://www.oprfhs.org/
Cicero School District 99,IL,https://www.sd99.org/
Berwyn South School District 100,IL,https://www.bsd100.org/
Berwyn North School District 98,IL,https://www.bn98.org/
Proviso Township High Schools District 209,IL,https://www.pths209.org/
Leyden High School District 212,IL,https://www.leyden212.org/
Niles Township High Schools District 219,IL,https://www.ntd219.org/
North Shore School District 112,IL,https://www.nssd112.org/
Wheeling Community Consolidated District 21,IL,https://www.ccsd21.org/
Gurnee School District 56,IL,https://www.d56.org/
Woodstock Community Unit School District 200,IL,https://www.woodstockschools.org/
Crystal Lake Community Consolidated District 47,IL,https://www.d47.org/
Community High School District 155,IL,https://www.d155.org/
Kaneland Community Unit School District 302,IL,https://www.kaneland.org/
St. Charles Community Unit School District 303,IL,https://www.d303.org/
Batavia Public School District 101,IL,https://www.bps101.net/
Geneva Community Unit School District 304,IL,https://www.geneva304.org/
District 25 (Arlington Heights),IL,https://www.sd25.org/
Northbrook District 28,IL,https://www.northbrook28.net/
Wilmette School District 39,IL,https://www.wilmette39.org/
Winnetka School District 36,IL,https://www.winnetka36.org/
Glenview School District 34,IL,https://www.glenview34.org/
Evanston Township High School District 202,IL,https://www.eths.k12.il.us/
