district,state,homepage
Berrien Springs Public Schools,MI,https://www.homeoftheshamrocks.org/
Benton Harbor Area Schools,MI,https://www.bhas.org/
St. Joseph Public Schools,MI,https://www.sjschools.org/
Gaylord Community Schools,MI,https://www.gaylordschools.com/
Mackinaw City Public Schools,MI,https://mackcity.k12.mi.us/
Clare Public Schools,MI,https://www.clare.k12.mi.us/
Farwell Area Schools,MI,https://www.farwellschools.net/
Gladwin Community Schools,MI,https://www.gladwinschools.net/
Bath Community Schools,MI,https://www.bathschools.net/
DeWitt Public Schools,MI,https://www.dewittschools.net/
Breitung Township Schools (Kingsford),MI,https://www.kingsford.org/
Norway-Vulcan Area Schools,MI,https://www.nvknights.org/
Sault Ste. Marie Area Schools,MI,https://www.saultschools.org/
Bois Blanc School District,MI,https://boisblanc.eupschools.org/
Charlotte Public Schools,MI,https://www.charlotteorioles.com/
Eaton Rapids Public Schools,MI,https://www.erpsk12.org/
Maple Valley Schools,MI,https://mvs.k12.mi.us/
Atherton Community Schools,MI,https://www.athertonschools.org/
Beecher Community School District,MI,https://www.beecherschools.org/
Grand Blanc Community Schools,MI,https://www.gbcs.org/
Houghton-Portage Township Schools,MI,https://www.hpts.us/
Calumet Laurium Keweenaw Schools,MI,https://www.clkschools.org/
Escanaba Area Public Schools,MI,https://www.eskymos.com/
Allegan Public Schools,MI,https://alleganps.org/
Fennville Public Schools,MI,https://www.fennville.org/
Hopkins Public Schools,MI,https://www.hpsvikings.org/
Otsego Public Schools,MI,https://www.otsegops.org/
Plainwell Community Schools,MI,https://www.plainwellschools.org/
Wayland Union Schools,MI,https://waylandunion.org/
Alpena Public Schools,MI,https://www.alpenaschools.com/
Delton Kellogg Schools,MI,https://www.dkschools.org/
Hastings Area School System,MI,https://www.hassk12.org/
Standish-Sterling Community Schools,MI,https://www.standish-sterling.org/
Bangor Township Schools,MI,https://www.bangorschools.org/
Essexville-Hampton Public Schools,MI,https://www.e-hps.net/
Pinconning Area Schools,MI,https://www.pasd.org/
Brandywine Community Schools,MI,https://www.brandywinebobcats.org/
Bridgman Public Schools,MI,https://www.bridgmanschools.com/
Coloma Community Schools,MI,https://www.ccs.coloma.org/
Lakeshore Public Schools,MI,https://www.lakeshoreschools.k12.mi.us/
Niles Community Schools,MI,https://nilesschools.org/
Bronson Community Schools,MI,https://www.bronsonschools.org/
Coldwater Community Schools,MI,https://www.coldwaterschools.org/
Quincy Community Schools,MI,https://www.quincyschools.org/
Crawford AuSable School District,MI,https://www.casdk12.net/
West Branch-Rose City Area Schools,MI,https://www.wbrc.k12.mi.us/
Fairview Area Schools,MI,https://www.fask12.org/
Houghton Lake Community Schools,MI,https://www.hlcsk12.net/
Battle Creek Public Schools,MI,https://www.battlecreekpublicschools.org/
Harper Creek Community Schools,MI,https://www.harpercreek.net/
Homer Community Schools,MI,https://www.homerweb.org/
Marshall Public Schools,MI,https://www.marshallpublicschools.org/
Pennfield Schools,MI,https://www.pennfield.net/
Olivet Community Schools,MI,https://www.olivetschools.org/
Beaver Island Community School,MI,https://www.beaverisland.k12.mi.us/
Boyne City Public Schools,MI,https://www.boyne.k12.mi.us/
Pellston Public Schools,MI,https://www.pellstonschools.org/
Public Schools of Petoskey,MI,https://www.petoskeyschools.org/
Cheboygan Area Schools,MI,https://www.chebschools.org/
Ovid-Elsie Area Schools,MI,https://www.ovidelsie.org/
Pewamo-Westphalia Community Schools,MI,https://www.pwschools.org/
Grand Ledge Public Schools,MI,https://www.glcomets.net/
Bendle Public Schools,MI,https://www.bendleschools.org/
Carman-Ainsworth Community Schools,MI,https://www.carman.k12.mi.us/
Byron Center Public Schools,MI,https://www.bcpsk12.net/
Cedar Springs Public Schools,MI,https://www.csredhawks.org/
East Grand Rapids Public Schools,MI,https://www.egrps.org/
Forest Hills Public Schools,MI,https://www.fhps.net/
Godwin Heights Public Schools,MI,https://www.godwinschools.org/
