district,state,homepage
New York City Department of Education,NY,https://www.schools.nyc.gov/
Buffalo Public Schools,NY,https://www.buffaloschools.org/
Rochester City School District,NY,https://www.rcsdk12.org/
Syracuse City School District,NY,https://www.syracusecityschools.com/
Yonkers Public Schools,NY,https://www.yonkerspublicschools.org/
Albany City School District,NY,https://www.albanyschools.org/
Utica City School District,NY,https://www.uticaschools.org/
Schenectady City School District,NY,https://www.schenectady.k12.ny.us/
Newburgh Enlarged City School District,NY,https://www.newburghschools.org/
Niagara Falls City School District,NY,https://www.nfschools.net/
Mount Vernon City School District,NY,https://www.mtvernoncsd.org/
White Plains City School District,NY,https://www.wpcsd.org/
Binghamton City School District,NY,https://www.binghamtonschools.org/
Ithaca City School District,NY,https://www.ithacacityschools.org/
Kingston City School District,NY,https://www.kingstoncityschools.org/
Middletown Enlarged City School District,NY,https://www.middletownk12.org/
Hempstead Union Free School District,NY,https://www.hempsteadschools.org/
Brentwood Union Free School District,NY,https://www.brentwood.k12.ny.us/
Sachem Central School District,NY,https://www.sachem.edu/
Clarkstown Central School District,NY,https://www.ccsd.edu/
North Rockland Central School District,NY,https://www.northrockland.org/
East Ramapo Central School District,NY,https://www.ercsd.org/
Baldwin Union Free School District,NY,https://www.baldwinschools.org/
Freeport Union Free School District,NY,https://www.freeportschools.org/
Uniondale Union Free School District,NY,https://www.uniondaleschools.org/
Central Islip Union Free School District,NY,https://www.centralislip.k12.ny.us/
Patchogue-Medford School District,NY,https://www.pmschools.org/
Long Beach Public Schools,NY,https://www.lbeach.org/
Commack School District,NY,https://www.commack.k12.ny.us/
Great Neck Public Schools,NY,https://www.greatneck.k12.ny.us/
Plainview-Old Bethpage Central School District,NY,https://www.pobschools.org/
Wappingers Central School District,NY,https://www.wappingersschools.org/
Arlington Central School District,NY,https://www.arlingtonschools.org/
North Syracuse Central School District,NY,https://www.nscsd.org/
Fayetteville-Manlius Central School District,NY,https://www.fmschools.org/
Liverpool Central School District,NY,https://www.liverpool.k12.ny.us/
Williamsville Central School District,NY,https://www.williamsvillek12.org/
Orchard Park Central School District,NY,https://www.orchardparksschools.org/
Cheektowaga Central School District,NY,https://www.cheektowagak12.org/
West Genesee Central School District,NY,https://www.westgenesee.org/
Guilderland Central School District,NY,https://www.guilderlandschools.org/
Niskayuna Central School District,NY,https://www.niskayuna.k12.ny.us/
East Greenbush Central School District,NY,https://egcsd.org/
Webster Central School District,NY,https://www.websterschools.org/
Fairport Central School District,NY,https://www.fairport.org/
