district,state,homepage
Houston Independent School District,TX,https://www.houstonisd.org/
Dallas Independent School District,TX,https://www.dallasisd.org/
Cypress-Fairbanks Independent School District,TX,https://www.cfisd.net/
Northside Independent School District,TX,https://www.nisd.net/
Fort Worth Independent School District,TX,https://www.fwisd.org/
Austin Independent School District,TX,https://www.austinisd.org/
El Paso Independent School District,TX,https://www.episd.org/
San Antonio Independent School District,TX,https://www.saisd.net/
Aldine Independent School District,TX,https://www.aldineisd.org/
Plano Independent School District,TX,https://www.pisd.edu/
Katy Independent School District,TX,https://www.katyisd.org/
Fort Bend Independent School District,TX,https://www.fortbendisd.com/
Spring Branch Independent School District,TX,https://www.springbranchisd.com/
Garland Independent School District,TX,https://www.garlandisd.net/
Arlington Independent School District,TX,https://www.aisd.net/
Irving Independent School District,TX,https://www.irvingisd.net/
Round Rock Independent School District,TX,https://roundrockisd.org/
Frisco Independent School District,TX,https://www.friscoisd.org/
Lewisville Independent School District,TX,https://www.lisd.net/
Richardson Independent School District,TX,https://web.risd.org/
Humble Independent School District,TX,https://www.humbleisd.net/
Klein Independent School District,TX,https://www.kleinisd.net/
Pasadena Independent School District,TX,https://www.pasadenaisd.org/
Conroe Independent School District,TX,https://www.conroeisd.net/
Pearland Independent School District,TX,https://www.pearlandisd.org/
McKinney Independent School District,TX,https://www.mckinneyisd.net/
Denton Independent School District,TX,https://www.dentonisd.org/
Mesquite Independent School District,TX,https://www.mesquiteisd.org/
Killeen Independent School District,TX,https://www.killeenisd.org/
Beaumont Independent School District,TX,https://www.bmtisd.com/
Brownsville Independent School District,TX,https://www.bisd.us/
Laredo Independent School District,TX,https://www.laredoisd.org/
United Independent School District,TX,https://www.unitedisd.org/
Corpus Christi Independent School District,TX,https://www.ccisd.us/
Lubbock Independent School District,TX,https://www.lubbockisd.org/
Amarillo Independent School District,TX,https://www.amaisd.org/
Waco Independent School District,TX,https://www.wacoisd.org/
Tyler Independent School District,TX,https://www.tylerisd.org/
College Station Independent School District,TX,https://www.csisd.org/
Bryan Independent School District,TX,https://www.bryanisd.org/
Georgetown Independent School District,TX,https://www.georgetownisd.org/
New Braunfels Independent School District,TX,https://www.nbisd.org/
San Marcos Consolidated Independent School District,TX,https://www.smcisd.net/
Judson Independent School District,TX,https://www.judsonisd.org/
Socorro Independent School District,TX,https://www.sisd.net/
