district,state,homepage
Haines Borough School District,AK,https://www.hbsd.net/
Southeast Island School District,AK,http://www.sisd.org/
Yupiit School District,AK,http://www.yupiit.org/
Annette Island School District,AK,https://aisdk12.org
Aleutian Region School District,AK,http://www.aleutregion.org/
Unalaska City School District,AK,https://www.ucsd.net/
Delta/Greely School District,AK,http://www.dgsd.k12.ak.us
Tanana City Schools,AK,http://aktcsd.schoolwires.net/site/default.aspx
Pribilof School District,AK,http://www.pribilofsd.org/
North Slope Borough School District,AK,https://www.nsbsd.org/
Aleutians East Borough School District,AK,http://www.aebsd.org/
Anchorage School District,AK,http://www.asdk12.org
Iditarod Area School District,AK,http://www.iditarodsd.org/
Kashunamiut School District,AK,http://chevakschool.org
Galena City School District,AK,https://www.galenaalaska.org/
Wrangell Public School District,AK,http://www.wrangellschools.org/
Kenai Peninsula Borough School District,AK,http://www.kpbsd.k12.ak.us/
Fairbanks North Star Borough School District,AK,https://www.k12northstar.org/
Southwest Region School District,AK,https://www.swrsd.org/
Northwest Arctic Borough School District,AK,http://www.nwarctic.org/
Kodiak Island Borough School District,AK,https://www.kibsd.org/
Ketchikan Gateway Borough School District,AK,https://www.kgbsd.org/
Bering Strait School District,AK,http://www.bssd.org/
Kake City School District,AK,https://kakeschools.com/
Juneau School District,AK,https://www.juneauschools.org/
Pelican City School District,AK,https://pelicanschool.org/
Mount Edgecumbe High School,AK,http://www.mehs.us
Copper River School District,AK,http://www.crsd.us/
Cordova City School District,AK,https://www.cordovasd.org/
Alaska Gateway School District,AK,https://www.agsd.us/
Dillingham City School District,AK,https://www.dlgsd.org/
Nome Public Schools,AK,http://www.nomeschools.com
Chatham School District,AK,https://ak01001788.schoolwires.net/
Valdez City Schools,AK,http://www.valdezcityschools.org
Chugach School District,AK,https://www.chugachschooldistrict.com/
Denali Borough School District,AK,https://www.dbsd.org
