district,state,homepage
Peoria Unified School District #11,AZ,http://www.peoriaud.k12.az.us/
Puerto Rico,AZ,https://de.pr.gov/
Fowler Elementary School District #45,AZ,https://www.fesd.org
Hawaii,AZ,http://www.hawaiipublicschools.org/
Coconino,AZ,http://coconino.az.gov
Apache Elementary School District #42,AZ,http://www.apacheelementary.org
Lake Havasu City,AZ,http://www.lhcaz.gov
Navajo,AZ,http://www.navajocountyaz.gov
Coolidge Unified School District #21,AZ,https://www.coolidgeschools.org
Elfrida Elementary School District #12,AZ,http://www.elfridaschools.org
Baboquivari Unified School District #40,AZ,http://www.busd40.org/
Kayenta Unified School District #27,AZ,http://www.kayenta.k12.az.us/
Avondale,AZ,http://www.avondale.org
Casa Grande,AZ,http://www.casagrandeaz.gov/
Ray Unified School District #3,AZ,http://www.ray.k12.az.us/default.aspx
Alpine Elementary School District #7,AZ,https://www.alpine.k12.az.us
Cedar Unified School District #25,AZ,https://www.cedarusd.org
Chinle Unified School District #24,AZ,http://www.chinleusd.k12.az.us/
Pima County Joint Technical Education District #11,AZ,http://pimajted.org
Patagonia Union High School District #20,AZ,http://patagonia.echalk.com/home.aspx
Payson Unified School District #10,AZ,https://pusd10.org/
Hackberry School District #3,AZ,http://www.mycedarhills.info
Wickenburg Unified School District #9,AZ,https://www.wickenburgschools.org/
Continental Elementary School District #39,AZ,http://continentalesd.org/
Chino Valley Unified School District #51,AZ,https://www.chinovalleyschools.com/
Prescott,AZ,http://www.prescott-az.gov/
Benson Unified School District #9,AZ,https://www.bensonusd.org
Duncan Unified School District #2,AZ,https://dusdwildkats.org
Flagstaff Unified School District #1,AZ,https://www.fusd1.org/
East Valley Institute of Technology #1,AZ,https://www.evit.com/
Glendale,AZ,https://www.glendaleaz.com/
Skull Valley Elementary School District #15,AZ,http://www.skullvalleyschool.org/home
Tucson,AZ,http://www.tucsonaz.gov/
Agua Fria Union High School District #216,AZ,http://www.aguafria.org
Lake Havasu Unified School District #1,AZ,https://www.lhusd.org
Yavapai,AZ,https://yavapaiaz.gov
Fredonia-Moccasin Unified School District #6,AZ,https://fredonia.org
Bowie Unified School District #14,AZ,http://www.bowieschools.org/
Bullhead City Elementary School District #15,AZ,http://www.bullheadschools.com
Gilbert,AZ,http://www.gilbertaz.gov
