district,state,homepage
Aspen School District 1,CO,https://aspen.gov
Aguilar Reorganized School District RE-6,CO,http://www.aguilarschools.org
Pueblo School District 60,CO,http://www.pueblocityschools.us/
Sheridan School District 2,CO,http://www.ssd2.org/
School District 27J,CO,http://sd27j.org
Pueblo County School District 70,CO,https://www.district70.org/
Julesburg School District RE-1,CO,https://www.julesburg.org/
Poudre School District R-1,CO,https://www.psdschools.org/
Boulder Valley School District RE-2,CO,http://www.bvsd.org/
Widefield School District 3,CO,http://www.wsd3.org
Englewood School District 1,CO,https://www.englewoodschools.net/
Cherry Creek School District 5,CO,https://www.cherrycreekschools.org/
Fremont RE-2 School District,CO,http://www.re-2.org/
Colorado Springs School District 11,CO,https://www.d11.org/
Adams 12 Five Star Schools,CO,https://www.adams12.org/
Thompson School District R-2J,CO,https://www.thompsonschools.org/
Montezuma-Cortez School District RE-1,CO,http://www.cortez.k12.co.us
Denver County School District 1,CO,https://www.dpsk12.org/
Fowler School District R4J,CO,http://www.fowler.k12.co.us/
Adams-Arapahoe School District 28J,CO,https://aurorak12.org/
Jefferson County School District R-1,CO,https://jeffcopublicschools.org
Burlington Public School District RE-6J,CO,http://www.burlingtonk12.org/
Miami-Yoder School District JT-60,CO,https://miamiyoder.com/
Cripple Creek-Victor School District RE-1,CO,http://www.ccvschools.org
Harrison School District 2,CO,https://www.hsd2.org/
Douglas County School District RE-1,CO,https://www.dcsdk12.org/
Hanover School District 28,CO,http://www.hanoverhornets.org/
Charter School Institute,CO,https://www.csi.state.co.us/
Edison School District 54JT,CO,http://www.edison54jt.schoolfusion.us/
Academy School District 20,CO,https://www.asd20.org/
El Paso County School District 49,CO,https://www.d49.org/
Telluride School District R-1,CO,http://tellurideschool.org/
Lewis-Palmer School District 38,CO,https://www.lewispalmer.org/
