district,state,homepage
Groton Public Schools,CT,https://www.grotonschools.org/
Westport Public Schools,CT,https://www.westportct.gov/
Colchester Public Schools,CT,http://www.colchesterct.org
Waterbury Public Schools,CT,http://www.waterbury.k12.ct.us/
Hartford Public Schools,CT,https://www.hartfordschools.org/
New Canaan Public Schools,CT,http://www.newcanaan.info/
Bridgeport Public Schools,CT,https://www.bridgeportedu.net/
Ellington Public Schools,CT,https://www.ellingtonpublicschools.org/page.cfm?p=2138
Norwich Public Schools,CT,https://www.norwichpublicschools.org/
"Regional School District 12 (serving Bridgewater, Roxbury and Washington)",CT,https://www.region-12.org/
East Hartford Public Schools,CT,http://www.ci.east-hartford.ct.us/
Monroe Public Schools,CT,https://www.monroeps.org/
Shelton Public Schools,CT,http://www.sheltonpublicschools.org/subsite/shs
Northern Mariana Islands,CT,https://www.cnmipss.org
South Windsor Public Schools,CT,http://www.southwindsorschools.org/
American Samoa,CT,https://www.doe.as/
Windsor Public Schools,CT,http://www.windsorct.org/
Torrington School District,CT,http://www.torrington.org/
Puerto Rico,CT,https://de.pr.gov/
Sherman School,CT,http://www.shermanschool.com/
Danbury Public Schools,CT,https://www.danbury.k12.ct.us
Regional School District 15 (serving Middlebury and Southbury),CT,http://www.region15.org/
Consolidated School District of New Britain,CT,https://www.csdnb.org/
Litchfield Public Schools,CT,https://www.litchfieldschools.org/
New Haven Public Schools,CT,http://www.nhps.net/
Winchester Public Schools,CT,https://www.winchesterschools.org/
Enfield Public Schools,CT,http://enfieldhigh.sharpschool.com/
Hawaii,CT,http://www.hawaiipublicschools.org/
West Hartford Public Schools,CT,http://www.whps.org/
Suffield Public Schools,CT,https://www.suffield.org
Newtown Public Schools,CT,http://www.newtown.k12.ct.us/
Regional School District 10 (serving Burlington and Harwinton),CT,http://www.region10ct.org/
Brookfield Public Schools,CT,https://www.brookfield.k12.ct.us/
Staples High School,CT,http://shs.westport.k12.ct.us/
