district,state,homepage
Milford,DE,http://www.cityofmilford.com
Milton,DE,http://milton.delaware.gov
Christina School District,DE,http://www.christinak12.org/
Houston,DE,http://www.townofhouston.com
Middletown,DE,https://www.middletown.delaware.gov/
Cape Henlopen School District,DE,http://www.capehenlopenschools.com/
Geography,DE,https://delaware.gov
Kenton,DE,http://kenton.delaware.gov
Dagsboro,DE,http://www.townofdagsboro.com
Camden,DE,http://camden.delaware.gov
Delaware City,DE,https://www.delawarecity.org/
Harrington,DE,https://harrington.delaware.gov/
Dewey Beach,DE,http://www.townofdeweybeach.com
New Castle,DE,http://www.nccde.org
American Samoa,DE,https://www.doe.as/
Sussex,DE,http://www.sussexcountyde.gov
Delmar School District,DE,https://delmar.k12.de.us/
Elsmere,DE,http://elsmere.delaware.gov
New Castle,DE,http://newcastlecity.delaware.gov
Ardencroft,DE,http://www.theardens.com/ardencroft.htm
Woodbridge School District,DE,https://www.woodbridgeraiders.net/
Laurel,DE,http://www.townoflaurel.net
Puerto Rico,DE,https://de.pr.gov/
Clayton,DE,http://clayton.delaware.gov
Ocean View,DE,http://www.oceanviewde.com
Milford School District,DE,https://www.milfordschooldistrict.org/
Ellendale,DE,http://ellendale.delaware.gov
Delmar,DE,http://www.townofdelmar.us
Seaford,DE,http://www.seafordde.com
Newark,DE,http://www.cityofnewarkde.us
Felton,DE,http://felton.delaware.gov
Smyrna,DE,http://smyrna.delaware.gov
Bridgeville,DE,http://bridgeville.delaware.gov
Frederica,DE,http://frederica.delaware.gov/
Sussex Technical School District (County-wide overlay school district),DE,http://www.sussexvt.k12.de.us/hs/
Georgetown,DE,http://www.georgetowndel.com
Bowers,DE,http://www.townofbowersbeach.org
Newport,DE,http://newport.delaware.gov
Wyoming,DE,http://wyoming.delaware.gov
Red Clay Consolidated School District,DE,http://www.redclayschools.com/
