district,state,homepage
Mid-Prairie Community School District (also extends into Iowa and Johnson Counties),IA,https://www.mphawks.org/
Carroll,IA,http://www.co.carroll.ia.us
Fremont,IA,http://www.co.fremont.ia.us
Janesville Consolidated Community School District (also extends into Black Hawk County),IA,http://www.janesville.k12.ia.us/
Butler,IA,http://www.butlercoiowa.org
Brooklyn-Guernsey-Malcom Community School District,IA,http://www.brooklyn.k12.ia.us/
Hardin,IA,http://www.co.hardin.ia.us
Council Bluffs Community School District,IA,https://www.cb-schools.org/
Ames Community School District,IA,http://www.ames.k12.ia.us/
Wapello,IA,http://www.wapellocounty.org
Plymouth,IA,https://www.co.plymouth.ia.us/
BCLUW Community School District,IA,https://bcluw-ia.schoolloop.com/
Marshall,IA,http://www.co.marshall.ia.us
Dubuque Community School District,IA,https://www.dbqschools.org/
Osceola,IA,http://osceolacountyia.org
Humboldt,IA,http://www.humboldtcountyia.org
Winneshiek,IA,https://winneshiekcounty.iowa.gov/
Sergeant Bluff-Luton Community School District,IA,https://sblschools.com/
Cherokee,IA,http://www.cherokeecountyiowa.com
Western Dubuque Community School District,IA,http://www.w-dubuque.k12.ia.us/
Poweshiek,IA,http://www.poweshiekcounty.org
Jasper,IA,http://www.co.jasper.ia.us
Turkey Valley Community School District,IA,http://www.turkeyvalleyschool.com/
Allamakee,IA,http://www.co.allamakee.ia.us
Clayton,IA,http://www.claytoncountyia.gov
Benton Community School District,IA,http://www.benton.k12.ia.us/
Orient-Macksburg Community School District (also extends into Madison County),IA,http://www.orient-macks.k12.ia.us/
Mahaska,IA,http://www.mahaskacounty.org
H-L-V Community School District (also extends into Poweshiek County),IA,http://www.hlv.k12.ia.us/
Chariton Community School District,IA,https://www.charitonschools.org/
Greene,IA,http://www.co.greene.ia.us
Tipton Community School District,IA,http://www.tipton.k12.ia.us
Secretary of State,IA,https://sos.iowa.gov/
Van Buren,IA,http://vanburencoia.org
Howard,IA,http://www.howard-county.com
United Community School District (of Boone ) (also extends into Story County),IA,https://www.unitedcomets.org/
Keokuk,IA,http://www.keokukcountyia.com
Pleasant Valley Community School District,IA,https://pleasval.org/
Black Hawk,IA,http://www.co.black-hawk.ia.us
Decorah Community School District (also extends into Allamakee County),IA,http://www.decorah.k12.ia.us/
