district,state,homepage
Clearwater,ID,http://www.clearwatercounty.org/
Shoshone,ID,https://shoshonecounty.id.gov/
Fremont,ID,http://www.co.fremont.id.us
Gooding,ID,http://www.goodingcounty.org
Kootenai,ID,http://kcgov.us
Valley,ID,http://www.co.valley.id.us/
Blaine County School District #61,ID,https://www.blaineschools.org/
Jerome,ID,http://www.jeromecountyid.us
Hawaii,ID,http://www.hawaiipublicschools.org/
Government,ID,https://www.idaho.gov
Weiser School District#431,ID,http://www.weiserschools.org
Caribou,ID,https://www.cariboucounty.us/
Payette,ID,http://www.payettecounty.org
Lincoln,ID,http://www.lincolncountyid.us/
Moscow School District#281,ID,http://msdweb.msd281.org
Bonner,ID,http://www.co.bonner.id.us
Custer,ID,http://www.co.custer.id.us/
Jefferson,ID,http://www.co.jefferson.id.us
Nampa School District#131,ID,https://www.nsd131.org/
Aberdeen School District #58,ID,http://www.aberdeen58.org/
Gooding Joint School District#231,ID,https://gsd231.org/
Minidoka,ID,http://www.minidoka.id.us
Elmore,ID,http://elmorecounty.org
Owyhee,ID,http://owyheecounty.net
Puerto Rico,ID,https://de.pr.gov/
Yellowstone,ID,http://nps.gov/yell
Northern Mariana Islands,ID,https://www.cnmipss.org
Oneida,ID,http://oneidacountyid.com/
Bannock,ID,http://www.bannockcounty.us
Bingham,ID,http://www.co.bingham.id.us
American Samoa,ID,https://www.doe.as/
Jefferson County School District #251,ID,https://www.jeffersonsd251.org/
Bonneville Joint School District#93,ID,https://www.d93schools.org/
Blaine,ID,http://www.co.blaine.id.us
Bonneville,ID,https://www.bonnevillecountyidaho.gov/
Idaho Falls School District#91,ID,https://www.d91.k12.id.us/
Franklin,ID,http://franklincountyidaho.org
Twin Falls,ID,http://www.twinfallscounty.org
Vallivue School District#139,ID,https://www.vallivue.org/
Cassia,ID,http://www.cassiacounty.org
