district,state,homepage
Vanderburgh,IN,http://www.vanderburghgov.org
Duneland School Corporation,IN,http://www.duneland.k12.in.us/
Porter Township School Corporation,IN,http://www.ptsc.k12.in.us/
Penn-Harris-Madison School Corporation,IN,https://www.phmschools.org/
Governor list,IN,http://www.in.gov/gov/
School City of Hobart,IN,http://hobart.schoolwires.com/
Westfield,IN,http://www.westfield.in.gov
Goshen,IN,http://www.goshenindiana.org/
Crawford,IN,http://www.crawfordcountyindiana.com
School City of East Chicago,IN,https://www.scec.k12.in.us/
Jennings,IN,https://jenningscounty-in.gov
Muncie,IN,http://www.cityofmuncie.com/
Mishawaka,IN,https://www.mishawaka.in.gov/
Elkhart,IN,http://www.elkhartindiana.org
Hanover Community School Corporation,IN,http://www.hanover.k12.in.us/
Carmel Clay Schools,IN,http://www1.ccs.k12.in.us
Kosciusko,IN,http://www.kcgov.com
East Allen County Schools,IN,http://www.eacs.k12.in.us
Elkhart,IN,http://www.elkhartcountyindiana.com
Warren,IN,http://www.warrencounty.in.gov/
Delaware,IN,https://www.co.delaware.in.us/
Newton,IN,http://www.newtoncounty.in.gov/
Jeffersonville,IN,http://www.cityofjeff.net/
Porter,IN,http://www.porterco.org
Fishers,IN,http://www.fishers.in.us
Daleville Community Schools,IN,http://www.daleville.k12.in.us/education/district/district.php?sectionid=1
LaPorte,IN,http://www.laportecounty.org
Clark-Pleasant Community School Corporation,IN,http://www.cpcsc.k12.in.us
Hamilton Southeastern Schools,IN,http://www.hse.k12.in.us/
Jasper,IN,http://www.jaspercountyin.gov
Lawrence,IN,https://lawrencecounty.in.gov/
Hamilton,IN,http://www.hamiltoncounty.in.gov
New Albany-Floyd County Consolidated School Corporation,IN,https://www.nafcs.k12.in.us/
Sullivan,IN,http://www.sullivancountyindiana.us/
Marshall,IN,http://www.co.marshall.in.us
Noblesville Schools,IN,https://www.noblesvilleschools.org/
Morgan,IN,https://morgancounty.in.gov/
Michigan City,IN,http://www.emichigancity.com
Ripley,IN,http://www.ripleycounty.com
Hendricks,IN,http://www.co.hendricks.in.us
