district,state,homepage
Sheridan,KS,http://www.accesskansas.org/sheridan
Hays USD 489,KS,http://www.hays489.k12.ks.us/
Coffey,KS,http://CoffeyCountyKS.org
Bluestem USD 205,KS,https://www.usd205.com/
Johnson,KS,http://www.jocogov.org
Augusta USD 402,KS,https://www.usd402.com/
Cherokee,KS,http://CherokeeCountyKS.com
Jewell,KS,http://www.nckcn.com/homepage/jewell_co/jewell.htm
Ashland USD 220,KS,http://usd220.net
Garnett USD 365,KS,https://www.usd365.org/
Nemaha Central USD 115,KS,http://www.usd115.org/
Fort Scott USD 234,KS,https://www.usd234.org
Goessel USD 411,KS,https://www.usd411.org
Graham County USD 281,KS,https://www.usd281.com
La Crosse USD 395,KS,https://www.usd395.org
Herington USD 487,KS,https://www.heringtonschools.org
Jackson,KS,http://ks-jackson.manatron.com
Hodgeman,KS,http://HodgemanCountyKS.com
Hawaii,KS,http://www.hawaiipublicschools.org/
Hutchinson USD 308,KS,https://www.usd308.com
Butler,KS,https://www.bucoks.com/
Jefferson,KS,http://www.jfcountyks.com
Douglas,KS,http://www.douglascountyks.org
Doniphan,KS,http://www.DpCountyKS.com
Caney Valley USD 436,KS,https://www.caney.com
De Soto USD 232,KS,https://www.usd232.org/
Geography,KS,https://www.kansas.gov
Puerto Rico,KS,https://de.pr.gov/
Dexter USD 471,KS,https://www.usd471.org/
Deerfield USD 216,KS,https://www.usd216.org/
Haysville USD 261,KS,http://www.usd261.com/
Haskell,KS,http://HaskellCounty.org
Holton USD 336,KS,https://www.holtonks.net
Eureka USD 389,KS,https://www.usd389.net
Chapman USD 473,KS,http://www.usd473.net
Kiowa County USD 422,KS,https://www.usd422.org
Anderson,KS,http://AndersonCountyKS.org
Blue Valley USD 384 (Riley County),KS,https://www.usd384.org
Fairfield USD 310,KS,https://www.usd310.org
Dighton USD 482,KS,https://www.usd482.org/
