district,state,homepage
Laurel,KY,https://londonky.gov/
American Samoa,KY,https://www.doe.as/
Bourbon County Schools,KY,http://www.parisky.com
McCreary,KY,http://www.mccrearycounty.com
Fulton,KY,http://www.fultoncounty.ky.gov/
Calloway,KY,http://www.callowaycounty-ky.gov
Jefferson County Public Schools,KY,https://www.jefferson.kyschools.us/
Barren County Schools,KY,http://www.barren.kyschools.us
Butler County Schools,KY,http://www.butler.kyschools.us
Campbell,KY,http://www.campbellcountyky.org
Allen County Schools,KY,http://www.allen.kyschools.us/
Fayette County Public Schools,KY,https://www.fcps.net/
Grayson,KY,http://www.graysoncountychamber.com
Corbin Independent School District,KY,https://www.corbinschools.org
McLean,KY,http://www.mcleancounty.ky.gov
Barren,KY,http://www.barrencounty.com
Newport Independent Schools,KY,http://www.newportwildcats.org/school_home.aspx?schoolID=4
Anderson,KY,http://www.kyhometown.com/lawrenceburg
Washington,KY,http://www.washingtoncountyky.com
Harrison,KY,http://www.harrisoncountyfiscalcourt.com
McCracken,KY,http://mccrackencounty.org
Nelson,KY,http://www.nelsoncountyky.com
Religion,KY,https://kentucky.gov
Adair County Schools,KY,http://www.adair.k12.ky.us/
Pendleton,KY,http://pendletoncounty.ky.gov
Leslie,KY,http://www.lesliecounty.ky.gov
Pulaski,KY,http://www.somersetpulaskichamber.com
Mercer,KY,http://www.mercercounty.ky.gov
Jackson Independent School District,KY,http://jackson-ind.k12.ky.us/JCS/Home.html
"Corbin, which serves a single city divided between Whitley and Knox Counties.",KY,http://www.corbin-ky.gov/
Eminence Independent Schools,KY,http://www.eminence.kyschools.us
Lincoln,KY,http://www.lincolnky.com
Jackson,KY,http://www.jacksoncountyky.us
Puerto Rico,KY,https://de.pr.gov/
Crittenden,KY,http://www.marionky.gov/index.shtml
Shelby,KY,https://shelbycounty.ky.gov
Erlanger-Elsmere Schools,KY,https://www.erlanger.kyschools.us/
Letcher,KY,http://www.letchercounty.ky.gov
Elliott,KY,http://elliottcounty.ky.gov
Fayette,KY,http://www.lexingtonky.gov
