district,state,homepage
Saint Bernard Parish School Board,LA,http://www.stbernard.k12.la.us/
St. Landry,LA,http://www.stlandryparishgovernment.org/
Webster,LA,http://www.websterparishla.org/index.html
Northern Mariana Islands,LA,https://www.cnmipss.org
Education,LA,https://louisiana.gov
St. Helena,LA,http://sthelenaparish.la.gov/
Tangipahoa Parish School Board,LA,http://www.tangischools.org
Jackson,LA,http://www.jacksonparishpolicejury.org/Default.aspx
Shreveport – Bossier City,LA,http://www.ci.shreveport.la.us
Ouachita Parish School Board,LA,http://www.opsb.net/
Baton Rouge,LA,https://www.brla.gov/
Lafourche Parish Public Schools,LA,http://www.lpsd.k12.la.us/
Bossier,LA,http://www.bossierparishla.gov
Red River,LA,http://rrppj.org/
Iberia,LA,http://iberiaparishgovernment.com/index.asp
American Samoa,LA,https://www.doe.as/
Lincoln,LA,http://www.lincolnparish.org/
Bossier Parish School Board,LA,http://www.bossierschools.org/
Lafayette,LA,https://www.lafayetteltravel.com
Legislature,LA,https://legis.la.gov
Avoyelles,LA,http://www.avoypj.org/
Caldwell,LA,http://www.caldwellparish.org
West Baton Rouge,LA,http://www.wbrcouncil.org/
Orleans,LA,https://nola.gov/next/home/
Cameron Parish School Board,LA,http://www.camsch.org/
DeSoto Parish School Board,LA,https://www.desotopsb.com/
Calcasieu,LA,http://www.cppj.net/
Metairie,LA,http://www.metairie.com/
Bienville,LA,http://www.bienvilleparish.org/
St. Mary,LA,https://www.stmaryparishla.gov/
Madison,LA,http://madisonparish.org
Livingston,LA,http://www.livingstonparishla.gov
West Feliciana,LA,http://www.stfrancisville.com/
East Baton Rouge Parish School Board,LA,https://ebrschools.org/
Richland,LA,https://www.rppjinfo.com/
East Baton Rouge,LA,http://www.brgov.com
Saint Tammany Parish School Board,LA,https://www.stpsb.org/
Vermilion,LA,http://vermilionparishpolicejury.com/
New Orleans Public Schools (Orleans Parish),LA,http://www.opsb.us/
Iberville,LA,http://www.ibervilleparish.com
