district,state,homepage
Geography,ME,https://www.maine.gov
Lewiston - Auburn,ME,http://www.ci.lewiston.me.us/
Yarmouth School Department,ME,http://www.yarmouth.me.us/
Cumberland,ME,http://www.cumberlandcounty.org
Gorham School Department,ME,http://www.gorhamschools.org/
American Samoa,ME,https://www.doe.as/
Lisbon School Department,ME,http://www.lisbonschoolsme.org/
"Edmunds Consolidated School - Edmunds Township, Washington County",ME,http://washingtoncountymaine.com/
Hancock,ME,http://www.co.hancock.me.us
"School Union 69 – Appleton , Hope , Lincolnville",ME,https://union.fivetowns.net/
Madawaska School Department,ME,http://www.madawaskaschools.org/
Augusta - Waterville,ME,http://www.ci.augusta.me.us/
Sagadahoc,ME,http://www.sagcounty.com
Puerto Rico,ME,https://de.pr.gov/
Northern Mariana Islands,ME,https://www.cnmipss.org
Piscataquis,ME,https://www.piscataquis.us/
Aroostook,ME,http://www.aroostook.me.us
Androscoggin,ME,http://www.androscoggincounty.com/
Lowell School Department,ME,http://www.lowell.k12.ma.us/pages/lpsd
Penobscot,ME,http://www.penobscot-county.net/
Millinocket School Department,ME,http://www.millinocketschools.org/
Oxford,ME,http://www.oxfordcounty.org
Franklin,ME,http://www.franklincounty.maine.gov/
Kennebec,ME,http://www.kennebeccounty.org
Somerset,ME,http://somersetcounty-me.org/
Bangor,ME,https://www.bangormaine.gov
Scarborough School Department,ME,http://www.scarboroughschools.org/
Hawaii,ME,http://www.hawaiipublicschools.org/
Medford School Department,ME,http://www.medfordpublicschools.org/
Lincoln,ME,http://co.lincoln.me.us
