district,state,homepage
Lamar County School District (extends into Pearl County),MS,https://www.lamarcountyschools.org/
Durant Public School District,MS,http://durant.k12.ms.us/
Coahoma County School District,MS,https://www.coahomak12.org
Drew School District,MS,http://www2.mde.k12.ms.us/6720/
Mississippi School for Mathematics and Science,MS,https://themsms.org/
Columbia School District,MS,http://www.columbiaschools.org/
Hinds County School District,MS,https://www.hinds.k12.ms.us
Cleveland School District,MS,https://www.cleveland.k12.ms.us
George County School District,MS,https://www.gcsd.us
Puerto Rico,MS,https://de.pr.gov/
Northern Mariana Islands,MS,https://www.cnmipss.org
Laurel School District,MS,http://www.laurelschools.org/
Kemper County School District,MS,https://www.kempercountyschools.org
Forrest County School District,MS,https://www.fcsd.us/
Prentiss County School District,MS,https://prentisscountyschools.com
Columbus Municipal School District,MS,https://www.columbuscityschools.org/
Newton County School District,MS,https://www.newton.k12.ms.us/
American Samoa,MS,https://www.doe.as/
McComb School District,MS,http://www.mccomb.k12.ms.us/
West Tallahatchie School District,MS,https://www.wtsdschools.org/
Itawamba Agricultural High School,MS,http://www.itawambacountyschools.com/
Copiah County School District,MS,https://www.copiah.ms
Tupelo Public School District,MS,https://www.tupeloschools.com/
Hollandale School District,MS,https://www.hollandalesd.org
Houston School District,MS,http://www.houstonmsschools.com
Leflore County School District,MS,https://www.lefcsd.org/
Natchez-Adams School District (Adams County),MS,http://www.natchezschools.org
Harrison County School District,MS,http://www.harrison.k12.ms.us
Quitman County School District,MS,https://www.qcschools.com/
Greenwood-Leflore Consolidated School District (Leflore County),MS,https://www.glcsd.org/
Hinds County Agricultural High School,MS,http://www.hindsahs.k12.ms.us
Alcorn School District,MS,https://www.alcornschools.org/
Lauderdale County School District,MS,https://www.lauderdale.k12.ms.us
Carroll County School District,MS,http://www.ccsd.ms/
Mississippi School of the Arts,MS,http://www.msabrookhaven.org
Jefferson County School District,MS,https://www.jcpsd.net
Covington County School District,MS,http://www.covingtoncountyschools.org
East Tallahatchie School District,MS,http://www.etsd.k12.ms.us/
Chickasaw County School District,MS,https://chickasaw.k12.ms.us
Clarksdale Municipal School District,MS,https://www.cmsdschools.org/
