district,state,homepage
Seward,NE,http://www.connectseward.org/cgov
Blaine,NE,http://www.blainecounty.ne.gov
Demographics,NE,https://www.nebraska.gov/
Hastings Public Schools #18,NE,https://hastingspublicschools.org/
Platte,NE,http://www.co.platte.ne.us
Thomas,NE,https://thomascountyne.gov/
Elkhorn Public Schools #10,NE,https://www.elkhornweb.org/
Legislature,NE,https://nebraskalegislature.gov
Webster,NE,http://www.co.webster.ne.us/
Pierce,NE,http://www.co.pierce.ne.us
Valentine Community Schools #6,NE,https://www.valentinecommunityschools.org/
Puerto Rico,NE,https://de.pr.gov/
Stanton,NE,https://stantoncounty.nebraska.gov/
Pender Public Schools #1,NE,http://www.penderschools.org/
Arthur,NE,https://arthurcounty.nebraska.gov/
Umo N Ho N Nation Public Schools #16,NE,http://www.unpsk-12.org/
Richardson,NE,http://www.co.richardson.ne.us/
Wheeler,NE,http://www.wheelercounty.ne.gov
Lyons-Decatur Northeast Schools #20,NE,http://www.lyonsdecaturschools.org/
Morrill,NE,https://morrillcountyne.gov
Waverly School District 145,NE,http://www.district145.org/
Sherman,NE,https://shermancounty.nebraska.gov/
Hooker,NE,http://www.co.hooker.ne.us
Greeley,NE,http://www.greeleycounty.ne.gov
Perkins,NE,http://www.co.perkins.ne.us
Cheyenne,NE,http://www.co.cheyenne.ne.us
Westside Community Schools #66,NE,https://westside66.org/
Thayer,NE,http://www.thayercounty.ne.gov/
Battle Creek Public Schools #5,NE,http://www.battlecreekpublicschools.org/
Cherry,NE,http://www.co.cherry.ne.us
Saline,NE,http://www.co.saline.ne.us
Nuckolls,NE,http://www.NuckollsCounty.NE.gov/
Keya Paha,NE,http://www.co.keya-paha.ne.us
Kimball,NE,http://www.co.kimball.ne.us
Fillmore,NE,http://www.fillmorecounty.org
Franklin,NE,http://www.co.franklin.ne.us/
Banner,NE,http://www.bannercounty-gov.us
Falls City Public Schools #56,NE,http://www.fallscity.esu6.k12.ne.us/
Howard,NE,http://www.howardcounty.ne.gov
Gosper,NE,http://www.co.gosper.ne.us
