district,state,homepage
Santa Rosa Consolidated Schools,NM,https://www.srlions.com/
Grady Municipal Schools,NM,http://www.gradyschool.com/
Dulce Independent Schools,NM,https://www.dulceschools.com/
Corrales,NM,http://www.corrales-nm.org/
Chama Valley Schools,NM,https://www.chamaschools.org/
Santa Fe,NM,https://co.santa-fe.nm.us
Chaves,NM,http://co.chaves.nm.us
Rio Rancho Public Schools,NM,https://www.rrps.net/
De Baca,NM,http://debaca.nmgenweb.us/
Tularosa Municipal Schools,NM,http://www.tularosa.k12.nm.us
Artesia,NM,http://www.artesianm.gov
San Juan,NM,http://www.sjcounty.net
Central Consolidated Schools,NM,http://www.ccsdnm.org/
San Miguel,NM,http://www.smcounty.net
Hidalgo,NM,http://www.hidalgocounty.org
Las Cruces Public Schools,NM,http://www.lcps.net/
Socorro,NM,https://www.socorronm.gov/
Grants,NM,http://www.cityofgrants.org
Los Lunas,NM,http://www.loslunasnm.gov/
Reserve Independent Schools,NM,http://www.reserve.k12.nm.us/
Clovis,NM,http://www.cityofclovis.org/
Los Alamos,NM,http://www.losalamosnm.us
Grants-Cibola County Schools,NM,https://www.gccs.k12.nm.us/
Magdalena Municipal Schools,NM,https://www.magdalena.k12.nm.us/
Geography,NM,https://www.newmexico.gov/
American Samoa,NM,https://www.doe.as/
Deming Public Schools (Luna County),NM,https://www.demingps.org/
Clovis Municipal Schools,NM,http://www.cms.k12.nm.us/
Hawaii,NM,http://www.hawaiipublicschools.org/
Sierra,NM,http://www.sierracountynm.gov/
Las Vegas,NM,https://www.lasvegasnm.gov/
Espanola Public Schools,NM,http://www.k12espanola.org
Gallup-McKinley County Schools,NM,https://www.gmcs.org
Catron,NM,http://www.catroncounty.us
Hatch Valley Public Schools,NM,https://www.hatchschools.net/
Alamogordo,NM,http://ci.alamogordo.nm.us/
Valencia,NM,http://www.co.valencia.nm.us
Socorro,NM,http://www.socorrocounty.net
Las Cruces,NM,http://www.las-cruces.org
Jemez Valley Public Schools,NM,http://www.jvps.org/
