district,state,homepage
"Tulsa Public Schools , Tulsa",OK,https://www.tulsaschools.org/
Northern Mariana Islands,OK,https://www.cnmipss.org
"Little Axe Public Schools , Norman",OK,https://www.littleaxeps.org/
Jackson,OK,http://jackson.okcounties.org
Okmulgee,OK,http://okmulgeecounty.net/
"Allen Independent School District , Allen",OK,http://www.allenisd.org/
McCurtain,OK,https://mccurtain.okcounties.org/
"Arapaho-Butler Public School District , Arapaho",OK,http://www.arapaho.k12.ok.us/
"Muskogee Public Schools , Muskogee",OK,http://muskogee.schoolwires.net/muskogee/site/default.asp
"Union Public Schools , Tulsa",OK,http://www.unionps.org/
"Oklahoma City Public Schools , Oklahoma City",OK,https://www.okcps.org/
Marshall,OK,https://marshall.okcounties.org/
Johnston,OK,http://www.johnstoncountyok.org
Woodward,OK,http://woodwardcounty.org
"Tahlequah Public Schools , Tahlequah",OK,http://www.tahlequahschools.org/
Murray,OK,http://www.visitmurraycountyok.com
Choctaw,OK,https://www.hugook.com/choctaw-county-government-offices/
Sports,OK,https://www.ok.gov/
Kingfisher,OK,https://kingfisher.okcounties.org/
Comanche,OK,http://www.comanchecounty.us
Cleveland,OK,http://www.ccok.us
"Skiatook Public Schools , Skiatook",OK,https://www.skiatookschools.org/
"Lawton Public Schools , Lawton",OK,https://www.lawtonps.org/
Oklahoma,OK,http://www.oklahomacounty.org
Washington,OK,http://www.countycourthouse.org
"Cave Springs Public Schools , Bunch",OK,http://www.cavesprings.k12.ok.us/
Pawnee,OK,http://www.cityofpawnee.com/county-of-pawnee
Delaware,OK,https://delaware.okcounties.org/
List of vocational technical schools in Oklahoma,OK,http://www.okcareertech.org/
Stephens,OK,https://www.stephenscountyok.com/
Nowata,OK,http://nowata.com/
Pittsburg,OK,http://pittsburg.okcounties.org
Harmon,OK,https://oklahoma.gov/okdhs/library/resources/harmonrd211.html
"Deer Creek Public Schools , Edmond",OK,http://www.deercreekschools.org/
"Owasso Public Schools , Owasso",OK,http://owassops.org/
"Bartlesville Public Schools , Bartlesville",OK,https://www.bps-ok.org/
"Fort Gibson Public Schools , Fort Gibson",OK,http://www.ftgibson.k12.ok.us/
Government governor ( list ),OK,http://www.state.ok.us/
Hawaii,OK,http://www.hawaiipublicschools.org/
Jefferson,OK,http://www.jeffcoinfo.org
