district,state,homepage
Demographics,OR,https://www.oregon.gov/
Jackson,OR,http://www.co.jackson.or.us
Tillamook School District,OR,http://www.tillamook.k12.or.us/
"North Lake School District , Silver Lake",OR,http://www.nlake.k12.or.us/
Springfield School District,OR,http://www.springfield.k12.or.us
Deschutes,OR,https://www.deschutes.org/
Tigard-Tualatin School District,OR,https://www.ttsdschools.org/
Tigard,OR,http://www.tigard-or.gov/
Greater Albany Public School District,OR,https://albany.k12.or.us/
McMinnville School District,OR,http://www.msd.k12.or.us/
Lake County School District (Lakeview School District),OR,http://www.lakeview.k12.or.us
Estacada School District,OR,http://www.estacada.k12.or.us/
"Crook County School District , Prineville",OR,http://www.crookcounty.k12.or.us
Umatilla,OR,http://www.co.umatilla.or.us
Milton-Freewater Unified School District,OR,https://www.miltfree.k12.or.us/
"David Douglas School District , Portland",OR,https://www.ddouglas.k12.or.us/
"Parkrose School District , Portland",OR,http://www.parkrose.k12.or.us/
"Pine Eagle School District , Halfway",OR,http://www.pineeaglesd.org
Morrow,OR,http://www.morrowcountyoregon.com
Wheeler,OR,http://www.wheelercountyoregon.com
West Linn-Wilsonville School District,OR,https://www.wlwv.k12.or.us/
Culver School District,OR,http://www.culver.k12.or.us/
Scappoose School District,OR,https://www.scappoosek12.org/
"Cascade School District , Turner",OR,http://www.cascade.k12.or.us/
Hillsboro School District,OR,https://www.hsd.k12.or.us/
"Lincoln County School District , Newport",OR,https://lincoln.k12.or.us/
Philomath School District,OR,https://www.philomathsd.net/
Coos Bay School District,OR,https://www.cbd9.net/
Clackamas,OR,http://www.clackamas.us
Clatsop,OR,http://www.co.clatsop.or.us
Roseburg School District (Douglas County School District 4),OR,http://www.roseburg.k12.or.us/
Phoenix-Talent School District,OR,https://www.phoenix.k12.or.us/
Malheur,OR,http://www.malheurco.org
Columbia,OR,http://www.co.columbia.or.us
Hermiston School District,OR,https://www.hermiston.k12.or.us/
Portland Public Schools,OR,https://www.pps.net
"Central Curry School District , Gold Beach",OR,http://www.ccsd.k12.or.us/
"Centennial School District , Portland",OR,https://www.csd28j.org/
Ashland School District,OR,http://www.ashland.k12.or.us/
Harrisburg School District,OR,http://www.harrisburg.k12.or.us/
