district,state,homepage
Northern Cambria School District (Third Class),PA,http://www.ncsd.k12.pa.us
Kiski Area School District (Third Class; also extends into Armstrong County),PA,https://www.kiskiarea.com/
Carbondale Area School District (Third Class),PA,http://gateway.ca.k12.pa.us/
Lawrence,PA,http://www.co.lawrence.pa.us
Towanda Area School District (Third Class),PA,http://www.tsd.k12.pa.us/
Wyomissing Area School District (Third Class),PA,http://www.wyoarea.org/
Saint Clair Area School District (Third Class),PA,http://www.saintclairsd.org/
Allentown City School District (Second Class),PA,http://www.allentownsd.org/
Mars Area School District (Third Class),PA,http://www.marsk12.org
Erie City School District (Second Class),PA,https://www.eriesd.org/
Lower Moreland Township School District (Third Class),PA,http://lmtsd.org
Allegheny,PA,http://www.county.allegheny.pa.us/
Hempfield School District (Third Class),PA,http://www.hempfieldsd.org
Kane Area School District (Third Class; also extends into Elk County),PA,https://www.edline.net/pages/Kane_ASD
Mifflinburg Area School District (Third Class),PA,http://www.mifflinburg.org/
Avonworth School District (Third Class),PA,http://www.avonworth.k12.pa.us/
Susquenita School District (Third Class; also extends into Dauphin County),PA,http://www.susq.k12.pa.us
Penncrest School District (Third Class; also extends into Venango County),PA,http://penncrest.org/
Union Area School District (Third Class),PA,http://www.union.k12.pa.us/site/default.aspx?PageID=1
General McLane School District (Third Class),PA,https://www.generalmclane.org
Monessen City School District (Third Class),PA,http://monessenschooldistrict.com/site/default.aspx?PageID=1
Greenville Area School District (Third Class),PA,http://www.greenville.k12.pa.us/
Upper Adams School District (Third Class),PA,http://www.upperadams.org/
Danville Area School District (Third Class; also extends into Northumberland County),PA,http://www.danville.k12.pa.us/
Fox Chapel Area School District (Second Class),PA,http://www.fcasd.edu/
Union School District (Third Class),PA,http://www.unionsd.net/
Northern Mariana Islands,PA,https://www.cnmipss.org
Reynolds School District (Third Class),PA,http://www.reynolds.k12.pa.us/pages/reynolds
East Allegheny School District (Third Class),PA,http://www.eawildcats.net/
Conemaugh Township Area School District (Third Class),PA,http://www.ctasd.org/
Pequea Valley School District (Third Class),PA,http://www.pvsd.k12.pa.us/
Shikellamy School District (Third Class),PA,http://www.shikbraves.org/
California Area School District (Third Class),PA,https://www.calsd.org/
Moniteau School District (Third Class),PA,http://www.moniteau.k12.pa.us
Eastern Lebanon County School District (Third Class),PA,http://www.elcosd.org
Pen Argyl Area School District (Third Class),PA,http://www.penargylschooldistrict.org
Venango,PA,https://www.co.venango.pa.us/
Methacton School District (Third Class),PA,http://www.methacton.org/
Sullivan,PA,http://www.sullivancounty-pa.us
Monroe,PA,http://www.co.monroe.pa.us
