district,state,homepage
Cranston School District,RI,http://www.cps.k12.ri.us/
Providence School District,RI,http://providenceschools.org/
Chariho Regional School District,RI,http://www.chariho.k12.ri.us/
North Kingstown School District,RI,https://www.nksd.net/
American Samoa,RI,https://www.doe.as/
Northern Mariana Islands,RI,https://www.cnmipss.org
Central Falls School District,RI,http://www.cfschools.net/
East Greenwich School District,RI,http://egsd.net
North Smithfield School District,RI,https://www.northsmithfieldschools.com/
Puerto Rico,RI,https://de.pr.gov/
Bristol Warren Regional School District,RI,https://www.bwrsd.org/
Hawaii,RI,http://www.hawaiipublicschools.org/
