district,state,homepage
Geography Rivers,SC,https://www.sc.gov/
Clarendon County School District 1,SC,http://clarendon1.k12.sc.us
Dillon,SC,https://dilloncountysc.org
Allendale,SC,http://www.allendalecounty.com
Laurens,SC,https://laurenscounty.us/
Greenwood,SC,http://www.co.greenwood.sc.us
Charleston County School District,SC,http://www.ccsdschools.com
York 2 (Clover),SC,http://www.clover2.k12.sc.us/index.php
Anderson,SC,http://www.andersoncountysc.org
Legislature,SC,https://www.scstatehouse.gov/
Chester,SC,http://www.chestercounty.org
Northern Mariana Islands,SC,https://www.cnmipss.org
"Richland 2 (NE Columbia, Spring Valley)",SC,https://www.richland2.org/
Orangeburg,SC,http://www.orangeburgcounty.org
Saluda,SC,http://www.saludacounty.sc.gov
"Lexington 2 (Cayce, Springdale, West Columbia)",SC,https://www.lex2.org
Greenville,SC,https://greenville.k12.sc.us/
Georgetown,SC,http://www.gcsd.k12.sc.us/
Colleton County School District,SC,http://colleton.k12.sc.us
Newberry,SC,http://www.newberrycounty.org
Chesterfield County School District,SC,http://www.chesterfield.k12.sc.us/
Abbeville,SC,http://www.abbevillecountysc.com
Lexington 3 (Batesburg-Leesville),SC,https://www.lex3.org
Colleton,SC,http://www.colletoncounty.org
Spartanburg County School District 7 (Spartanburg Downtown/East),SC,http://www.spart7.org
Jasper,SC,http://www.jaspercountysc.org
Lancaster,SC,http://mylancastersc.org
Bamberg,SC,http://www.bambergcountysc.gov
Lexington,SC,http://www.lex-co.com
Lancaster,SC,http://www.lancastercsd.com
Bamberg County School District 1,SC,http://bamberg1.schoolinsites.com/
Darlington,SC,http://www.darcosc.com
Berkeley County School District,SC,https://www.bcsdschools.net
York 4 (Fort Mill),SC,http://www.fort-mill.k12.sc.us/
York 1 (York),SC,http://www.york.k12.sc.us/
Hampton,SC,http://www.hamptoncountysc.org
Berkeley,SC,http://berkeleycountysc.gov
Edgefield,SC,https://edgefieldcounty.sc.gov/
Anderson County School District 5,SC,https://www.anderson5.net/
Chesterfield,SC,http://www.chesterfieldcountysc.com
