district,state,homepage
Fall River,SD,http://fallriver.sdcounties.org
Northern Mariana Islands,SD,https://www.cnmipss.org
Tea Area School District,SD,http://www.teaschools.k12.sd.us/teaschools/site/default.asp
Edgemont School District,SD,https://www.edgemont.k12.sd.us/
Hanson,SD,https://www.hansoncounty.net/
Brandon Valley School District,SD,http://www.brandonvalley.k12.sd.us/
Corson,SD,http://corson.sdcounties.org
Lennox School District,SD,http://www.lennox.k12.sd.us
Sioux Falls School District,SD,http://www.sf.k12.sd.us/
Mellette,SD,https://mellettecounty.org/
Elk Point-Jefferson School District,SD,http://www.epj.k12.sd.us
White Lake School District,SD,http://www.whitelake.k12.sd.us
Jerauld,SD,https://jerauldcountysd.com/
Brookings,SD,http://www.brookingscountysd.gov
Pierre Indian Learning Center,SD,https://pilc.k12.sd.us/
Hughes,SD,http://www.hughescounty.org
Webster School District,SD,http://webster.k12.sd.us/
Kingsbury,SD,http://kingsbury.sdcounties.org
Huron School District,SD,https://www.huron.k12.sd.us/
Pennington,SD,http://www.co.pennington.sd.us
Roberts,SD,http://roberts.sdcounties.org
Douglas,SD,https://douglas.sdcounties.org/
Stanley,SD,http://www.stanleycounty.org
Ziebach,SD,https://ziebachcounty.org/
Beadle,SD,http://beadle.sdcounties.org
Codington,SD,http://www.codington.org
American Samoa,SD,https://www.doe.as/
Government delegations elections,SD,http://www.sd.gov
Marshall,SD,http://marshall.sdcounties.org/
McCook,SD,http://www.mccookcountysd.com
Sanborn Central School District School Website,SD,http://www.sanborncentral.com/index.html
Sioux Valley School District,SD,https://www.svs.k12.sd.us/
Puerto Rico,SD,https://de.pr.gov/
Faith School District,SD,http://www.faith.k12.sd.us
Walworth,SD,http://walworthco.org
Aurora,SD,https://www.districtiii.org/district/aurora.php
Oglala Lakota,SD,https://oglalalakota.sdcounties.org/
Baltic School District,SD,http://baltic.k12.sd.us
Hot Springs School District,SD,https://www.hssd.k12.sd.us/
Davison,SD,http://www.davisoncounty.org
