district,state,homepage
Winooski,VT,http://www.winooskivt.org/
Barre (city),VT,http://www.ci.barre.vt.us/
Woodstock,VT,http://www.townofwoodstock.org/
Springfield,VT,https://springfieldvt.gov/
Hinesburg,VT,http://www.hinesburg.org/
Shelburne,VT,http://www.shelburnevt.org/
Grafton,VT,https://graftonvt.org/
Royalton,VT,http://www.royaltonvt.com
Marlboro,VT,https://marlborovt.us/
Thetford,VT,http://www.thetfordvermont.us/
Enosburgh,VT,https://www.enosburghvt.org/
Waterville,VT,http://www.watervillevt.org/
Chester,VT,https://www.chestervt.gov/
Plymouth,VT,https://www.plymouthvt.org/
Randolph,VT,http://www.randolph.vt.us/
Fair Haven,VT,http://www.fairhavenvt.org/
Montpelier,VT,https://eastmontpeliervt.org/
Barnard,VT,https://barnardvt.us/
Lincoln,VT,https://lincolnvermont.org
Norwich,VT,http://www.norwich.vt.us
Brookline,VT,http://www.brooklinevt.com/
Barton,VT,https://www.bartonvermont.com/
Benson,VT,http://www.benson-vt.com
Newfane,VT,https://newfanevt.com
St. Albans (city),VT,http://www.stalbansvt.com/
Sheldon,VT,http://www.ci.sheldon.vt.us
Bethel,VT,https://townofbethelvt.com/
Milton,VT,http://www.miltonvt.org/
Ludlow,VT,https://www.ludlow.vt.us/
Middlesex,VT,http://www.middlesexvermont.org
Craftsbury,VT,http://www.townofcraftsbury.com
Westminster,VT,http://www.westminstervt.org/
Johnson,VT,http://www.townofjohnson.com/
Andover,VT,https://www.andovervt.org/
Franklin,VT,http://www.franklinvermont.com/
Sheffield,VT,https://www.sheffieldvt.org/
South Hero,VT,https://southherovt.org/
Cambridge,VT,http://www.cambridge.vermont.gov
Chelsea,VT,https://www.chelseavt.org
Hancock,VT,http://hancockvt.us/
