district,state,homepage
Janesville,WI,http://www.ci.janesville.wi.us/
Central/Westosha UHS School District,WI,http://www.westosha.k12.wi.us
Watertown,WI,http://www.ci.watertown.wi.us
Middleton,WI,http://ci.middleton.wi.us/
West Bend,WI,http://www.ci.west-bend.wi.us/
Kaukauna,WI,http://www.cityofkaukauna.com/
Walworth J1 School District,WI,http://www.walworth.k12.wi.us/
Waukesha School District,WI,http://www.waukesha.k12.wi.us/
Cochrane-Fountain City School District,WI,http://www.cfc.k12.wi.us/
Arrowhead UHS School District,WI,http://www.arrowheadschools.org/
Lakeland UHS School District,WI,https://www.luhs.k12.wi.us/
Kewaunee,WI,http://www.kewauneeco.org
McFarland School District,WI,https://www.mcfarland.k12.wi.us/
Mequon,WI,http://www.ci.mequon.wi.us
Madison Metropolitan School District,WI,https://www.madison.k12.wi.us/
Hudson,WI,http://www.ci.hudson.wi.us/
New Lisbon School District,WI,http://www.newlisbon.k12.wi.us/
West Allis,WI,http://www.ci.west-allis.wi.us/
Walworth,WI,http://www.co.walworth.wi.us
Muskego-Norway School District,WI,http://www.MuskegoNorway.org
Great River Road,WI,https://experiencemississippiriver.com/
Manitowoc,WI,https://www.manitowoc.org/
Brookfield,WI,https://www.ci.brookfield.wi.us/
Oak Creek-Franklin Joint School District,WI,http://www.oakcreekwi.org/
Northern Mariana Islands,WI,https://www.cnmipss.org
Hawaii,WI,http://www.hawaiipublicschools.org/
Rice Lake Area School District,WI,https://www.ricelake.k12.wi.us/
La Crosse,WI,http://www.co.la-crosse.wi.us
Monroe,WI,https://www.co.monroe.wi.us/
Washburn,WI,http://www.co.washburn.wi.us
Crawford,WI,http://www.crawfordcountywi.org
Howard-Suamico School District,WI,https://www.hssdschools.org
Kenosha School District,WI,https://www.kusd.edu/
Caledonia,WI,http://www.caledoniawi.com
Green Lake,WI,http://www.co.green-lake.wi.us
Greenfield,WI,http://www.ci.greenfield.wi.us/
Milwaukee,WI,http://www.county.milwaukee.gov
South Shore School District,WI,https://sshore.org/
Cudahy,WI,http://www.cudahy-wi.gov/
Cumberland School District,WI,http://www.cumberland.k12.wi.us
