district,state,homepage
Jefferson County Schools,WV,https://www.jcswv.org/
Kanawha County Schools,WV,http://kcs.kana.k12.wv.us/kcs11/
Northern Mariana Islands,WV,https://www.cnmipss.org
McDowell County Schools,WV,http://boe.mcdo.k12.wv.us/
Puerto Rico,WV,https://de.pr.gov/
Gilmer County Schools,WV,http://www.boe.gilmer.k12.wv.us
American Samoa,WV,https://www.doe.as/
Hawaii,WV,http://www.hawaiipublicschools.org/
Pendleton County Schools,WV,https://pendletoncountyschools.com
Marion County Schools,WV,http://www.marioncountywv.com
