district,state,homepage,index_score,tier,found_policy_url,found_tech_url,found_contact_url,notes,score_0_to_5,public_ai_policy_exists,evidence_public_ai_policy_exists,ai_use_publicly_disclosed,evidence_ai_use_publicly_disclosed,oversight_named,evidence_oversight_named,board_policy_mentions_ai,evidence_board_policy_mentions_ai,public_contact_available,evidence_public_contact_available
…",1,"ni Community City of Eastpointe City of Warren Eastpointe Library Warren Public Library Home Our District Staff Telephone & Email Directory Staff Directory Eastpointe Community Schools Administration Administrative Center 24685 Kelly Road Eastpointe , MI 48021 P: (586) 533-3000 O…"
Alachua County Public Schools,FL,https://www.sbac.edu/,0,No Public AI Governance Signals,,,,"Missing: policy, tech, contact (crawl limited)",0,0,,0,,0,,0,,0,
Article VIII Community Relations
Article VIII Community Relations
Beecher Community School District,MI,https://www.beecherschools.org/,0,No Public AI Governance Signals,,,,"Missing: policy, tech, contact (crawl limited)",0,0,,0,,0,,0,,0,
Brentwood Union Free School District,NY,https://www.brentwood.k12.ny.us/,0,No Public AI Governance Signals,,,,"Missing: policy, tech, contact (crawl limited)",0,0,,0,,0,,0,,0,
Cicero School District 99,IL,https://www.sd99.org/,0,No Public AI Governance Signals,,,,"Missing: policy, tech, contact (crawl limited)",0,0,,0,,0,,0,,0,
Escambia County School District,FL,https://ecsd-fl.schoolloop.com/,0,No Public AI Governance Signals,,,,"Missing: policy, tech, contact (crawl limited)",0,0,,0,,0,,0,,0,
Evanston Township High School District 202,IL,https://www.eths.k12.il.us/,0,No Public AI Governance Signals,,,,"Missing: policy, tech, contact (crawl limited)",0,0,,0,,0,,0,,0,
Gadsden County Schools,FL,https://www.gcsedu.com/,0,No Public AI Governance Signals,,,,"Missing: policy, tech, contact (crawl limited)",0,0,,0,,0,,0,,0,
Gulf County Schools,FL,https://www.gulf.k12.fl.us/,0,No Public AI Governance Signals,,,,"Missing: policy, tech, contact (crawl limited)",0,0,,0,,0,,0,,0,
Highlands County Schools,FL,https://www.highlands.k12.fl.us/,0,No Public AI Governance Signals,,,,"Missing: policy, tech, contact (crawl limited)",0,0,,0,,0,,0,,0,
Homer Community Schools,MI,https://www.homerweb.org/,0,No Public AI Governance Signals,,,,"Missing: policy, tech, contact (crawl limited)",0,0,,0,,0,,0,,0,
Huntington Beach Union High School District,CA,https://hbuhsd.edu/,0,No Public AI Governance Signals,,,,"Missing: policy, tech, contact (crawl limited)",0,0,,0,,0,,0,,0,
Indian River County School District,FL,https://www.sdirc.k12.fl.us/,0,No Public AI Governance Signals,,,,"Missing: policy, tech, contact (crawl limited)",0,0,,0,,0,,0,,0,
Irvine Unified School District,CA,https://www.iusd.org/,0,No Public AI Governance Signals,,,,"Missing: policy, tech, contact (crawl limited)",0,0,,0,,0,,0,,0,
Los Angeles Unified School District,CA,https://achieve.lausd.net/,0,No Public AI Governance Signals,,,,"Missing: policy, tech, contact (crawl limited)",0,0,,0,,0,,0,,0,
Maine Township High School District 207,IL,https://www.maine207.org/,0,No Public AI Governance Signals,,,,"Missing: policy, tech, contact (crawl limited)",0,0,,0,,0,,0,,0,
Miami-Dade County Public Schools,FL,https://www.dadeschools.net/,0,No Public AI Governance Signals,,,,"Missing: policy, tech, contact (crawl limited)",0,0,,0,,0,,0,,0,
New Braunfels Independent School District,TX,https://www.nbisd.org/,0,No Public AI Governance Signals,,,,"Missing: policy, tech, contact (crawl limited)",0,0,,0,,0,,0,,0,
Newport-Mesa Unified School District,CA,https://www.nmusd.us/,0,No Public AI Governance Signals,,,,"Missing: policy, tech, contact (crawl limited)",0,0,,0,,0,,0,,0,
Niles Township High Schools District 219,IL,https://www.ntd219.org/,0,No Public AI Governance Signals,,,,"Missing: policy, tech, contact (crawl limited)",0,0,,0,,0,,0,,0,
Niskayuna Central School District,NY,https://www.niskayuna.k12.ny.us/,0,No Public AI Governance Signals,,,,"Missing: policy, tech, contact (crawl limited)",0,0,,0,,0,,0,,0,
Orchard Park Central School District,NY,https://www.orchardparksschools.org/,0,No Public AI Governance Signals,,,,"Missing: policy, tech, contact (crawl limited)",0,0,,0,,0,,0,,0,
Peoria Public Schools District 150,IL,https://www.peoria150.org/,0,No Public AI Governance Signals,,,,"Missing: policy, tech, contact (crawl limited)",0,0,,0,,0,,0,,0,
