district,state,homepage,found_policy_url,found_tech_url,found_contact_url,notes,score_0_to_5,public_ai_policy_exists,ai_use_publicly_disclosed,oversight_named,board_policy_mentions_ai,public_contact_available,evidence_public_ai_policy_exists,evidence_ai_use_publicly_disclosed,evidence_oversight_named,evidence_board_policy_mentions_ai,evidence_public_contact_available
Mobile County,AL,https://www.mcpss.com/,,,https://www.mcpss.com/page/contact-us,"Missing: policy, tech (crawl limited)",1,0,0,0,0,1,,,,,Home | Mobile County Public Schools Skip to content About MCPSS Families Staff Departments Contact Us Search site Mobile County Public Schools - About MCPSS Families Staff Departments Contact Us Search site Menu Schools Translate Sign in…
Bullock County,AL,http://bullockcounty.schoolinsites.com/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Jasper City,AL,http://www.jasper.k12.al.us,https://www.jasper.k12.al.us/privacy-policy,,https://www.jasper.k12.al.us/administration/employment,Missing: tech (crawl limited),2,0,0,1,0,1,,,unities (opens in new window/tab) Technology Transportation In This Section Media Specialist Page Jasper City Schools Technology Department Superintendent Employment Employment CERTIFIED POSITIONS Certified job vacancy posts are listed on the ALSDE website. ALL certified and admi…,,"ecurity This website takes every precaution to protect our users' personal information. Whenever users submit personal information (such as contact info or credit card info) via online forms, registration, or online purchase, upon submission that information is encrypted via the …"
Madison City,AL,http://www.madisoncity.k12.al.us/,,,https://www.madisoncity.k12.al.us/site/Default.aspx?PageType=15&SiteID=4&SectionMax=12&DirectoryType=6,"Missing: policy, tech (crawl limited)",2,0,0,1,0,1,,,"ademy Sign In Search Our Site Madison City Schools Empowering All Students for Global Success Our District "" Superintendent Search About Us Superintendent Board of Education Strategic Plan Policies Title IX Surveys Academics "" Summer Learning / Tutoring Secondary Instruction Elem…",,es to your cart 4. Check out using your credit / debit card or electronic check Questions? You can visit the My School Bucks Help Center or contact My School Bucks directly by logging into your account to start a chat conversation. You can also give them a call at (855) 832-5226 …
Franklin County,AL,http://www.franklin.k12.al.us/,https://www.franklin.k12.al.us/about-us/board-policies,https://www.franklin.k12.al.us/departments/technology/staff,https://www.franklin.k12.al.us/departments/technology/staff,,2,0,0,1,0,1,,,Parent Survey English Language Learner Resources Insurance Resources for Parents Right to Know Law Staff Teacher and Staff Resources Staff Directory Staff Intranet Calendar 21st Century Community Learning Center After School & Summer Programs (Formerly TRACKS) Assessment Attendan…,,y Tips Parent Survey English Language Learner Resources Insurance Resources for Parents Right to Know Law Staff Teacher and Staff Resources Staff Directory Staff Intranet Calendar PowerSchool Parents and Students Teachers Administrators CNP Menus LINQ Student Handbook Login Faceb…
Covington County,AL,https://www.cov.k12.al.us/,,,,"Missing: policy, tech, contact (crawl limited)",2,0,0,1,0,1,,,"ts and other designated youth groups. Inquiries of complaints regarding compliance with federal regulations on 504, Title I, Title II, and Title IX may be directed to Chris Thomasson, Federal Programs Coordinator ( chris.thomasson@cov.k12.al.us ), Kelly McCollough, 504 Coordinato…",,"Menu Students Survey Quick Links Sign in Skip Gallery End of Gallery Find Us Covington County Schools 807 C C Baker Ave Andalusia, AL 36421 Phone: 334-222-7571 Schools Covington County Schools Fleeta Jr. High School Florala High School Red Level School Pleasant Home School Straug…"
Dothan City,AL,https://www.dothan.k12.al.us/,https://www.dothan.k12.al.us/departments/hr/resources/employee-forms-policies,,https://www.dothan.k12.al.us/our-district/contact-us,Missing: tech (crawl limited),2,0,0,1,0,1,,,The Alabama State Department of Education ALSDE Data Center (opens in new window/tab) Superintendent's Student Advisory Council Application Superintendent Public Charter Schools Dothan City Schools University Contact Us Departments Human Resources Resources Family Medical Leave S…,,gendas (opens in new window/tab) Public Comments Open Records Request FOCUS Act Our Schools School Start & Dismissal Times Pre-Kindergarten Contact Our Schools School Zones School Zone Map Strategic Plan District Data The Alabama State Department of Education ALSDE Data Center (o…
Marengo County,AL,http://www.marengo.k12.al.us/,https://www.marengo.k12.al.us/central-office-departments/policies,,https://www.marengo.k12.al.us/about-us/staff-directory,Missing: tech (crawl limited),2,0,0,1,0,1,,,ndow/tab) Strategic Plan Signature Academies Barbering and Cosmetology Construction Modern Manufacturing Salary Schedule FY 25 School Board Superintendent School Board Information For Families Academics Alabama Literacy Act Alabama Numeracy Act Attendance Counseling Elementary Ed…,,arengo County School District Skip To Main Content Close Menu Search Clear Search District Overview Marengo County School District Overview Staff Directory Districtwide Calendar (opens in new window/tab) Strategic Plan Signature Academies Barbering and Cosmetology Construction Mo…
Lee County,AL,http://www.lee.k12.al.us/,https://www.lee.k12.al.us/lcboe-staff-directory,,https://www.lee.k12.al.us/lcboe-staff-directory,Missing: tech (crawl limited),2,0,0,1,0,1,,,llence - A Vision for Tomorrow Schools Popular Links Home About LCS #RaisingtheBar LCS Mission and Vision Central Office Staff School Board Superintendent Accreditation & Strategic Plan Community Departments Departments Home Child Nutrition Curriculum Federal Programs Finance Hea…,,School Wacoochee Elementary School West Smiths Station Elementary School Popular Links Calendar Menus Registration Employment ParentSquare Staff Directory Lee Co. Boundary Locator PowerSchool Parent Portal Submit Attendance Excuse Search Home About LCS #RaisingtheBar LCS Mission …
Geneva County,AL,http://www.genevacountyschools.com,https://www.genevacountyschools.com/policies-procedures,,https://www.genevacountyschools.com/about-us/for-staff,Missing: tech (crawl limited),2,0,0,1,0,1,,,emic Guide & Code of Conduct Federal Programs Federal Programs Relief Funds Geneva County Schools Reopening Plan Covid-19: Message from the Superintendent Geneva County Schools Covid-19 Relief Information Title I Title I Part C School Improvement Title II Part A Title III Title I…,,va County Schools Skip To Main Content Close Menu Search Clear Search About Us For Staff Vision and Mission Who We Are Superintendent Login Contact Us Board Policies Departments Business & Finance Accountability Reports Payroll Documents Monthly Financial Statements Annual Audit …
