district,state,homepage,found_policy_url,found_tech_url,found_contact_url,notes,score_0_to_5,public_ai_policy_exists,ai_use_publicly_disclosed,oversight_named,board_policy_mentions_ai,public_contact_available,evidence_public_ai_policy_exists,evidence_ai_use_publicly_disclosed,evidence_oversight_named,evidence_board_policy_mentions_ai,evidence_public_contact_available
Harmony Grove School District,AR,http://harmonygrove.k12.ar.us/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
St. Francis,AR,http://stfranciscountyar.org/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Lakeside School District,AR,http://lakeside.ar.schoolwebpages.com/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Stuttgart Public Schools,AR,http://www.stuttgartschools.org/,https://www.stuttgartschools.org/page/inclement-weather-policy,,https://www.stuttgartschools.org/o/district/staff,Missing: tech (crawl limited),2,0,0,1,0,1,,,Jr. High Meekins Middle School Park Avenue Elementary Stay Connected Copyright © 2026 District. All rights reserved. Powered By Apptegy Visit us to learn more Staff Directory | Stuttgart School District Skip to content Stuttgart School District Home of the Ricebirds Explore Explo…,,ddle School Park Avenue Elementary Stay Connected Copyright © 2026 District. All rights reserved. Powered By Apptegy Visit us to learn more Staff Directory | Stuttgart School District Skip to content Stuttgart School District Home of the Ricebirds Explore Explore Schools Translat…
Springdale School District,AR,http://www.springdaleschools.org/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Hope School District,AR,http://www.hpsdistrict.org,https://www.hpsdistrict.org/page/board-of-education2,,,"Missing: tech, contact (crawl limited)",1,0,0,0,0,1,,,,,EMPLOYMENT BECOME A SUBSTITUTE SCHOOL CHOICE 2025-2026 School Calendar Hope Educator Hall of Fame Homeless Information Hope Public Schools Phone Extensions Vision and Mission Statements HPS Phone-Free Information District Wellness Policy Facilities Request Form Magnet Pathway For…
Ashley,AR,http://ashleycounty.arkansas.gov/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Lead Hill School District,AR,http://leadhillschools.net/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Mississippi,AR,http://www.mcagov.com,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Ouachita School District,AR,http://www.ouachita.dsc.k12.ar.us/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Gurdon School District,AR,https://www.go-devils.net/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Montgomery,AR,https://montgomerycounty.arkansas.gov/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Nashville School District,AR,http://scrappers.k12.ar.us/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Centerpoint School District,AR,http://www.centerpoint.dsc.k12.ar.us/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Prescott School District,AR,http://ppsweb.k12.ar.us/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Mountain Pine School District,AR,http://www.edline.net/pages/Mountain_Pine_SD,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Valley View School District,AR,http://blazers.k12.ar.us/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Hector School District,AR,http://wildcats.afsc.k12.ar.us/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Scranton School District,AR,https://www.scrantonrockets.net/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Genoa Central School District,AR,https://dragons1.k12.ar.us/,,,,"Missing: policy, tech, contact (crawl limited)",2,0,0,1,0,1,,,Required Info Staff Directory Quick Links Menus Genoa Central School District Genoa Central School District Home State Required Info Staff Directory Quick Links Menus Home Our Schools Administration Community Engagement Departments Athletics Alumni Association Close Navigation × …,,l District - Home Skip to main content Welcome Home × Close Genoa Central School District Genoa Central School District State Required Info Staff Directory Quick Links Menus Genoa Central School District State Required Info Staff Directory Quick Links Menus Genoa Central School D…
Caddo Hills School District,AR,http://www.caddohills.org/,,,,"Missing: policy, tech, contact (crawl limited)",2,0,0,1,0,1,,,itation Accreditation 2023-2024 Accreditation 2022-2023 Accreditation 2021-2022 Accreditation 2020-2021 Administrator Salaries and Benefits SUPERINTENDENT’S CONTRACT (With Three Goals) Administrator Salaries and Benefits 2024-2025 Administrator Salaries and Benefits 2023-2024 Adm…,,ers Waivers 2023-2024 SY Waivers 2022-2023 SY Waivers 2021-2022 SY Waivers 2020-2021 SY Web Site Checklist Web Site Checklist Administrator Directory Expand All Collapse All Elementary School Counselor Christy Sanders Elementary School Counselor Christy Sanders Career Coach Katie…
Pangburn School District,AR,http://www.pangburnschools.org/,,,https://www.pangburnschools.org/staff,"Missing: policy, tech (crawl limited)",0,0,0,0,0,0,,,,,
Pulaski County Special School District,AR,http://www.pcssd.org/,https://www.pcssd.org/o/pcssd/page/privacy-policy,,https://www.pcssd.org/o/pcssd/page/directory-of-schools,Missing: tech (crawl limited),2,0,0,1,0,1,,,sas 72206 501.234.2000 Peachjar Contact Us Privacy Policy Stay Connected Copyright © 2026 PCSSD. All rights reserved. Powered By Apptegy Visit us to learn more Directory of Schools | Pulaski County Special School District Skip to content Pulaski County Special School District Men…,,"cademies of Central AR Find Us Pulaski County Special School District 925 East Dixon Road Little Rock, Arkansas 72206 501.234.2000 Peachjar Contact Us Privacy Policy Stay Connected Copyright © 2026 PCSSD. All rights reserved. Powered By Apptegy Visit us to learn more Privacy Poli…"
Salem School District,AR,http://salem.k12.ar.us/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Southside School District,AR,http://southsideschools.org,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Mountain View School District,AR,http://mountainviewschooldistrict.k12.ar.us/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Greene County Tech School District,AR,http://www.gctsd.k12.ar.us/,,,,"Missing: policy, tech, contact (crawl limited)",1,0,0,0,0,1,,,,,"Pay Free & Reduced Meal Plan App GCT Job Application Find Us Greene County Tech School District 5413 West Kingshighway Paragould, AR 72450 Phone: (870) 215.4400 ext. 1003 Fax: (870) 236-7333 Schools GCT School District GCT High School GCT Junior High School GCT Middle School GCT …"
Sevier,AR,http://www.seviercounty-ar.gov,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Fordyce School District,AR,http://fordyceschools.org/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Kirby School District,AR,https://www.kirbytrojans.net,https://www.kirbytrojans.net/page/appeals-policy,,https://www.kirbytrojans.net/page/staff-forms,Missing: tech (crawl limited),2,0,0,1,0,1,,,"als Policy A decision of non-placement may be appealed. To appeal a decision made by the committee, concerned parties should contact the GT coordinator and request an appeal. If there is any new data, it should be presented at this time. The GT coordinator will call a meeting wit…",,"ubmenu for Appeals Policy A decision of non-placement may be appealed. To appeal a decision made by the committee, concerned parties should contact the GT coordinator and request an appeal. If there is any new data, it should be presented at this time. The GT coordinator will cal…"
Magazine School District,AR,http://magazinerattlers.k12.ar.us/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Bearden School District,AR,http://www.beardenschools.org/,https://www.beardenschools.org/policy-data-and-informational-docum,,https://www.beardenschools.org/administration,Missing: tech (crawl limited),2,0,0,1,0,1,,,Requirements 4.3 Compulsory Attendance Requirements 4.4 Student Transfers 4.5 School Choice 4.7 Absences 4.13 Privacy of Students’ Records/Directory Information 4.14 Student Media and the Distribution of Literature 4.15 Contact With Students While at School 4.18 Prohibited Conduc…,,"rt the video tag. Welcome! At Bearden Public Schools, we are growing leaders for tomorrow. We’re glad you’re here Start your journey today. Contact Us Have questions? We’re here to help. Call us at 833-423-2733 Concurrent Credit Opportunities Students can simultaneously earn high…"
North Little Rock School District,AR,http://www.nlrsd.org/,https://www.nlrsd.org/page/boardeducation,,,"Missing: tech, contact (crawl limited)",2,0,0,1,0,1,,,"allery End of Gallery school choice Registration Our Schools Home Access Center (HAC) NLR Virtual Academy School Bus Routes Report Bullying Superintendent's Messages About The North Little Rock School District (NLRSD) has fifteen diverse campuses committed to providing a safe, he…",,"- Kylie Sartain, Class of 2025 Next Spotlight Item Find Us North Little Rock School District 2400 Willow Street North Little Rock, AR 72114 Phone: (501) 771-8000 Fax: (501) 771-8069 Board of Education BSN Sideline Store Child Nutrition Registration State Required Information Titl…"
Crossett School District,AR,https://www.crossettschools.org/,https://www.crossettschools.org/page/board-of-education,,,"Missing: tech, contact (crawl limited)",2,0,0,1,0,1,,,ce Explore Explore Schools Translate Search site Sign in Athletics Athletics District Show submenu for District District BOARD OF EDUCATION SUPERINTENDENT COVID-19 MISSION TIPS CHILD NUTRITION Show submenu for CHILD NUTRITION CHILD NUTRITION PAY FOR SCHOOL MEALS ONLINE BREAKFAST …,,nformation Show submenu for Faculty/Staff Information Faculty/Staff Information District Forms ESCHOOL Eschool VPN access from Home FACULTY EMAIL Work Orders TripDirect Parent/Student Information Show submenu for Parent/Student Information Parent/Student Information Parent Forms …
Clinton School District,AR,http://clinton.k12.ar.us/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Ozark Mountain School District,AR,http://www.omsd.k12.ar.us/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Jackson,AR,http://www.jacksoncountyar.org,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Bentonville School District,AR,http://bentonvillek12.org/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Rose Bud School District,AR,http://rbsd.k12.ar.us/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Newport School District,AR,http://www.newportschools.org/,https://www.newportschools.org/o/nsd/page/schoolboardnew,,,"Missing: tech, contact (crawl limited)",1,0,0,0,0,1,,,,,"IGITAL MARKETING DRONE CERTIFICATION FOOD SERVICE MEDICAL PROFESSIONS Find Us Newport School District 406 Wilkerson Drive Newport, AR 72112 Phone: 870-523-1311 Fax: 870-523-1388 Stay Connected Copyright © 2026 Newport School District. All rights reserved. Powered By Apptegy Visit…"
