district,state,homepage,found_policy_url,found_tech_url,found_contact_url,notes,score_0_to_5,public_ai_policy_exists,ai_use_publicly_disclosed,oversight_named,board_policy_mentions_ai,public_contact_available,evidence_public_ai_policy_exists,evidence_ai_use_publicly_disclosed,evidence_oversight_named,evidence_board_policy_mentions_ai,evidence_public_contact_available
Milford,DE,http://www.cityofmilford.com,,,https://www.cityofmilford.com/directory.aspx,"Missing: policy, tech (crawl limited)",2,0,0,1,0,1,,,o Main Content Weather Calendar Jobs Contact Us Search Your Government How Do I... Our Community Explore Milford Home Staff Directory Staff Directory Search the Directory Category: Staff Directory Mayor City Council City Clerk City Manager Customer Service Property Assessment Eco…,,"lity Site Map /QuickLinks.aspx Loading Loading Do Not Show Again Close Arrow Left Arrow Right [] Slideshow Left Arrow Slideshow Right Arrow Staff Directory • Milford, DE • CivicEngage Skip to Main Content Weather Calendar Jobs Contact Us Search Your Government How Do I... Our Com…"
Milton,DE,http://milton.delaware.gov,https://milton.delaware.gov/boards-commissions-and-committees/,,https://milton.delaware.gov/general-contact/,Missing: tech (crawl limited),2,0,0,1,0,1,,,"chnician V and the agency’s Geodetic Control Coordinator. Upon retirement, he served the Town of Milton for 5 years 7 months as the Project Coordinator before entering retirement again. In addition to employment with the Town, his experience within Town government is diverse havi…",,"s Newsletters and Flyers Our Community Outdoor Recreation Sea Level Rise, Adaptation and Mitigation Yard Waste & Trash Pickup Forms General Contact FOIA Request Printable Forms Online Payment Portal Emergency Snow Routes in-effect beginning February 22, 2026 at 5pm until snow rem…"
Christina School District,DE,http://www.christinak12.org/,https://www.christinak12.org/our-district/board-of-education/contact-the-board,,https://www.christinak12.org/our-district/board-of-education/contact-the-board,Missing: tech (crawl limited),2,0,0,1,0,1,,,iew Committee Board Elections Board Agendas & Documents Contact the Board Board Vacancy District Committees Superintendent of Schools Staff Directory Employees of the Year Past Honorees Initiatives and Projects Overview Bully-Free Schools Bully Reporting Form Anti-Bullying Legisl…,,cy Review Committee Board Elections Board Agendas & Documents Contact the Board Board Vacancy District Committees Superintendent of Schools Staff Directory Employees of the Year Past Honorees Initiatives and Projects Overview Bully-Free Schools Bully Reporting Form Anti-Bullying …
Houston,DE,http://www.townofhouston.com,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Middletown,DE,https://www.middletown.delaware.gov/,,,https://www.middletown.delaware.gov/directory,"Missing: policy, tech (crawl limited)",2,0,0,1,0,1,,,"nt Submit an Event The Official Website of Middletown, Delaware 19 W. Green St. Middletown, DE 19709 302-378-2711 Contact Us Site by EvoGov Directory Departments Government Community Business Environment Department Directory 0-9 A B C D E F G H I J K L M N O P Q R S T U V W X Y Z…",,"ng Click to contact the Billing Department Energy Saving Resources Residential Utility Service Application Solar Energy General Information Staff Directory Phone Numbers 302-696-2958 Fax: 302-378-9172 Emergencies: Dial 911 Location 19 W. Green Street Middletown, DE 19709 Get Dire…"
Cape Henlopen School District,DE,http://www.capehenlopenschools.com/,https://www.capehenlopenschools.com/our-district/district-resources/district-grading-policies,https://www.capehenlopenschools.com/departments/operations/technology/chsd-staff-technology-resources,https://www.capehenlopenschools.com/departments/operations/technology/chsd-staff-technology-resources,,1,0,0,0,0,1,,,,,echnology Resources (opens in new window/tab) Business Office Information for Staff Salary Tables Staff Resources (opens in new window/tab) Staff Directory Parent Resources (opens in new window/tab) Contact Us (opens in new window/tab) Facebook (opens in new window/tab) Twitter (…
Geography,DE,https://delaware.gov,https://delaware.gov/privacy-policy/,,https://delaware.gov/state-directory,Missing: tech (crawl limited),2,0,0,1,0,1,,,.gov Feedback Delaware's Government Delaware's Governor State Directory Elected Officials General Assembly Delaware Courts State Employees Cities & Towns Delaware State Code State Regulations Phone Directory Contact Us Public Meetings Guides to Services FOIA Transparency Choose H…,,cial Website of the State of Delaware Delaware.gov Home Delaware.gov Skip to Content Skip to Footer Toggle navigation Directory News Guides Contact Search X Welcome Featured State Jobs Guides Trending Open Data Government Winter Storm: significant snowfall accumulations are expec…
Kenton,DE,http://kenton.delaware.gov,,,https://kenton.delaware.gov/contact-info/,"Missing: policy, tech (crawl limited)",2,0,0,1,0,1,,,"n concerns, permits, questions and information. Please copy the Vice-Mayor on all requests – vicemayorofkenton@gmail.com Contact the Police Chief with any Police Tips/Concerns View Town of Kenton in a larger map << Feb 2026 >> M T W T F S S 26 27 28 29 30 31 1 2 3 4 5 6 7 8 9 10 …",,il Charter Meetings & Events Past Meeting Minutes & Agendas Information Forms Community Area Information Town Taxes Kenton Post Office News Contact Us Contact Info Contact the Mayor Contact the Chief of Police FOIA Request Form Town Hall Rentals KENTON DELAWARE Welcome to the Tow…
Dagsboro,DE,http://www.townofdagsboro.com,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Camden,DE,http://camden.delaware.gov,https://camden.delaware.gov/board-of-adjustment/,,https://camden.delaware.gov/contact-form/,Missing: tech (crawl limited),1,0,0,0,0,1,,,,,"Election Info Trash Schedule & Pick-Up FAQ’s Forms/Applications Maps Community Town History Events News Photo Gallery Community News Alert Contact Us Contact Form FOIA Form The Municipal building is closed until further notice. For Police, call 9-1-1. For Town Hall, call (302) 69…"
