district,state,homepage,found_policy_url,found_tech_url,found_contact_url,notes,score_0_to_5,public_ai_policy_exists,ai_use_publicly_disclosed,oversight_named,board_policy_mentions_ai,public_contact_available,evidence_public_ai_policy_exists,evidence_ai_use_publicly_disclosed,evidence_oversight_named,evidence_board_policy_mentions_ai,evidence_public_contact_available
Vanderburgh,IN,http://www.vanderburghgov.org,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Duneland School Corporation,IN,http://www.duneland.k12.in.us/,https://www.duneland.k12.in.us/programs-services/dsc-health-services/medication-policies,,https://www.duneland.k12.in.us/about-us/staff-directory,Missing: tech (crawl limited),2,0,0,1,0,1,,,Standards (opens in new window/tab) IDOE Accountability Report DLGF Local Tax & Finance Dashboard (opens in new window/tab) IDOE Accountability Data - DSC Staff Directory Strategic Plan 2024-28 Strategic Plan Information Strategies & Action Plans Helpful Terms 2024-2028 Strategic…,,s in new window/tab) IDOE Accountability Report DLGF Local Tax & Finance Dashboard (opens in new window/tab) IDOE Accountability Data - DSC Staff Directory Strategic Plan 2024-28 Strategic Plan Information Strategies & Action Plans Helpful Terms 2024-2028 Strategic Planning Team …
Porter Township School Corporation,IN,http://www.ptsc.k12.in.us/,https://www.ptsc.k12.in.us/wp-content/uploads/2025/08/Student-Internet-and-Technology-Responsible-Use-Policy-2025.pdf,https://www.ptsc.k12.in.us/wp-content/uploads/2025/08/Student-Internet-and-Technology-Responsible-Use-Policy-2025.pdf,https://www.ptsc.k12.in.us/administration-office/,,2,0,0,1,0,1,,,"ive teaching and learning Trust is vital – trust bonds staff, students, family and community Administrative Office Staff Stacey Schmidt PhD Superintendent Stacey.schmidt@ptsc.k12.in.us Kathleen Smith, CPA CFO/Corporation Treasurer Kathleen.Smith@ptsc.k12.in.us Linda Bult HR / Ben…",,", Every Day. Skip to content Calendar District Calendar 2025-2026 District Calendar 2026-2027 District Administration Administration Office Staff Directory Board of School Trustees School Board Policy Manual Info Porter Township School Corporation GPS Dashboard IDOE School Perfor…"
Penn-Harris-Madison School Corporation,IN,https://www.phmschools.org/,https://www.phmschools.org/privacy-policy/,,https://www.phmschools.org/about-us/district-overview/penn-harris-madison-contacts/,Missing: tech (crawl limited),2,0,0,1,0,1,,,"oration. For the past 31 years, I’ve had the joy of serving this exceptional district—as a teacher, principal, director, and most recently, Assistant Superintendent for Instruction. Superintendent of Schools P-H-M Schools Bittersweet Elementary School Elm Road Elementary School E…",,ng and Anti-Bullying Resources P-H-M Excellence District Overview P-H-M Excellence Superintendent of Schools News P-H-M Leadership Contacts Staff Directory P-H-M School Directory Follow Us Board of School Trustees Board of School Trustees Board Members & Terms Board Meeting Dates…
Governor list,IN,http://www.in.gov/gov/,https://www.in.gov/core/policies.html,,https://www.in.gov/gov/contact-gov-braun/,Missing: tech (crawl limited),1,0,0,0,0,1,,,,,- Click to Expand Military Retirement Letter - Click to Expand Request a Proclamation - Click to Expand Request a Letter - Click to Expand Contact Gov. Braun Scheduling Requests Newsroom - Click to Expand 2026 Bill Watch - Click to Expand 2025 State Of The State Address - Click t…
School City of Hobart,IN,http://hobart.schoolwires.com/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Westfield,IN,http://www.westfield.in.gov,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Goshen,IN,http://www.goshenindiana.org/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Crawford,IN,http://www.crawfordcountyindiana.com,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
School City of East Chicago,IN,https://www.scec.k12.in.us/,https://www.scec.k12.in.us/resources/uniform-policy,,https://www.scec.k12.in.us/academics/exceptional-learners/staff-resource-center,Missing: tech (crawl limited),1,0,0,0,0,1,,,,,ormance Report 2024/25 SY (opens in new window/tab) Cardinal Spotlight Delays & Cancellations Enroll Our Mission School Performance Reports Staff Directory Strategic Plan Resources Attendance Call Off Canvas (Parent) (opens in new window/tab) Community HealthNet Covid-19 E-Learni…
Jennings,IN,https://jenningscounty-in.gov,,,,"Missing: policy, tech, contact (crawl limited)",2,0,0,1,0,1,,,"ed people in the office and people who would like to go through training to help in the event of a disaster. We need a Volunteer Deputy EMA Director. This person will work closely with the Director writing the Comprehensive Emergency Plan, the SOP (Standard Operating Procedures),…",,"wnload Mortgage or Contract Indebtedness for Deduction from Assessed Valuation (pdf) Download Change of Property Tax Address (pdf) Download Contact Us Jennings County Auditor Sarah Abel P.O. Box 383 Vernon, Indiana 47282 Phone (812) 352-3016 Email Auditor Jennings County Governme…"
Muncie,IN,http://www.cityofmuncie.com/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Mishawaka,IN,https://www.mishawaka.in.gov/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Elkhart,IN,http://www.elkhartindiana.org,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Hanover Community School Corporation,IN,http://www.hanover.k12.in.us/,https://www.hanover.k12.in.us/privacy-policy,,https://www.hanover.k12.in.us/departments-home/administration,Missing: tech (crawl limited),2,0,0,1,0,1,,,"(opens in new window/tab) Instagram (opens in new window/tab) Twitter (opens in new window/tab) YouTube (opens in new window/tab) Calendar Directory Employment Login Hanover Community School Corporation does not discriminate on the basis of race, color, national and ethnic origin…",,"impact the world around them. Hanover is a district with a rich past and a bright future! Read More 2023-2028 Strategic Plan < > Athletics Directory eLearning Employment Guidance Menus Upcoming Events Feb 24 2026 School Board Meeting 6 : 30 PM 14525 Wicker Avenue Cedar Lake, Indi…"
Carmel Clay Schools,IN,http://www1.ccs.k12.in.us,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Kosciusko,IN,http://www.kcgov.com,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
East Allen County Schools,IN,http://www.eacs.k12.in.us,,,,"Missing: policy, tech, contact (crawl limited)",1,0,0,0,0,1,,,,,"closing by 9:45 a.m. Students are expected to participate in eLearning on days when we cancel. If you have questions regarding this, please contact your child’s teacher or school’s administration. Reminder: • Monday, February 9, 2026 – District-wide In-service Day (No Student Att…"
Elkhart,IN,http://www.elkhartcountyindiana.com,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Warren,IN,http://www.warrencounty.in.gov/,,,https://www.warrencounty.in.gov/community/business_directory.php,"Missing: policy, tech (crawl limited)",2,0,0,1,0,1,,,"Warren County, IN Skip to main content Warren County Indiana Home Community Warren County Heath Department BMV Business Directory Churches Family and Children Division Hospital/Health Care Libraries Purdue Extension Office Social Services Food Assistance Community Organization He…",,tate Line City How Do I Documents & Forms Government Document Center Community Document Center Document Center Contact Us Libraries Schools Staff Directory Report An Issue General Information Warren County Code Meeting Minutes 2026 Commissioner Meeting Schedule 2026 Council Meeti…
