district,state,homepage,found_policy_url,found_tech_url,found_contact_url,notes,score_0_to_5,public_ai_policy_exists,ai_use_publicly_disclosed,oversight_named,board_policy_mentions_ai,public_contact_available,evidence_public_ai_policy_exists,evidence_ai_use_publicly_disclosed,evidence_oversight_named,evidence_board_policy_mentions_ai,evidence_public_contact_available
Sheridan,KS,http://www.accesskansas.org/sheridan,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Hays USD 489,KS,http://www.hays489.k12.ks.us/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Coffey,KS,http://CoffeyCountyKS.org,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Bluestem USD 205,KS,https://www.usd205.com/,https://www.usd205.com/page/board-policies,,https://www.usd205.com/page/food-server-staff,Missing: tech (crawl limited),1,0,0,0,0,1,,,,,N Show submenu for BLUESTEM ASSOCIATION FOR STUDENT EDUCATION BASE HISTORY CLASSROOM GRANTS BASE SCHOLARSHIP INFORMATION BASE BOARD MEMBERS CONTACT US PARENTS & STUDENTS Show submenu for PARENTS & STUDENTS PARENTS & STUDENTS Lion of the Month Nomination Form PARENT RESOURCES Show…
Johnson,KS,http://www.jocogov.org,https://www.jocogov.org/department/board-county-commissioners/contact-commissioners,https://www.jocogov.org/department/technology-and-innovation,https://www.jocogov.org/department-directory,,2,0,0,1,0,1,,,sit - RideKC in Johnson County Communications and Engagement Search Careers Translate Pay Online Breadcrumb Home All Departments Department Directory Use this directory to connect with county departments. Search Departments Sort by A to Z Z to A A Aging and Human Services Johnson…,,des for Residents and Businesses Newsroom Newsroom Hub Magazines Media Contacts News Releases Newsletters and Alerts Social Media Directory Contact Us Contact Johnson County ADA Accommodation Request Contact Your Commissioner Department Directory Automated Information Mapping Sys…
Augusta USD 402,KS,https://www.usd402.com/,https://www.usd402.com/boeagenda,,,"Missing: tech, contact (crawl limited)",1,0,0,0,0,1,,,,,Board Agenda Board Minutes Board Members Board Policies USD 402 Board Governance and Operating Procedures Parent Resources Staff Resources Staff Directory District District Home 2024-25 Board Goals 2024 Board of Education Legislative Priorities Community Links District Bid Page D…
Cherokee,KS,http://CherokeeCountyKS.com,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Jewell,KS,http://www.nckcn.com/homepage/jewell_co/jewell.htm,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Ashland USD 220,KS,http://usd220.net,,,https://usd220.net/directory,"Missing: policy, tech (crawl limited)",2,0,0,1,0,1,,,".net Emily Evans, Clerk of the Board eevans@usd220.net Heidi Hazen, PK-12 Principal hhazen@usd220.net Jesse Stebens, High School Activities Director jstebens@usd220.net Jon Schnable, Junior High School Activities Director jschnable@usd220.net Gloria Betschart, Business Office & T…",,"ights and Privacy Act (FERPA) Tips for Parents USD220 Health Guidelines How's School Going? Non-Academic Tests, Surveys, and Questionnaires Staff Directory Staff Portal For Staff Home Staff Request Forms Go.Edustar For Teachers MyEducationData Red Rover Login E-mail Login Teacher…"
Garnett USD 365,KS,https://www.usd365.org/,,,,"Missing: policy, tech, contact (crawl limited)",2,0,0,1,0,1,,,t Elementary School Greeley Elementary School Westphalia Elementary × Close Technology Technology Home Technology Home Brett Linn Executive Director of Operations Jeremy Meyer Assistant Technology Director Hayden Hermann Secondary Technology Support Submit a help desk ticket Staf…,,"ghlights Edit Component Edit Events Edit Settings UPCOMING EVENTS View Full Calendar Garnett USD 365 305 N Oak PO Box 328 Garnett, KS 66032 Phone 785-448-6155 Fax 785-448-6157 Site Map Accessibility Login Contents © 2026 Garnett USD 365 Notice of Non-Discrimination: In compliance…"
Nemaha Central USD 115,KS,http://www.usd115.org/,,,,"Missing: policy, tech, contact (crawl limited)",1,0,0,0,0,1,,,,,"ormation Golf Tournament Info Breakfast and Lunch Menus Find Us Nemaha Central Elementary and Middle School 110 North 11th Seneca, KS 66538 Phone: 785-336-2173 Fax: 785-336-2174 Schools Nemaha Central District Office Nemaha Central Elementary and Middle School Nemaha Central High…"
Fort Scott USD 234,KS,https://www.usd234.org,,,https://www.usd234.org/staff,"Missing: policy, tech (crawl limited)",2,0,0,1,0,1,,,ducation 620-223-0800 robin.button@usd234.org Tim Coyan Bus Driver Board of Education 620-223-0800 tim.coyan@usd234.org Bryce Daly District Technology Coordinator Board of Education 620-223-0800 bryce.daly@usd234.org Andrew Doherty KRI Teacher Board of Education 620-223-0800 andr…,,All Students! Menu Schools Translate Search site Sign in Skip Gallery End of Gallery Menus (Nutrislice) Events (Calendars) Fees (Webstore) Staff Directory Jobs (Now Hiring) PowerSchool (login) Survey (household economic) pk-8 Free/Reduced Meals App 9-12 Fast Facts About USD 234 A…
Goessel USD 411,KS,https://www.usd411.org,https://www.usd411.org/vnews/display.v/SEC/District%20Office%7CBOE%20Agenda%20%26%20Minutes,,,"Missing: tech, contact (crawl limited)",1,0,0,0,0,1,,,,,Universal Code of Conduct Parents/Students - Student Google Apps Parents/Students - Language Arts Hand Book Parents/Students - Goessel Gear Staff Directory Archives Goessel USD 411 Logo Articles Tab Highlights Tab Banners Tab Tab dropdown toggle What's On the Menu? Upcoming Conce…
Graham County USD 281,KS,https://www.usd281.com,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
La Crosse USD 395,KS,https://www.usd395.org,https://www.usd395.org/pages/uploaded_files/Drug%20Policy-new%20revised.pdf,,https://www.usd395.org/vnews/display.v/SEC/Middle%20School%7CStaff,Missing: tech (crawl limited),2,0,0,1,0,1,,,"ereof) to the contrary shall be
borne by the student and his/her parent/guardian. The decision by the DER may be appealed in
writing to the superintendent of schools within three working days. The superintendent shall
render a written decision within three working days. The decis…",,"e along with the student and one other witness.
E. If the test for any student has a positive result at the laboratory, the laboratory will contact the
custodial parent or guardian and solicit any information on medication which could create a
positive test result. A medical revi…"
