district,state,homepage,found_policy_url,found_tech_url,found_contact_url,notes,score_0_to_5,public_ai_policy_exists,ai_use_publicly_disclosed,oversight_named,board_policy_mentions_ai,public_contact_available,evidence_public_ai_policy_exists,evidence_ai_use_publicly_disclosed,evidence_oversight_named,evidence_board_policy_mentions_ai,evidence_public_contact_available
Lamar County School District (extends into Pearl County),MS,https://www.lamarcountyschools.org/,,,,"Missing: policy, tech, contact (crawl limited)",3,1,0,0,1,1,yee Portal Applitrack Employee Only Section (Restricted) Desk Phone Access Fax Training for New eFax System School Health Training-Teachers Policy and Procedures AI Companion PERS AI Companion 2025-2026 EMPLOYEE HANDBOOK All employees of the district are asked to read the handboo…,,,yee Portal Applitrack Employee Only Section (Restricted) Desk Phone Access Fax Training for New eFax System School Health Training-Teachers Policy and Procedures AI Companion PERS AI Companion 2025-2026 EMPLOYEE HANDBOOK All employees of the district are asked to read the handboo…,lar Links Home District Employees Our District Parents Students School Finder Departments Employment Opportunities Bond Referendum Calendar Contact Community Announcements Home District Employees Our District Parents Students School Finder Departments Employment Opportunities Bon…
Durant Public School District,MS,http://durant.k12.ms.us/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Coahoma County School District,MS,https://www.coahomak12.org,,,https://www.coahomak12.org/apps/pages/index.jsp?uREC_ID=1332446&type=d&pREC_ID=staff,"Missing: policy, tech (crawl limited)",2,0,0,1,0,1,,,ograms Bookkeeper 662-624-5448/ X1012 Maintenance Andrea Jones Maintenance & Transportion Secretary 662-627-7819 Glenn Williams Maintenance Director 662-627-7819 662-902-5175 Staff Anthony Dixon Technology Director 662-624-5448/X1030 Staff Listing Stephen James Chief/SRO 662-624-…,,"inquiries, please contact Crystal Gooden, Title IX/ADA Coordinator or Latasha Turner, 504 Coordinator at 662.624.5448 . Mobile Footer Links Staff Directory Calendar News Contact Staff – Federal Programs – Coahoma County School District Skip to main content Coahoma County School D…"
Drew School District,MS,http://www2.mde.k12.ms.us/6720/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Mississippi School for Mathematics and Science,MS,https://themsms.org/,,,https://themsms.org/faculty-staff-resources/,"Missing: policy, tech (crawl limited)",2,0,0,1,0,1,,,Employee Resources Calendar Directory Subscribe Contact APPLY NOW About History of MSMS News Map & Directions Contact Us Faculty and Staff Directory Employment Opportunities Academics Courses Research & Mentorship Engineering Computer Science Mathematics Physics Chemistry Biology…,,ources Employee Resources Calendar Directory Subscribe Contact APPLY NOW About History of MSMS News Map & Directions Contact Us Faculty and Staff Directory Employment Opportunities Academics Courses Research & Mentorship Engineering Computer Science Mathematics Physics Chemistry …
Columbia School District,MS,http://www.columbiaschools.org/,https://www.columbiaschools.org/privacy-policy,https://www.columbiaschools.org/discover-csd/departments/technology,https://www.columbiaschools.org/staff-resources,,1,0,0,1,0,0,,,ia School District Skip To Main Content Close Menu Search Open Search Clear Search Close Search Search Clear Search Discover CSD Leadership Superintendent's Office Departments Federal Programs Child Nutrition Special Services Technology Business Our Schools Board of Trustees Abou…,,
Hinds County School District,MS,https://www.hinds.k12.ms.us,,,,"Missing: policy, tech, contact (crawl limited)",1,0,0,0,0,1,,,,,"ent & Student handbook WHY HCSD Employment View Our Videos.... Find Us Hinds County School District 13192 Highway 18 West Raymond, MS 39154 Phone: 601.857-5222 Fax: 601-857-8548 Stay Connected Copyright © 2026 Hinds County School District. All rights reserved. Powered By Apptegy …"
Cleveland School District,MS,https://www.cleveland.k12.ms.us,https://www.cleveland.k12.ms.us/departments/federal-programs-title-i/parental-involvement-policy,,https://www.cleveland.k12.ms.us/departments/special-services/for-staff,Missing: tech (crawl limited),2,0,0,1,0,1,,,istrict Policies (opens in new window/tab) Live Stream Meetings (opens in new window/tab) District Map Opposition of School Choice Programs Superintendent Deputy Superintendent District Reports Literacy-Based Promotion Act Annual Report District Report Cards Comprehensive Needs A…,,ing Scholars Program-DSU (opens in new window/tab) For Faculty Active Resources Faculty Resources MDE Code of Ethics Pacing Guides District Email (opens in new window/tab) Calendars Vector-CSD Training (opens in new window/tab) Employee Handbook LeanStream-School Store CSD Mainte…
George County School District,MS,https://www.gcsd.us,https://www.gcsd.us/school-board,https://www.gcsd.us/information-technology,https://www.gcsd.us/staff-aup,,2,0,0,1,0,1,,,Button Slide title Click Here Button Slide title Click Here Button Slide title GCHS - Official ACT WorkKeys Testing Site Button Slide title Superintendent Message - House Bill 2 - Click Here Button Slide title Download our App today! Button Slide title WE ARE HIRING - CLICK HERE …,,"policies will be made available on this site by clicking on the link above. If you have questions concerning School Board Policies, please contact the George County School District Central Services Office at 601-947-6993. SCHOOL BOARD MEETING All regular school board meetings are…"
Puerto Rico,MS,https://de.pr.gov/,,,,"Missing: policy, tech, contact (crawl limited)",1,0,0,1,0,0,,,rvicios Asuntos Academicos TAL SEPI Recursos Empleos Ofertas de Empleo Portal de Recursos Humanos Portal del Empleado Aplicaciones Internas Directorio Portal oficial del Gobierno de Puerto Rico Un sitio web oficial .pr.gov pertenece a una organización oficial del Gobierno de Puer…,,
Northern Mariana Islands,MS,https://www.cnmipss.org,https://www.cnmipss.org/state-boe-board-members,,https://www.cnmipss.org/contact-info,Missing: tech (crawl limited),2,0,0,1,0,1,,,ols Elementary Schools Middle Schools Jr. Sr. High Schools High Schools Curriculum & Instruction Special Programs School Calendar Child Nutrition Program Pupil Transportation Schools Directory Head Start/ Early Head Start Special Education Special Education Program overview Onlin…,,Vacancy Announcements PSS Policies & SOPs Human Resources HR Information Job Vacancy Announcements Employee Resources Gallery Photos Videos Contact Info STUDENT REGISTRATION INFO STATE BOE - CERTIFICATION Home K-12 Schools All Schools Elementary Schools Middle Schools Jr. Sr. Hig…
Laurel School District,MS,http://www.laurelschools.org/,https://www.laurelschools.org/ada-policy,,https://www.laurelschools.org/about/contact-us,Missing: tech (crawl limited),2,0,0,1,0,1,,,"er (opens in new window) Visit us on Vimeo (opens in new window) Follow us on Instagram (opens in new window) About Show sub menu for About Superintendent Mission, Beliefs, Goals Accountability Policies Organizational Chart Strategic Plan 2025-2030 Employment Contact Us Title IX …",,"sub menu for About Superintendent Mission, Beliefs, Goals Accountability Policies Organizational Chart Strategic Plan 2025-2030 Employment Contact Us Title IX Schools Show sub menu for Schools Career & Technical Center Laurel Education Center Laurel High School Laurel Magnet Scho…"
Kemper County School District,MS,https://www.kempercountyschools.org,https://www.kempercountyschools.org/schoolboardmembers-policies,,https://www.kempercountyschools.org/centralofficestaff,Missing: tech (crawl limited),2,0,0,1,0,1,,,ram Ext Student Handbook Drivers & Routes Contact Social Emotional Learning Referral Elementary Middle & High School CTE Success School Our Superintendent Welcome to the 2025 - 26 school year. We’re excited for the start of a new year and the opportunity it presents for setting n…,,Counseling Parent Survey - School Engagement Parent Consent Form for SEL Services Summer Food Program Ext Student Handbook Drivers & Routes Contact Social Emotional Learning Referral Elementary Middle & High School CTE Success School Our Superintendent Welcome to the 2025 - 26 sc…
Forrest County School District,MS,https://www.fcsd.us/,,https://www.fcsd.us/technology,https://www.fcsd.us/contact,Missing: policy (crawl limited),1,0,0,0,0,1,,,,,Home Skip to main content Login Search Top Navigation Menu Home ActiveParent District Information Contact Us Employment Food Services Gifted Education Graduation Homeless / Foster Care Information Public Forms Special Services Employees School B…
Prentiss County School District,MS,https://prentisscountyschools.com,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Columbus Municipal School District,MS,https://www.columbuscityschools.org/,,,,"Missing: policy, tech, contact (crawl limited)",1,0,0,0,0,1,,,,,"OUR THOUGHTS... EVENTS CALENDAR Athletics Employment Page Find Us Columbus Municipal School District 2630 McArthur Drive Columbus, MS 39705 Phone: 662-241-7400 Fax: 662-241-7453 www.columbuscityschools.org Schools Columbus Municipal School District Columbus High School Columbus M…"
Newton County School District,MS,https://www.newton.k12.ms.us/,,,https://www.newton.k12.ms.us/staffdirectory,"Missing: policy, tech (crawl limited)",2,0,0,1,0,1,,,"Map Dropout Prevention Schools Newton County Elementary School Newton County Middle / High School × Close About Us Superintendent's Message Superintendent's Message As we embark on another exciting school year, I am filled with gratitude and enthusiasm for the journey ahead. It i…",,Our District District Leadership Emergency Communications District & School Boundaries Map Strategic Plan Location Superintendent's Message Staff Directory Departments Athletics Business Services Federal Programs and Accountability Food Service Health Resources Human Resources Ma…
American Samoa,MS,https://www.doe.as/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
McComb School District,MS,http://www.mccomb.k12.ms.us/,,,https://www.mccomb.k12.ms.us/apps/contact/,"Missing: policy, tech (crawl limited)",2,0,0,1,0,1,,,"l Denman Junior High School McComb High School Business and Technology Complex TAC Alternative School Facebook Twitter E-Mail search Search Superintendent's Message Dear McComb School District Community, It is with great excitement, heartfelt gratitude, and a humble heart that I …",,"t verifications through Verifent. McComb School District 695 Minnesota Ave, McComb, MS 39648 Phone: (601) 684-4661 Powered by Edlio Schools Staff Directory Board Calendar Contact | McComb School District Skip to main content McComb School District We produce students empowered to…"
West Tallahatchie School District,MS,https://www.wtsdschools.org/,https://www.wtsdschools.org/page/anti-bullying-policy,,,"Missing: tech, contact (crawl limited)",1,0,0,1,0,0,,,"NSISTENTLY WITH ALL APPLICABLE STATE AND FEDERAL LAWS. DETAILED INFORMATION ABOUT THIS POLICY CAN BE FOUND ON FILE AT THIS SCHOOL SITE, THE SUPERINTENDENT’S OFFICE OR THE DISTRICT WEBSITE AT www.wtsdschools.org ALL DISTRICT FACULTY AND STAFF ARE REQUIRED AND MUST REPORT, IN WRITI…",,
Itawamba Agricultural High School,MS,http://www.itawambacountyschools.com/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
