district,state,homepage,found_policy_url,found_tech_url,found_contact_url,notes,score_0_to_5,public_ai_policy_exists,ai_use_publicly_disclosed,oversight_named,board_policy_mentions_ai,public_contact_available,evidence_public_ai_policy_exists,evidence_ai_use_publicly_disclosed,evidence_oversight_named,evidence_board_policy_mentions_ai,evidence_public_contact_available
Powder River,MT,http://www.prco.mt.gov,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Bozeman Public Schools,MT,https://www.bsd7.org/,https://www.bsd7.org/our-district/policies,https://www.bsd7.org/our-district/departments/technology-services,https://www.bsd7.org/our-district/staff-directory,,2,0,0,1,0,1,,,r Board Packets Mega Issue Board Committees Community Partners Connect Departments Business Services - Payroll - Wellness - Benefits Deputy Superintendents Facilities Fine Arts Food Services Human Resources Special Education Student Health Services Technology Services Transportat…,,"rollment Equity and Student Success ESSA Report Card Long Range Collaboration Plan Long Range Strategic Plan (LRSP) Policies Superintendent Staff Directory Teaching & Learning Curriculum, Instruction, and Assessment District Programs Adult Community Education Bozeman Adult Learni…"
Sheridan,MT,http://www.co.sheridan.mt.us,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Carter,MT,http://www.cartercountymt.info,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Prairie,MT,http://www.prairie.mt.gov,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Northern Mariana Islands,MT,https://www.cnmipss.org,https://www.cnmipss.org/state-boe-board-members,,https://www.cnmipss.org/contact-info,Missing: tech (crawl limited),2,0,0,1,0,1,,,ols Elementary Schools Middle Schools Jr. Sr. High Schools High Schools Curriculum & Instruction Special Programs School Calendar Child Nutrition Program Pupil Transportation Schools Directory Head Start/ Early Head Start Special Education Special Education Program overview Onlin…,,Vacancy Announcements PSS Policies & SOPs Human Resources HR Information Job Vacancy Announcements Employee Resources Gallery Photos Videos Contact Info STUDENT REGISTRATION INFO STATE BOE - CERTIFICATION Home K-12 Schools All Schools Elementary Schools Middle Schools Jr. Sr. Hig…
Meagher,MT,http://www.meaghercounty.org,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Liberty,MT,http://www.co.liberty.mt.us,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Phillips,MT,http://www.phillipscounty.mt.gov,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Daniels,MT,http://www.scobey.org/index.html,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Richland,MT,http://www.richland.org,https://www.richland.org/privacy-policy.html,,https://www.richland.org/staff-directory.html,Missing: tech (crawl limited),2,0,0,1,0,1,,,dinator [email protected] Heidi Moran DUI/Injury Prevention Coordinator CONNECT Coordinator MCH Assistant [email protected] Amber Pust RSVP Director [email protected] Rita Jacobson RSVP Coordinator [email protected] Lori Harrison RSVP Coordinator [email protected] Privacy Policy …,,y Planning Chronic Disease > Tobacco Use Prevention Montana Asthma Program Montana Cancer Control Program Behavioral Health Board of Health Staff Directory Justice Court > Paying Tickets Court Calendar Library > Learn More About Us > Staff Our History My Library > My Card Catalog…
Broadwater,MT,http://www.co.broadwater.mt.us,,,,"Missing: policy, tech, contact (crawl limited)",1,0,0,0,0,1,,,,,and wizards Powerful DNS tools Powerful analytics reports They don't monetize or sell my data They protect my rights They don't datamine my email SEARCH The premiere tech news and cyber-security digest © 2026 easyDNS™ Technologies Inc. Privacy Terms Support Pricing…
Yellowstone,MT,http://nps.gov/yell,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Economy,MT,https://www.mt.gov/,,,,"Missing: policy, tech, contact (crawl limited)",2,0,0,1,0,1,,,reme Court Opinions Attorney General Opinions Former Governors Montana Legislature 221 Session Information (Laws) Executive Budgets Library Directory Make A Donation To Montana State Government Site maintained by: State Information Technology Services Division PO Box 200113 Helen…,,"Releases View More News Governor Greg Gianforte Budget for the 2025 Biennium Business Portal Transparency in Government Montana Data Portal Contact the Governor Local Information Interactive Maps View Gallery City, County & State Contacts CITY Montana League of Cities and Towns A…"
Lincoln,MT,http://www.lincolncountymt.us,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Powder River County District High School,MT,http://www.broadus.net/,https://www.broadus.net/school-board,,https://www.broadus.net/staff,Missing: tech (crawl limited),2,0,0,1,0,1,,,"for Civil Rights of the Department of Education, or both. The Board designates the following individual to serve as the District’s Title IX Coordinator: Name and Title : Denise Ternes - Principal and Title IX Coordinator Office address : 500 N. Trautman, Broadus, MT Email : denis…",,"n content Skip to navigation Broadus Public Schools Home Sports & Activities Calendar Parent/Student Portal Staff School Board Job Openings Contact Guidance Counselor Library Handbooks, Forms, Apps Sexual Harassment Information Broadus Public Schools Home Sports & Activities Cale…"
Custer,MT,http://www.co.custer.mt.us,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Ravalli,MT,http://www.rc.mt.gov,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Rosebud,MT,http://www.rosebudcountymt.gov,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Wheatland,MT,http://www.harlowtonchamber.com,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Petroleum,MT,http://www.petroleumcountymt.com,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Stillwater,MT,http://www.stillwater.mt.gov,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Havre Elementary School/ Havre High School,MT,http://www.havre.k12.mt.us/193410512175313147/site/default.asp,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Rocky Boy Elementary School/ Rocky Boy High School,MT,http://www.rockyboy.k12.mt.us,https://www.rockyboy.k12.mt.us/documents/rocky-boy-school-district-policies/23131107,,,"Missing: tech, contact (crawl limited)",1,0,0,0,0,1,,,,,POLICIES 2025-2026 school handb programs Robotics Athletics 21st Century Program Rocky Boy Schools Rocky Boy Schools 81 Mission Taylor Road Contact Us AppStore (opens in new window/tab) Facebook (opens in new window/tab) Twitter (opens in new window/tab) YouTube (opens in new win…
Pondera,MT,http://www.ponderacountymontana.org,,,,"Missing: policy, tech, contact (crawl limited)",2,0,0,1,0,1,,,"iculture and home economics, acts of May 8 and June 30, 1914, in cooperation with the U.S. Department of Agriculture, Cody Stone, Executive Director of Extension, Montana State University, Bozeman, MT 59717. ​ ​ HELPFUL LINKS __________ Pondera MSU Extension ​ Pondera Extension F…",,"customized Community Notification Enrollment webpage that allows Pondera County residents and businesses to voluntarily add or update their contact information, ensuring that they will be included when an emergency message is sent. The contact information you provide remains priv…"
Yellowstone,MT,http://www.co.yellowstone.mt.gov,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Deer Lodge,MT,http://www.anacondadeerlodge.mt.gov,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Treasure,MT,https://www.treasurecountymt.gov/,,,https://www.treasurecountymt.gov/contact,"Missing: policy, tech (crawl limited)",2,0,0,1,0,1,,,tion Advisory Committee until one can be appointed. A driver will be hired to transport passengers to their needed destinations and will be responsible for maintaining travel and vehicle maintenance records. The transportation coordinator will be responsible for administrative du…,,ng Treasurer Resources Chamber of Commerce Elections Jobs Justice Court Info Lion's Club Public Health Rosebud County School Forms Calendar Contact Treasure County... Montana's Hidden Treasure 1/5 Commissioners Meet our commissioners Commerce Chamber of Commerce Business Local Bu…
Blaine,MT,http://www.co.blaine.mt.gov,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Valley,MT,http://valleycountymt.net,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Madison,MT,http://www.madison.mt.gov,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Puerto Rico,MT,https://de.pr.gov/,,,,"Missing: policy, tech, contact (crawl limited)",1,0,0,1,0,0,,,rvicios Asuntos Academicos TAL SEPI Recursos Empleos Ofertas de Empleo Portal de Recursos Humanos Portal del Empleado Aplicaciones Internas Directorio Portal oficial del Gobierno de Puerto Rico Un sitio web oficial .pr.gov pertenece a una organización oficial del Gobierno de Puer…,,
Fergus,MT,https://fergusmt.gov/,,,https://fergusmt.gov/contact,"Missing: policy, tech (crawl limited)",2,0,0,1,0,1,,,"ourt Juvenile Probation Lewistown Airport Local Advisory Council for Mental Health Planning Office Road Department Sheriff/Coroner's Office Superintendent of Schools Treasure's Office Weed District Boards Community Links How Do I? Contact Newsletter Fergus County, Montana Fergus …",,"Office Road Department Sheriff/Coroner's Office Superintendent of Schools Treasure's Office Weed District Boards Community Links How Do I? Contact Newsletter Fergus County, Montana Fergus County News & Information 2026 2026 Commission Meetings 2025 Commission Meetings Prior Year …"
Granite,MT,http://www.co.granite.mt.us,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Golden Valley,MT,http://www.co.golden-valley.mt.us,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Glacier,MT,http://www.glaciercountymt.org,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Mineral,MT,http://www.co.mineral.mt.us,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Fallon,MT,http://www.falloncounty.net,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Dawson,MT,http://www.dawsoncountymontana.org,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Cascade,MT,http://www.co.cascade.mt.us,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
