district,state,homepage,found_policy_url,found_tech_url,found_contact_url,notes,score_0_to_5,public_ai_policy_exists,ai_use_publicly_disclosed,oversight_named,board_policy_mentions_ai,public_contact_available,evidence_public_ai_policy_exists,evidence_ai_use_publicly_disclosed,evidence_oversight_named,evidence_board_policy_mentions_ai,evidence_public_contact_available
Dickinson Public Schools,ND,https://www.dickinson.k12.nd.us,https://www.dickinson.k12.nd.us/ada-policy,,https://www.dickinson.k12.nd.us/our-district/staff-directory,Missing: tech (crawl limited),2,0,0,1,0,1,,,"ouTube SchoolStatus Sites, a web platform for schools Website accessibility policy Privacy policy Site map Report accessibility issue Staff Directory | Our District Skip to Main Content Search Website Translate Directory Click to display search form Open main menu Our District Sh…",,"w on YouTube SchoolStatus Sites, a web platform for schools Website accessibility policy Privacy policy Site map Report accessibility issue Staff Directory | Our District Skip to Main Content Search Website Translate Directory Click to display search form Open main menu Our Distr…"
Northern Mariana Islands,ND,https://www.cnmipss.org,https://www.cnmipss.org/state-boe-board-members,,https://www.cnmipss.org/contact-info,Missing: tech (crawl limited),2,0,0,1,0,1,,,ols Elementary Schools Middle Schools Jr. Sr. High Schools High Schools Curriculum & Instruction Special Programs School Calendar Child Nutrition Program Pupil Transportation Schools Directory Head Start/ Early Head Start Special Education Special Education Program overview Onlin…,,Vacancy Announcements PSS Policies & SOPs Human Resources HR Information Job Vacancy Announcements Employee Resources Gallery Photos Videos Contact Info STUDENT REGISTRATION INFO STATE BOE - CERTIFICATION Home K-12 Schools All Schools Elementary Schools Middle Schools Jr. Sr. Hig…
Halliday Public School District,ND,https://www.halliday.k12.nd.us/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Selfridge Public School District,ND,http://www.selfridge.k12.nd.us,https://www.selfridge.k12.nd.us/page/policies-programs,,https://www.selfridge.k12.nd.us/page/administration,Missing: tech (crawl limited),2,0,0,1,0,1,,,Selfridge Public School Skip to content Monthly Calendar Lunch Menu Yearly Academic Calendar PowerSchool Search site Selfridge Public School Home of the Chieftains! Monthly Calendar Lunch Menu Yearly Academic Calendar PowerSchool Search site Explore Explore Sign in Explore Sign i…,,"arnival Ticket Winner Find Us Selfridge Public School 210 2nd Ave S / PO Box 45 Selfridge, North Dakota 58568 701-422-3353 701-422-3348 fax Contact Information Superintendent: David Mahon 701-422-3353 ext. 102 K-12 Principal: Mark Sondag 701-422-3353 ext. 103 Business Manager: Ha…"
New Salem Public School District,ND,https://www.new-salem.k12.nd.us/,https://www.new-salem.k12.nd.us/page/school-board-meetings,,https://www.new-salem.k12.nd.us/page/staff-resources,Missing: tech (crawl limited),2,0,0,1,0,1,,,"Policy Strategic Plan Health and Safety Plans Jobs Jobs Alumni Alumni More Show submenu for Professional Support Staff Position: Technology Coordinator Salary: $41,000 – DOE (10 month contract) Benefits: Both sides of TFFR paid by the district, full single health policy Job Descr…",,kip Gallery Welcome to New Salem-Almont Public Schools Welcome to New Salem-Almont Public Schools Home of the Holsteins End of Gallery JObs Staff Directory School Board Information 2025-2026 District Calendar Health & Safety Plans Team Store Cell Phones New Salem-Almont High Scho…
Bismarck Public School District 1,ND,https://www.bismarckschools.org/,https://www.bismarckschools.org/about-bps/departments/technology/policies-plans-guidelines/social-media,https://www.bismarckschools.org/about-bps/departments/technology/policies-plans-guidelines/social-media,https://www.bismarckschools.org/about-bps/departments/technology/contact-ushelp-desk,,2,0,0,1,0,1,,,"have a policy in place regarding parents being able to Opt Out their child from Directory Information. If the child has been opted out, the directory information cannot be publicly published without prior written consent of the parent. Opt out information includes student name, a…",,ow/tab) Calendar Busing Learner Login (opens in new window/tab) Pay Online (opens in new window/tab) School Meals (opens in new window/tab) Staff Directory (opens in new window/tab) Our Mission & Vision Empower Every Learner to Thrive! It is the mission of Bismarck Public Schools…
Puerto Rico,ND,https://de.pr.gov/,,,,"Missing: policy, tech, contact (crawl limited)",1,0,0,1,0,0,,,rvicios Asuntos Academicos TAL SEPI Recursos Empleos Ofertas de Empleo Portal de Recursos Humanos Portal del Empleado Aplicaciones Internas Directorio Portal oficial del Gobierno de Puerto Rico Un sitio web oficial .pr.gov pertenece a una organización oficial del Gobierno de Puer…,,
American Samoa,ND,https://www.doe.as/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Hawaii,ND,http://www.hawaiipublicschools.org/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
New Rockford-Sheyenne Public School District,ND,http://www.newrockford.k12.nd.us/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Maple Valley Public School District,ND,http://www.maple-valley.k12.nd.us,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Fargo Public Schools,ND,https://www.fargo.k12.nd.us/,https://www.fargo.k12.nd.us/about-us/administrative-policies,,https://www.fargo.k12.nd.us/about-us/staff-directory,Missing: tech (crawl limited),2,0,0,1,0,1,,,card Enrollment Data Land Acknowledgement Statement School Cancellation Process Staff Directory District Office Directory Elementary School Directory Secondary School Directory Strategic Plan Strategic Initiatives Results Monitoring Student Handbooks Superintendent Profile Commen…,,eporting Forms Calendars Curriculum Overviews District Scorecard Enrollment Data Land Acknowledgement Statement School Cancellation Process Staff Directory Strategic Plan Student Handbooks Superintendent Profile Comments/Questions School Board Overview Board Meetings Board Member…
Mandaree Public School District,ND,https://www.mandaree.k12.nd.us/,https://www.mandaree.k12.nd.us/page/school-board,,https://www.mandaree.k12.nd.us/staff,Missing: tech (crawl limited),2,0,0,1,0,1,,,mic Interventionist Title 1 Geralee Campugan 5th Gr. Teacher Mandaree Elementary Devona Condon Facilities Worker Facilities Andrea Deville Title I ParaProfessional Title 1 Michael Deville Athletic Director Athletics 7017593311x304 Josephine Espino Assist.Business Mgr./HR Business…,,ing areas: Accounting and Finance Financial Planning and Reporting Budgeting Payroll Accounts Payable Purchasing Negotiations Notary Please Contact a representative from the Business Office for assistance or questions related to these services. Business Office Team Kent Anderson …
