district,state,homepage,found_policy_url,found_tech_url,found_contact_url,notes,score_0_to_5,public_ai_policy_exists,ai_use_publicly_disclosed,oversight_named,board_policy_mentions_ai,public_contact_available,evidence_public_ai_policy_exists,evidence_ai_use_publicly_disclosed,evidence_oversight_named,evidence_board_policy_mentions_ai,evidence_public_contact_available
Littleton,NH,http://www.townoflittleton.org/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Alstead,NH,http://www.alsteadnh.org/,https://www.alsteadnh.org/alsteademployeepolicies,,,"Missing: tech, contact (crawl limited)",2,0,0,1,0,1,,,vote as a fundamental civil right and will assure that all elections are conducted in a fair and open manner providing equal access to all citizens. NH Town Clerk Directory Revaluation Q&A Deliberative Session Minutes ​ Town Offices Guide © 2017-2025 Town of Alstead Website Discl…,,"info, Subdivision Plans, Updates to Tax Cards & Deeds, and Lot Line Adjustments are now being handled by the Land Use Clerk, Sharon Iozzo. Contact Sharon with your questions via telephone at (603) 835-2986, by email at siozzo@alsteadnh.gov or stop by the Town Offices to speak wit…"
North Hampton,NH,http://www.northhampton-nh.gov/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Groton,NH,http://www.town-of-groton.com/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
New Hampton,NH,http://www.new-hampton.nh.us/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Grantham,NH,https://www.granthamnh.net,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
New London,NH,http://www.nl-nh.com/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
New Durham,NH,http://www.newdurhamnh.us/,https://www.newdurhamnh.us/uploads/information_technology_policy_and_procedures.pdf,https://www.newdurhamnh.us/uploads/information_technology_policy_and_procedures.pdf,,Missing: contact (crawl limited),1,0,0,0,0,1,,,,,"nda PDF More Options Town of New Durham, NH 4 Main Street New Durham, NH 03855 United States of America 32°F 6 mph Feels like: 26°F YouTube Phone (603) 859-2091 Made with by TownCloud © Copyright 2026. All rights reserved. Official Documents & Links | Town of New Durham, NH New D…"
Tamworth,NH,http://www.tamworthnh.org/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Merrimack,NH,http://www.merrimacknh.gov,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Berlin,NH,https://www.berlinnh.gov/,,,https://www.berlinnh.gov/directory.aspx,"Missing: policy, tech (crawl limited)",2,0,0,1,0,1,,,603-752-4450 Waste Water Treatment & Collection System 603-752-8563 Welfare Department 603-752-2120 Address Holder http://www.berlinnh.gov/directory.aspx?DID= Live Edit Online Bill Pay Trash & Recycling Tax Cards Mapping Bids & RFQ’s Live Meetings Contact Us Berlin City Hall 168 …,,"ernment Websites by CivicPlus® Loading Loading Do Not Show Again Close Arrow Left Arrow Right [] Slideshow Left Arrow Slideshow Right Arrow Staff Directory • Berlin, NH • CivicEngage Skip to Main Content Create a Website Account - Manage notification subscriptions, save form prog…"
Hooksett,NH,http://www.hooksett.org/,https://www.hooksett.org/departments/administration/policies_and_regulations.php,,https://www.hooksett.org/departments/administration/policies_and_regulations.php,Missing: tech (crawl limited),2,0,0,1,0,1,,,"Tue: 8 AM - 4:30 PM Wed: 8 AM - 6:30 PM Thu: 8 AM - 4:30PM Fri: 8 AM - 12:00 PM Sat-Sun: Closed PHONE: 603.485.8471 CONTACT US: Department Directory © HOOKSETT, NH Powered by revize., the Government Website Experts. Login × Town Hall Closures & Temp Change in hours for Town Clerk…",,ustment Agendas & Minutes Special Projects Route 3A Intersections Project 3A TIF Project Martins Ferry Road Project View Meetings RFPs/Bids Staff Directory Departments Administration Documents & Reports Agendas & Minutes Agreements and Contracts Policies And Regulations Right to …
Newton,NH,http://www.newton-nh.gov/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Deerfield,NH,http://www.townofdeerfieldnh.com/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Dalton,NH,http://www.townofdalton.com/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Meredith,NH,http://www.meredithnh.org/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Durham,NH,http://www.ci.durham.nh.us/,,https://www.ci.durham.nh.us/it,https://www.ci.durham.nh.us/directory?field_business_categories_tid=111,Timed out (district budget exceeded),2,0,0,1,0,1,,,"ndar Public Hearing Notices State & U.S. Representatives Business Directory The Town of Durham does not endorse any business listed in this directory, nor does the Town take any responsibility for the accuracy of the information listed here. Feature your business in our town dire…",,ement Finance (TIF) Districts Tax Maps Town Charter Town Code Town Reports Town Wide Master Fee Schedule Zoning Ordinance Voter Information Contact Us Cemetery Information Social Media Facebook Twitter Town Newsletter Friday Updates Town Meetings & Events Agenda and Minutes Calen…
Dorchester,NH,http://www.townofdorchester.net/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Woodstock,NH,http://www.woodstocknh.org/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Springfield,NH,http://www.springfieldnh.net/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Canaan,NH,http://www.townofcanaannh.us/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
New Ipswich,NH,http://www.townofnewipswich.org/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Hampton Falls,NH,http://www.hamptonfalls.org/,https://www.hamptonfalls.org/195/Boards-Committees,,https://www.hamptonfalls.org/Directory.aspx,Missing: tech (crawl limited),2,0,0,1,0,1,,,603-926-4618 Trust Funds 603-926-4618 Ext. 103 Zoning Board of Adjustment 603-926-4618 Ext. 104 Address Holder http://www.hamptonfalls.org/directory.aspx?DID= Live Edit Municipal Directory Applications and Forms Regulations Minutes & Agendas RFPs Meeting Videos Town of Hampton Fa…,,"ernment Websites by CivicPlus® Loading Loading Do Not Show Again Close Arrow Left Arrow Right [] Slideshow Left Arrow Slideshow Right Arrow Staff Directory • Hampton Falls, NH • CivicEngage Skip to Main Content Create a Website Account - Manage notification subscriptions, save fo…"
Hollis,NH,http://www.hollis.nh.us/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Deering,NH,http://www.deering.nh.us/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Sunapee,NH,http://www.town.sunapee.nh.us/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Ossipee,NH,http://www.ossipee.org/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Northfield,NH,http://www.northfieldnh.org/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Jefferson,NH,http://www.jeffersonnh.org/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Shelburne,NH,http://www.shelburnenh.com/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Newmarket,NH,https://www.newmarketnh.gov/,,,https://www.newmarketnh.gov/directory.aspx,"Missing: policy, tech (crawl limited)",2,0,0,1,0,1,,,"Town Clerk-Tax Collector's Office 603-659-3617, ext. 4070 Welfare and Human Services 603-817-9536 Address Holder http://www.newmarketnh.gov/directory.aspx?DID= Live Edit Online Payments Forms & Permits Minutes & Agendas Subscribe to Alerts / News Contact Us Town of Newmarket 186 …",,"ernment Websites by CivicPlus® Loading Loading Do Not Show Again Close Arrow Left Arrow Right [] Slideshow Left Arrow Slideshow Right Arrow Staff Directory • Newmarket, NH • CivicEngage Skip to Main Content EMERGENCY ALERT Town of Newmarket: Trash Collection Delayed This week Rea…"
Gilford,NH,http://www.gilfordnh.org/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Albany,NH,http://www.albanynh.org/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Benton,NH,http://www.tobentonnh.org,,,,"Missing: policy, tech, contact (crawl limited)",1,0,0,0,0,1,,,,,"ested in being a member of the Hazard Mitigation Plan/Community Wildlife Protection Plan Update Team or if you have comments or suggestions contact: sfmatz@gmail.com Nestled between the river towns of Woodsville and North Haverhill and the mountain towns of Easton, Landaff, Woods…"
Concord,NH,http://www.onconcord.com,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Bedford,NH,http://www.ci.bedford.nh.us/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Waterville Valley,NH,https://www.watervillevalley.org/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Wolfeboro,NH,http://www.wolfeboronh.us/,,,https://www.wolfeboronh.us/FormCenter/General-Forms-4/Contact-Us-79,"Missing: policy, tech (crawl limited)",2,0,0,1,0,1,,,wer Collection 603-569-5360 Welfare Department 603-569-8161 / After Hours: 603-569-1444 after 4 pm Address Holder http://www.wolfeboronh.us/directory.aspx?DID= Live Edit Minutes & Agendas Learn more Town Calendar Learn more Online Payments Learn more Contact Us Learn more Forms &…,,"ernment Websites by CivicPlus® Loading Loading Do Not Show Again Close Arrow Left Arrow Right [] Slideshow Left Arrow Slideshow Right Arrow Staff Directory • Wolfeboro, NH • CivicEngage Skip to Main Content Office Closure Town Offices will be closed due to weather Read On... Crea…"
Danville,NH,http://www.townofdanville.org/,https://www.townofdanville.org/1196/Boards-Committees,,https://www.townofdanville.org/1358/Contact-Us,Missing: tech (crawl limited),1,0,0,0,0,1,,,,,"tes Review / Pay Taxes /QuickLinks.aspx Danville, NH Town Hall 210 Main Street Danville, NH 03819 Phone: (603) 382-8253 Fax: (603) 382-3363 Contact Us Home Site Map Accessibility Copyright Notices Privacy Policy /QuickLinks.aspx Government Websites by CivicPlus® Loading Loading D…"
Pittsburg,NH,http://www.pittsburg-nh.com/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
