district,state,homepage,found_policy_url,found_tech_url,found_contact_url,notes,score_0_to_5,public_ai_policy_exists,ai_use_publicly_disclosed,oversight_named,board_policy_mentions_ai,public_contact_available,evidence_public_ai_policy_exists,evidence_ai_use_publicly_disclosed,evidence_oversight_named,evidence_board_policy_mentions_ai,evidence_public_contact_available
Hopewell Township School District – K-8,NJ,http://www.hopewellcrest.org,,,https://www.hopewellcrest.org/apps/staff/departmental.jsp?show=TDE,"Missing: policy, tech (crawl limited)",2,0,0,1,0,1,,,"e a Hawk, Always a Hawk!"",""delay"":""35""} + About » Attention Visitors » Calendars » HIB Information » Job Opportunities » Mission & Vision » Superintendent's Message » Resources » Facilities + Board of Education » Board Members » Public Notice / RFP's » Policy » Budget Information…",,logy Foundation » Special Needs Early Intervention Program » Student Restraint Policy » The Dog Ate my Handouts + Staff » Change Password » Staff Directory » Microsoft 365 Login » Submit a Tech / Maintenance Support Ticket » Employment Resources » General Resources » Language Lit…
Clinton-Glen Gardner School District (renamed from Clinton Public School as of 2009),NJ,https://www.cpsnj.org/,https://www.cpsnj.org/board-of-education/about-the-board-of-education,,,"Missing: tech, contact (crawl limited)",2,0,0,1,0,1,,,Records Handbook Booster Club Education Foundation (CPSPIE) About CPSPIE SCRIP Program News After School Enrichment Flyers CPS PIE Board of Directors Foundation Calendar PTO What is the PTO? CPS PTO Committee Overview PTO Meeting Minutes Bulldog T-shirts and more! SEPAG SEPAG MEE…,,ldog T-shirts and more! SEPAG SEPAG MEETINGS AND TRAINING EVENTS Community Events Calendar Technology Chromebook 1:1 Information Our School Contact Us Superintendent/Principal's Page Parent Math Presentation Handout Strategic Planning 2021 Title I Information Techspo 2018 TSA Awa…
Ramapo Indian Hills Regional High School District – Regional,NJ,http://www.rih.org,https://www.rih.org/board-of-ed/boe-meeting-archives,,https://www.rih.org/departments/guidance/guidance-dept/contacts,Missing: tech (crawl limited),2,0,0,1,0,1,,,ow < > BOE Meetings / Livestream RIH Highlights & Happenings Bell Schedules Wellness HIB / Report Concerns Registration MySchoolBucks Staff Directory Model United Nations Team Successes Ramapo and Indian Hills students showcased their diplomacy and leadership skills at the AMUN X…,,ab) Student Handbook Naviance (opens in new window/tab) Parents (opens in new window/tab) Genesis / Parent Portal (opens in new window/tab) Staff Directory Naviance MySchoolBucks (opens in new window/tab) Free Meal Program Misc Forms Faculty Genesis Google / Gmail Schoology (open…
Warren,NJ,http://www.co.warren.nj.us/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Clifton Public Schools,NJ,https://www.clifton.k12.nj.us/,https://www.clifton.k12.nj.us/boe-livestream,,https://www.clifton.k12.nj.us/contact-us,Missing: tech (crawl limited),1,0,0,0,0,1,,,,,ls District Calendar District Bell Schedule Clifton Education Foundation Community Partners Employment Opportunities CPS TV Bond Referendum Contact Us State & Federal Mandates User Friendly Budget 2025 - 2026 ARP COVID Safe Return Plan / Emergency Virtual Remote Instruction Plan …
Franklin Township Public Schools – PreK-6,NJ,http://franklintwpschools.org,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Watchung Hills Regional High School - Regional,NJ,http://www.whrhs.org,https://www.whrhs.org/district/hib-policy,https://www.whrhs.org/district/information-technology/it-staff,https://www.whrhs.org/district/information-technology/it-staff,,2,0,0,1,0,1,,,ergency Virtual or Remote Instruction Plan Operations/Buildings & Grounds Operations/Buildings & Grounds Facilities Stats and History B & G Directory Use of Facilities & Rentals Maintenance Requests Notifications Solar Dashboard Gardens Strategic Plan Strategic Plan 2020-2025 Str…,,"a student, parent or member of the public thinks they have a complaint in regard to Harassment, Intimidation and Bullying (HIB), you should contact Mr. Sabino as indicated below: School Anti-Bullying Specialist Jason Sabino ( jsabino@whrhs.org ) 908-647-4800 ext. 4860 Kevin Rice …"
Union Beach School System,NJ,http://www.unionbeachschools.org/,,,https://www.unionbeachschools.org/apps/staff/,"Missing: policy, tech (crawl limited)",4,1,0,1,1,1,ch Board Policies Union Beach Board of Education Policies and Regulations Board Policy 2330 - Homework Board Policy 2360 - Use of Technolgy Board Policy 2361 - Acceptable Use Board Policy 2365 - Acceptable Use of Generative Artificial Intelligence (AI) Board Policy 2412 - Home In…,,ools.org (732) 264-5400 x179 Guidance Samantha Jaslow Guidance Counselor sjaslow@unionbeachschools.org Information Technology Andrew Spaeth Chief Technology Officer aspaeth@unionbeachschools.org Kindergarten Nicole Conforti nconforti@unionbeachschools.org (732) 264-5400 x186 Mich…,ving in a global society. Search Search Board Policies Union Beach Board of Education Policies and Regulations Board Policy 2330 - Homework Board Policy 2360 - Use of Technolgy Board Policy 2361 - Acceptable Use Board Policy 2365 - Acceptable Use of Generative Artificial Intellig…,em-solving in a global society. Search Search Union Beach Public School District Home Home Page Main Image Shuffle Quicklinks Parent Portal Staff Directory Cafeteria Calendar Upcoming Events Feb 24 Board of Ed Meeting Feb 27 Progress Reports Mar 10 Board of Ed Meeting (as needed)…
Pemberton Borough (Burlington County),NJ,https://pembertonborough.us/,,,https://pembertonborough.us/contact-us.html,"Missing: policy, tech (crawl limited)",1,0,0,0,0,1,,,,,"titute of Technology Burlington County Library Community Organizations > Volunteer Center of Burlington County Historical Information Forms Contact Us Public Notices ordinance_no._2026-1__2026_cola_ordinance_.pdf File Size: 97 kb File Type: pdf Download File ​Notice to Bidders, H…"
Barnegat Township School District,NJ,http://www.barnegatschools.com,https://www.barnegatschools.com/page/board-of-education-members,,https://www.barnegatschools.com/o/bas/page/links-for-staff,Missing: tech (crawl limited),1,0,0,0,0,1,,,,,"District Calendar Staff Links Download the BTSD Mobile App Barnegat Township School District 550 Barnegat Blvd N Barnegat, NJ 08005 Number: Phone: (609) 698-5800 Copyright © 2026 Barnegat Township School District. All rights reserved. Powered By Apptegy Visit us to learn more Boa…"
Verona Public Schools – PreK-12,NJ,http://veronaschools.org,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Newark Public Schools – PreK-12,NJ,http://www.nps.k12.nj.us/,https://www.nps.k12.nj.us/departments/general-counsel/district-policies/,,https://www.nps.k12.nj.us/departments/human-resources/staffing-and-recruitment/job-opportunities/,Missing: tech (crawl limited),2,0,0,1,0,1,,,ee Legal Committee Instruction & Programs Committee Finance Committee Governance Committee Nancy J. Deering Department Head Department Head Director Frequently Asked Questions What is the Board’s Responsibility? The Board is responsible for the development of policy and for the e…,,ial Media Staffing and Recruitment How to become a teacher in New Jersey Information for Hiring Managers Information for New Employees NBOE Contact Information NBOE Careers NJ Civil Service Commission Exams Announcements Substitute Teacher Certification Process Provisional & Care…
Sea Bright Borough (Monmouth County),NJ,http://seabrightnj.org,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Stone Harbor School District – K-8,NJ,https://www.avalonstoneharborschools.org/,,,,"Missing: policy, tech, contact (crawl limited)",2,0,0,1,0,1,,,"nted services provided by each school district to support implementation of the provisions of this act. 6. Each school district shall file with the coordinator a report by October 1, 2020 and thereafter on a schedule that coincides with the school district’s New Jersey Quality Si…",,"all, art club, band, drama, choir, homework club, makerspace, and student council are available to give students a well rounded experience. Contact Us Call today to schedule a tour of the facilities and meet with the building administrator! Contact for Pre-K and grades 5-8 Kate O…"
Hunterdon,NJ,https://www.co.hunterdon.nj.us/,,,https://www.co.hunterdon.nj.us/directory.aspx,"Missing: policy, tech (crawl limited)",2,0,0,1,0,1,,,ling Depot 908-236-9088 Utilities Authority 908-236-9088 Youth Services Resources 908-788-1253 Address Holder http://www.co.hunterdon.nj.us/directory.aspx?DID= Live Edit Sign Up for Notifications Agendas & Minutes Employment Parks & Recreation Road Closures County Clerk Contact U…,,"ernment Websites by CivicPlus® Loading Loading Do Not Show Again Close Arrow Left Arrow Right [] Slideshow Left Arrow Slideshow Right Arrow Staff Directory • Hunterdon County, NJ • CivicEngage Skip to Main Content EMERGENCY ALERT Link Closure Monday February 23, 2026 Read On... R…"
Oakland Public Schools – K-8,NJ,http://www.oaklandschoolsnj.org,https://www.oaklandschoolsnj.org/administration/business-office/food-services/wellness-and-nutrition-policy,,https://www.oaklandschoolsnj.org/administration/business-office/food-services/wellness-and-nutrition-policy,Missing: tech (crawl limited),2,0,0,1,0,1,,,icy 5751 Sexual Harassment Support Staff - Policy 4352 Sexual Harassment Teaching Staff - Policy 3362 Training Materials Title IX Overview Title IX Investigation Title IX Q & A Title IX Coordinator Inclement Weather Emergency Closing Information OAKLAND NJ WEATHER Realtime Staff …,,s Skip To Main Content Close Menu Search Clear Search Administration Homepage Administration Calendar Administrative Offices Human Resource Staff Directory Business Office Contact Us Open Public Records Act Request Form User Friendly Budgets Budget Presentations Food Services USD…
Hunterdon Central Regional High School - Regional,NJ,http://www.hcrhs.k12.nj.us,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Florence Township School District – PreK-12,NJ,http://www.florence.k12.nj.us,https://www.florence.k12.nj.us/parent-information/phone-policy,,https://www.florence.k12.nj.us/homepage2023/roebling-2023/roebling-staff,Missing: tech (crawl limited),1,0,0,0,0,1,,,,,ual Plan Employment Facilities Request Integrated Pest Management Notice Lead Water Testing Results Safe Reopening Safe Return to In-person Contact: 609-499-4600 Superintendent: Dr. Ambrosius ext - 1000 ‍ Business Administrator Luis Valencia ext -1007 ‍ Assistant to the BA Wendy …
Holmdel Township Public Schools,NJ,http://www.holmdel.k12.nj.us,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Henry Hudson Regional High School – Regional,NJ,http://www.henryhudsonreg.k12.nj.us,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Neptune City School District,NJ,http://neptunecityschool.org,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Ocean City School District – PreK-12,NJ,https://oceancityschools.org/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Lower Cape May Regional School District – Regional,NJ,http://www.lcmrschools.com,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
High Point Regional High School – Regional,NJ,http://www.hpregional.org,,,https://www.hpregional.org/apps/staff/,"Missing: policy, tech (crawl limited)",2,0,0,1,0,1,,,(973) 875-3101 ext. 1292 Anti-Bullying Coordinator Dr. Scott D. Ripley sripley@hpregional.org (973) 875-3101 ext. 1204 School Climate State Coordinator HIB@doe.nj.gov (973) 875-3101 Learn More Web Accessibility Statement Web Accessibility Complaint Form Main Menu R: Start/stop re…,,ol District + About » Administration » Board of Education » Interdistrict School Choice » Mission Statement » Academic Concerns » Faculty & Staff Directory » NJDOE Academic Performance Report » Employment » HIB + Academics » Academic Departments » Contact a Teacher » Curriculum »…
Wyckoff School District – PreK-8,NJ,http://www.wyckoffps.org,,,,"Missing: policy, tech, contact (crawl limited)",1,0,0,0,0,1,,,,,endar Search site Menu Schools Translate Sign in Menu Schools Translate Sign in Skip Gallery End of Gallery Find Us Wyckoff School District Phone: 201-848-5700 Email: info@wyckoffschools.org Schools Wyckoff School District Abraham Lincoln Elementary School Calvin Coolidge Element…
