district,state,homepage,found_policy_url,found_tech_url,found_contact_url,notes,score_0_to_5,public_ai_policy_exists,ai_use_publicly_disclosed,oversight_named,board_policy_mentions_ai,public_contact_available,evidence_public_ai_policy_exists,evidence_ai_use_publicly_disclosed,evidence_oversight_named,evidence_board_policy_mentions_ai,evidence_public_contact_available
"Berea City School District , Berea",OH,http://www.berea.k12.oh.us/,https://www.berea.k12.oh.us/departments-services/technology/social-media-policy,https://www.berea.k12.oh.us/departments-services/technology/social-media-policy,https://www.berea.k12.oh.us/departments-services/technology/infinite-campus/ic-for-staff,,2,0,0,1,0,1,,,Staff Wellness In This Section Home Home Your web browser does not support the <video> tag. District Newsletter Menus Infinite Campus Staff Directory Peachjar Digital Backpack Flyers School Safety Tip Line What does it mean to be a Titan? About Us The Portrait of a Titan prepares…,,dar of Events Destination 2027 (opens in new window/tab) Education Foundation (opens in new window/tab) Portrait of a Titan Quality Profile Staff Directory Schools Berea-Midpark High School (opens in new window/tab) Berea-Midpark Middle School (opens in new window/tab) Big Creek …
"Grand Valley Local School District , Orwell",OH,http://www.grand-valley.k12.oh.us/2.0/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Tuscarawas,OH,http://www.co.tuscarawas.oh.us,https://www.co.tuscarawas.oh.us/government/human_resources_county_administration/policies/index.php,,https://www.co.tuscarawas.oh.us/government/human_resources_county_administration/policies/index.php,Missing: tech (crawl limited),2,0,0,1,0,1,,,General Division Case Information Find a Form How do I? Legal Information Jury Information Local Rules of Practice Court Information Court Directory Directions Mediation Program Community Corrections Program Court Announcements and News Holiday Schedule Court History Court of Com…,,se Court Southern District Uhrichsville Dog Pound Engineer Annual Report County Map Engineer Informational Page GIS / Map Office Government Contact Links Permit Forms Policies & Procedures Projects and Bids Health Department Homeland Security & Emergency Management Agency Smart91…
Government administrative divisions congressional delegations elections,OH,http://www.state.oh.us/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
"Bowling Green City School District , Bowling Green",OH,http://www.bgcs.k12.oh.us,https://www.bgcs.k12.oh.us/privacy-policy,,https://www.bgcs.k12.oh.us/directory,Missing: tech (crawl limited),2,0,0,1,0,1,,,intenance Performing Arts Center Pupil Services Special Education Gifted & Talented Elementary Counseling Nursing Services Student Wellness Superintendent Teaching and Learning Technology Transportation My Ride K-12 App Treasurer Our Schools High School Middle School Preschool Pr…,,st (opens in new window/tab) PD Tracker (opens in new window/tab) Red Rover (opens in new window/tab) SafeSchools (opens in new window/tab) Staff Directory - Internal (opens in new window/tab) Teacher Resources Tech Helpdesk (opens in new window/tab) Enroll (opens in new window/t…
Montgomery,OH,https://www.mcohio.org/,,,https://www.mcohio.org/directory.aspx,"Missing: policy, tech (crawl limited)",2,0,0,1,0,1,,,24-1482 Youth Resource Center 937-496-7987 Treasurer 937-225-4010 Water and Sewer Permits 937-781-2653 Address Holder http://www.mcohio.org/directory.aspx?DID= Live Edit Careers Resident Services Taxes Elections Auditor Transparency County Administration Building 451 West Third S…,,"ernment Websites by CivicPlus® Loading Loading Do Not Show Again Close Arrow Left Arrow Right [] Slideshow Left Arrow Slideshow Right Arrow Staff Directory • Montgomery County, OH • CivicEngage Skip to Main Content Create a Website Account - Manage notification subscriptions, sav…"
Hamilton,OH,https://hamilton-co.org,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
"Geneva Area City School District , Geneva",OH,https://www.genevaschools.org,https://www.genevaschools.org/page/board-of-education,https://www.genevaschools.org/o/gacs/page/technology-department,,Missing: contact (crawl limited),2,0,0,1,0,1,,,"enter Listening Session will be held tonight, February 12, at 5:00 p.m. in the high school media center. 10 days ago, Dr. Paul A. Lombardo, Superintendent Athletic Facility Capital Campaign Geneva students need your help! Due to changes at SPIRE Academy, many of our students are …",,"facility campaign Activities Final Forms 2025-2026 Calendar Find Us: Geneva Area City Schools 1301 S Ridge Rd E Ste A Geneva, OH 44041-8269 Phone: (440) 466-4831 Fax: (440) 466-0908 Honoring Our Roots, Soaring into Tomorrow - The Eagle Way Departments Board of Education Superinte…"
"Bath Local School District , Lima",OH,http://www.bathwildcats.org,https://www.bathwildcats.org/BathBoardofEducation.aspx,,https://www.bathwildcats.org/StaffDirectory.aspx,Missing: tech (crawl limited),2,0,0,1,0,1,,,"807 ext 6147 Fax: 419-221-0983 Hours: Monday - Friday 7 a.m to 3:30 p.m. The Bath Administration office houses the Superintendent's office: Superintendent Mike Estes, EMIS Coordinator Lori Griffiths and Executive Administrative Assistant Missy Vandemark as well as the Treasurer's…",,ved Community Links Forms Title IX Facility Plan Athletics Athletic Schedule & Rosters Text Alerts Registration Music Music Dept. Directory Staff Directory For Staff Staff Email Login Red Rover Staff Training Employee Links Employee Documents Progress Book Navigate360 Registratio…
"Medina City School District , Medina",OH,http://www.medinabees.org/schools/medina-high-school,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
"Marysville Exempted Village Schools District , Marysville",OH,http://www.marysville.k12.oh.us/site/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Washington,OH,https://www.washingtongov.org/,,,https://www.washingtongov.org/directory.aspx,"Missing: policy, tech (crawl limited)",2,0,0,1,0,1,,,rds Search Online Records Request Job Openings Election Results Webmaster Gmail Email Links Home Staff Directory Staff Directory Search the Directory Category: Staff Directory Washington County 911 Office Auditor Behavioral Health Board Board of County Commissioners Southeast Ohi…,,"ernment Websites by CivicPlus® Loading Loading Do Not Show Again Close Arrow Left Arrow Right [] Slideshow Left Arrow Slideshow Right Arrow Staff Directory • Washington County, OH • CivicEngage Skip to Main Content Create a Website Account - Manage notification subscriptions, sav…"
"Fremont City School District , Fremont",OH,https://fremontschools.net,https://fremontschools.net/ss-district-policies,,https://fremontschools.net/staff-directory,Missing: tech (crawl limited),2,0,0,1,0,1,,,with the Army National Guard. Laura Lehmann is a lifelong Fremont resident and is currently employed at Countryside Manor as the Activities Director. Her favorite part of being a Board of Education member is listening to community members on issues that arise or their sharing of …,,ation Student Registration Student Registration Home North Point ESC Preschool Registration Title IX Title IX Home Treasurer Treasurer Home Staff Directory Livestream Schools Popular Links Schools Atkinson Elementary School Croghan Elementary School Lutz Elementary School Otis El…
"Cardinal Local School District, Middlefield",OH,http://www.middlefieldohio.com,,,https://www.middlefieldohio.com/contact/,"Missing: policy, tech (crawl limited)",2,0,0,1,0,1,,,"side of the street where Middlefield Banking’s parking lot is now. Middlefield 5 to $1.00 was owned by Maude Lorson, mother of former Fire Chief Earl Warne. Next door was Edith Ritchie’s Dry Goods. Downstairs below Lorson’s Golden Dawn Supermarket was the Nibble Nook, A restauran…",,"Welcome to the Village of Middlefield, Ohio Visit Middlefield Means Business Contact Webcam Calendar Announcements News I Want To… Zoning Ordinances Pay Bills Village of Middlefield, Ohio 30 °F Community Village History Inte…"
"Sylvania City School District , Sylvania",OH,http://www.sylvania.k12.oh.us/,https://www.sylvania.k12.oh.us/PoliciesSafety.aspx,https://www.sylvania.k12.oh.us/Technology.aspx,https://www.sylvania.k12.oh.us/Staff.aspx,,2,0,0,1,0,1,,,ogin Username: Username Password: Password Login Sign in with Google Voice Recognition X Sylvania Schools Our District About Superintendent Assistant Superintendent Treasurer Communications Special Education Human Capital Student Data & Assessment Student Nutrition Student Suppor…,,rsity Application Portal Substitute Training Wellness Staff Safety Training Parents & Families Alumni Directory Contact Us Support Services Staff Directory Application Portal Gmail Password Reset Tool Helpdesk (IT and Maintenance) PowerSchool Admin PowerTeacher PowerTeacher Sub C…
Demographics African Americans,OH,https://ohio.gov,https://ohio.gov/help-center/privacy-notice-and-policies,,https://ohio.gov/help-center/state-directory,Missing: tech (crawl limited),2,0,0,1,0,1,,,"l information systems. Additional Questions Any further questions concerning the privacy policy for Ohio.gov should be directed to the Ohio Chief Privacy Officer . Written correspondence may be sent to: Ohio Chief Privacy Officer 1320 Arthur E Adams Dr. Columbus, OH 43221 This po…",,"rs to Ohio.gov should be aware of the following information: What we collect Personally identifiable information provided to us through our contact form. Please do not submit to us sensitive personally identifiable information such as social security numbers, driver's license num…"
