district,state,homepage,found_policy_url,found_tech_url,found_contact_url,notes,score_0_to_5,public_ai_policy_exists,ai_use_publicly_disclosed,oversight_named,board_policy_mentions_ai,public_contact_available,evidence_public_ai_policy_exists,evidence_ai_use_publicly_disclosed,evidence_oversight_named,evidence_board_policy_mentions_ai,evidence_public_contact_available
Cranston School District,RI,http://www.cps.k12.ri.us/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Providence School District,RI,http://providenceschools.org/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Chariho Regional School District,RI,http://www.chariho.k12.ri.us/,https://www.chariho.k12.ri.us/district_information/policies_and_procedures,https://www.chariho.k12.ri.us/district_information/technology/technology_staff,https://www.chariho.k12.ri.us/district_information/technology/technology_staff,,2,0,0,1,0,1,,,s Directions Facility Use Necessity for School Construction Policies and Procedures School Improvement Plans Staff Directory Strategic Plan Superintendent's E-Update Support Chariho YouTube Technology Chariho 1:1 Technology Staff Tech Help Desk Endorsed Software List Technology P…,,German Italian Tagalog Vietnamese Korean Russian Hindi Polish Haitian Creole Login Guest Chariho Regional School District Parent Resources Staff Directory 401-364-7575 {1} ##LOC[OK]## MENU Home District Information Schools Chariho High School Chariho Middle School CHARIHOtech Cha…
North Kingstown School District,RI,https://www.nksd.net/,https://www.nksd.net/page/policies,,,"Missing: tech, contact (crawl limited)",2,0,0,1,0,1,,,"Hulme NKSD Transportation Director Fred Schweizer Principal, Hamilton Elementary School Jodi Clark Director of Curriculum Robert Mezzanotte Assistant Superintendent Nicole Hitchener Principal, Stony Lane Elementary School Rachel Santa NKDS Director of Pupil Personnel Services Kay…",,ion: NK School Community Frequently Asked Questions Training Video NKSD Non-Discrimination & Anti-Harassment Policy Training Video District Contact for All Incidents: Stephanie Russo Title IX Coordinator 401-268-6440 Email Stephanie Find Us North Kingstown School Department 100 R…
American Samoa,RI,https://www.doe.as/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Northern Mariana Islands,RI,https://www.cnmipss.org,https://www.cnmipss.org/state-boe-board-members,,https://www.cnmipss.org/contact-info,Missing: tech (crawl limited),2,0,0,1,0,1,,,ols Elementary Schools Middle Schools Jr. Sr. High Schools High Schools Curriculum & Instruction Special Programs School Calendar Child Nutrition Program Pupil Transportation Schools Directory Head Start/ Early Head Start Special Education Special Education Program overview Onlin…,,Vacancy Announcements PSS Policies & SOPs Human Resources HR Information Job Vacancy Announcements Employee Resources Gallery Photos Videos Contact Info STUDENT REGISTRATION INFO STATE BOE - CERTIFICATION Home K-12 Schools All Schools Elementary Schools Middle Schools Jr. Sr. Hig…
Central Falls School District,RI,http://www.cfschools.net/,https://www.cfschools.net/page/board-of-trustees,https://www.cfschools.net/page/data-and-technology,,Missing: contact (crawl limited),2,0,0,1,0,1,,,"ess to designated youth groups. The following employees have been designated to handle questions and complaints of alleged discrimination: Title IX and Civil Rights/Nondiscrimination Compliance Coordinator: Jackie Parra, (401) 727-7700 ext. 2013 or parraj@cfschools.net ; Section …",,"Internet? CFSD 2024 Report Find Us: Admin Office Central Falls School District *** New Location: 934 Dexter Street Central Falls, RI 02863 Phone: 401-727-7700 Fax Number: 401-727-7722 Schools/Buildings Central Falls School District Central Falls High School Calcutt Middle School …"
East Greenwich School District,RI,http://egsd.net,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
North Smithfield School District,RI,https://www.northsmithfieldschools.com/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Puerto Rico,RI,https://de.pr.gov/,,,,"Missing: policy, tech, contact (crawl limited)",1,0,0,1,0,0,,,rvicios Asuntos Academicos TAL SEPI Recursos Empleos Ofertas de Empleo Portal de Recursos Humanos Portal del Empleado Aplicaciones Internas Directorio Portal oficial del Gobierno de Puerto Rico Un sitio web oficial .pr.gov pertenece a una organización oficial del Gobierno de Puer…,,
Bristol Warren Regional School District,RI,https://www.bwrsd.org/,https://www.bwrsd.org/departments1/technology/policies-procedures,https://www.bwrsd.org/departments1/technology/policies-procedures,https://www.bwrsd.org/departments1/technology/staff-resources,,2,0,0,1,0,1,,,School (opens in new window/tab) Hugh Cole Elementary School (opens in new window/tab) Rockwell Elementary School (opens in new window/tab) Superintendent of Schools Capital Projects Process Overview Stage I: Identify Need Stage II: Develop a Solution Stage III: Design Review Gui…,,"tage IV: Funding Financing School Building Committee BWRSD School Building Committee Meetings Community Engagement Construction Updates FAQ Contact Us Teaching and Learning Non-Public School Textbook Loan Program Curriculum, Instruction, & Assessments Curriculum Rhode Island Stat…"
Hawaii,RI,http://www.hawaiipublicschools.org/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
