district,state,homepage,found_policy_url,found_tech_url,found_contact_url,notes,score_0_to_5,public_ai_policy_exists,ai_use_publicly_disclosed,oversight_named,board_policy_mentions_ai,public_contact_available,evidence_public_ai_policy_exists,evidence_ai_use_publicly_disclosed,evidence_oversight_named,evidence_board_policy_mentions_ai,evidence_public_contact_available
Fall River,SD,http://fallriver.sdcounties.org,,,https://fallriver.sdcounties.org/contact/,"Missing: policy, tech (crawl limited)",2,0,0,1,0,1,,,"ings, SD 57747 Skip to content February 22, 2026 Fall River County, South Dakota 906 N. River Street, Hot Springs, SD 57747 Home Online Map Directory Auditors & Welfare Office Public Health Nurse Director of Equalization Emergency Management 4-H/Extension Service GIS Maps Highway…",,Archive 2022 Minute Archive Older Minute Archives Law & Court Clerk of Court Sheriff State’s Attorney Press Release Archive Employment (5) Contact Oglala Lakota Co. Courthouse Hours Monday – Friday 8:00 a.m. – 5:00 p.m. Treasurer’s Office Vehicle License & Titles 8:00 a.m. – 4:00…
Northern Mariana Islands,SD,https://www.cnmipss.org,https://www.cnmipss.org/state-boe-board-members,,https://www.cnmipss.org/contact-info,Missing: tech (crawl limited),2,0,0,1,0,1,,,ols Elementary Schools Middle Schools Jr. Sr. High Schools High Schools Curriculum & Instruction Special Programs School Calendar Child Nutrition Program Pupil Transportation Schools Directory Head Start/ Early Head Start Special Education Special Education Program overview Onlin…,,Vacancy Announcements PSS Policies & SOPs Human Resources HR Information Job Vacancy Announcements Employee Resources Gallery Photos Videos Contact Info STUDENT REGISTRATION INFO STATE BOE - CERTIFICATION Home K-12 Schools All Schools Elementary Schools Middle Schools Jr. Sr. Hig…
Tea Area School District,SD,http://www.teaschools.k12.sd.us/teaschools/site/default.asp,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Edgemont School District,SD,https://www.edgemont.k12.sd.us/,https://www.edgemont.k12.sd.us/page/wellness-policy,,https://www.edgemont.k12.sd.us/staff,Missing: tech (crawl limited),2,0,0,1,0,1,,,25-26 ParentGuidance.org link Senior Project Archive Student Links Tutoring Program--Dakota Dreams Staff Show submenu for Staff Staff Staff Directory Staff State Email Staff Drive Infinite Campus Staff Log-In More Staff Links Lunch Menu Lunch Menu More Show submenu for Skip Galle…,,ation 25-26 ParentGuidance.org link Senior Project Archive Student Links Tutoring Program--Dakota Dreams Staff Show submenu for Staff Staff Staff Directory Staff State Email Staff Drive Infinite Campus Staff Log-In More Staff Links Lunch Menu Lunch Menu More Show submenu for Skip…
Hanson,SD,https://www.hansoncounty.net/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Brandon Valley School District,SD,http://www.brandonvalley.k12.sd.us/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Corson,SD,http://corson.sdcounties.org,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Lennox School District,SD,http://www.lennox.k12.sd.us,https://www.lennox.k12.sd.us/o/lennox/page/school-board,,,"Missing: tech, contact (crawl limited)",1,0,0,0,0,1,,,,,"ementary Lennox Elementary LWC Intermediate Lennox Jr/Sr High Find Us Lennox School District 305 West Fifth Ave. PO Box 38 Lennox, SD 57039 Phone 605-647-2203 Fax 605-647-2201 Schools Lennox School District Worthing Elementary Lennox Elementary LWC Intermediate Lennox Junior and …"
Sioux Falls School District,SD,http://www.sf.k12.sd.us/,https://www.sf.k12.sd.us/page/policies-contracts,https://www.sf.k12.sd.us/page/technology,https://www.sf.k12.sd.us/o/careers/page/contact-us,,2,0,0,1,0,1,,,Translate Our District Show submenu for Our District Our District About Us Show submenu for About Us District History District Performance Superintendent of Schools District Priorities School Board Show submenu for School Board Meeting Dates & Agendas Budget Elections Election Re…,,Human Resources Show submenu for Human Resources Benefits Staff Calendars Salary Schedules Working Agreements Job Descriptions Subs & SEMS Staff Directory Student Teaching Teacher of the Year Program Technology Resources Red Apple Workshop More Show submenu for Skip Gallery Your …
Mellette,SD,https://mellettecounty.org/,https://mellettecounty.org/privacy-policy/,,,"Missing: tech, contact (crawl limited)",2,0,0,1,0,1,,,nalyzes all information necessary to maintain equalization systems for valuing and taxing property in Mellette County. Haley Gallant is the Director of Equalization Forms and Permits for Director of Equalization Office Hours Mon – Fri 8:00AM – 4:00PM Contact Mellette County Direc…,,"Agent. She splits her time 50/50 between Mellette County and Jones County. Hours Monday, Friday, and alternating Thursdays 8:00AM – 4:30PM Contact Grace Zook PO Box 258 White River, SD 57579 605-259-3050 ext. 5 Photo Credit: Hilary Nesheim Privacy Policy Proudly powered by WordPr…"
