district,state,homepage,found_policy_url,found_tech_url,found_contact_url,notes,score_0_to_5,public_ai_policy_exists,ai_use_publicly_disclosed,oversight_named,board_policy_mentions_ai,public_contact_available,evidence_public_ai_policy_exists,evidence_ai_use_publicly_disclosed,evidence_oversight_named,evidence_board_policy_mentions_ai,evidence_public_contact_available
Houston Independent School District,TX,https://www.houstonisd.org/,https://www.houstonisd.org/families-students/student-requirements-expectations/technology-acceptable-use-policies,https://www.houstonisd.org/families-students/student-requirements-expectations/technology-acceptable-use-policies,https://www.houstonisd.org/schools-academics/extracurricular-activities-uil/uil-staff,,2,0,0,1,0,1,,,es Policies The HISD Police Department operates under a set of official directives—comprehensive policies and procedures established by the Chief of Police with the approval of the Superintendent and the HISD Board of Trustees. These directives reflect the department’s commitment…,,tion Program Our Team Testimonials Certification Information How to Apply HISD ACP Program Fees Transfer In or Out of HISD ACP ACP Calendar Contact HISD Family Quick Links Family Connections Center Family Corner Parent Portal (opens in new window/tab) Canvas (opens in new window/…
Dallas Independent School District,TX,https://www.dallasisd.org/,https://www.dallasisd.org/board-of-trustees/board-policy-and-procedures/board-policy,,https://www.dallasisd.org/team-dallas-isd/team-dallas-isd-resources/staff-resources,Missing: tech (crawl limited),2,0,0,1,0,1,,,tiative (APEI) School Counselor Excellence Initiative (SCEI) Teacher Excellence Initiative (TEI) Dallas Librarian Appraisal (DLA) Executive Director Excellence Initiative (EDEI) Professional Development Technology Resources Employee Records Request District Support Initiative Hor…,,Employee Records Request District Support Initiative Volunteer Partners and Volunteers Volunteers Partnerships Donations Campus Coordinator Contact Us About About Dallas ISD Welcoming and protective schools About Our Schools Public Information Portal Bond Program Information (ope…
Cypress-Fairbanks Independent School District,TX,https://www.cfisd.net/,https://www.cfisd.net/departments/technology-information-services/cybersecurity/cybersecurity-awareness/cybersecurity-policies,https://www.cfisd.net/departments/technology-information-services/cybersecurity/cybersecurity-awareness/cybersecurity-policies,https://www.cfisd.net/departments/technology-information-services/staff,,2,0,0,1,0,1,,,ggle Close Container Toggle Menu Mobile Search Search Clear Search Mobile Main Nav Our District About CFISD Committees Administrative Staff Directory Contact CFISD Our Schools & Facilities Superintendent District Leadership Board of Trustees Bond Information Financial Information…,,ent Toggle Close Container Toggle Menu Mobile Search Search Clear Search Mobile Main Nav Our District About CFISD Committees Administrative Staff Directory Contact CFISD Our Schools & Facilities Superintendent District Leadership Board of Trustees Bond Information Financial Infor…
Northside Independent School District,TX,https://www.nisd.net/,https://www.nisd.net/board,,https://www.nisd.net/contact,Missing: tech (crawl limited),2,0,0,1,0,1,,,"aster’s degree from the University of Texas at San Antonio. He has a son and daughter who are both NISD graduates. Jacob Villarreal, P.E. * Assistant Superintendent for Facilities and Operations Jacob Villarreal, P.E. was named Assistant Superintendent for Facilities and Operatio…",,aries & Buses 🍴 Cafeteria & Menus 🗓️ Calendars 📖 Course catalogs & Plans 📔 Handbooks 🎓 Graduation 👮 Safety 📚 Title 1 Learn more ‎➔ Register Contact Parents Students Community Employees Photo Gallery Northside Independent School District Previous Next Feb. 21: FIRST LEGO League Ch…
Fort Worth Independent School District,TX,https://www.fwisd.org/,https://www.fwisd.org/departments/legal/fwisd-policy-administration,,https://www.fwisd.org/departments/legal/fwisd-policy-administration,Missing: tech (crawl limited),2,0,0,1,0,1,,,"nations (opens in new window/tab) Employee Link Hub Parent Portal Pre-K Public Information Requests School Finder (opens in new window/tab) Superintendent District Home Our Schools Our Schools Back to Main Site Elementary Schools Beal, Harlean Benbrook Elementary Bonnie Brae Bris…",,le IX Compliance Student Code of Conduct Video On Demand Leadership Directory (opens in new window/tab) Lone Star Governance State Workshop Contact FWISD Superintendent Leadership Directory Cabinet School Leadership High School Principals Middle School Principals Elementary Schoo…
Austin Independent School District,TX,https://www.austinisd.org/,https://www.austinisd.org/technology/policy,https://www.austinisd.org/technology/policy,https://www.austinisd.org/staff,,2,0,0,1,0,1,,,ustees District & Board Policy Long-range Planning Organizational Chart Prop A Ballot Initiative Public Facility Corporation Strategic Plan Superintendent 2022 Bond Advisory Committees Our Schools Enroll Now All Schools Elementary Schools Middle Schools High Schools Pre-K Academi…,,Families Communities Staff School Resources Calendar Bus Routes Enrollment School Menus Directories Department Directory Schools Directory Staff Directory Sitemap District Resources AISD Portal Board of Trustees Careers AISD Help Superintendent Title IX Training FERPA Notificatio…
El Paso Independent School District,TX,https://www.episd.org/,,https://www.episd.org/o/episd/page/it-starts-with-us,,"Missing: policy, contact (crawl limited)",2,0,0,1,0,1,,,"ct Redesign Plan School Action Dashboard School Finder Quality Seats Dashboard Facilities Dashboard DDR Building Community Message from the Superintendent Dear Members of the El Paso ISD Community, Community collaboration is essential to our pursuit of excellence, and I invite yo…",,site El Paso ISD - Staff Portal Parent Portal Search site Menu Schools Translate Sign in Menu Schools Translate Sign in General Info STAFF CONTACT LIBRARY RESOURCES SOCIAL MEDIA LINKS Fine Arts Fine Arts Office Location 2026 Documents More about El Paso ISD Fine Arts 1014 N. Stan…
San Antonio Independent School District,TX,https://www.saisd.net/,https://www.saisd.net/page/parent-family-engagement-policy,,https://www.saisd.net/o/saisd/page/contact-us,Missing: tech (crawl limited),2,0,0,1,0,1,,,equired Postings Search by Home Address Superintendent of Schools Show submenu for Superintendent of Schools Cabinet Contact Superintendent Superintendent Message District Leadership Team Superintendent's Committees and Councils 2026 State of the District mySAISD Dashboard Board …,,w submenu for Gifted & Talented G/T Alumni Gifted & Talented Calendar Gifted and Talented Parent Information Teacher/Staff Information GATE Staff Directory Grants Show submenu for Grants How to Apply for a Grant Grant Training Information SAISD Foundation District Grants Resource…
Aldine Independent School District,TX,https://www.aldineisd.org/,https://www.aldineisd.org/about/policies/,,https://www.aldineisd.org/optimization-letter-to-staff/,Missing: tech (crawl limited),2,0,0,1,0,1,,,"executive director, Georgina Foroi’s 21-year journey in Aldine Independent School District has come full circle — and now, statewide recognition is following. Foroi, Aldine ISD’s executive director of professional [...] Facebook 0 Tweet 0 Email 0 Disponible en: Español Blanson CT…",,27 Instructional Calendar News District Business/Community Awards Sports Board Reports School Board Event Photos Scholarships VYPE Magazine Contact Elected Officials Search for: Home Chris Labod 2026-02-16T16:03:14-06:00 Disponible en: Español Find out which school you are zoned …
Plano Independent School District,TX,https://www.pisd.edu/,,,,Timed out (district budget exceeded),2,0,0,1,0,1,,,nclaimed Property Employee Travel ESSER III Plan 2024 Notice of Estimated Taxes Fine Arts & Special Academic Programs Department Home Staff Directory Food and Nutritional Services About Us Welcome to FANS Campus Contacts 2025-2026 Meal Prices Join Our Team Free & Reduced Meal Pro…,,s Frequently Asked Questions Contact US Calendar Jobs at ECCC ECCC I Employee CCC I About ECCC I Administration ECCC I Caregiver Pages ECCC Staff Directory ECCC II About ECCC II ECCC II Administration ECCC II Caregivers Pages ECCC Staff Directory PASAR About PASAR About PASAR Aft…
Katy Independent School District,TX,https://www.katyisd.org/,https://www.katyisd.org/privacy-policy,https://www.katyisd.org/technology/family-technology-resources,,Timed out (district budget exceeded),2,0,0,1,0,1,,,"tadium Lane, Katy, Texas 77494 Questions regarding compliance and/or grievance procedures may be directed to the District's Section 504/ADA Coordinator as listed in Board Policy FB (EXHIBIT) . Parents, students and members of the public: 504 Administrator (281) 396-2318, 6301 Sou…",,"can participate at their own discretion. Collection and Use of Personal Data Katy ISD may use personal data for the following purposes: For Contact Purposes: To contact you by email, phone, SMS, or other forms of electronic communication, such as a mobile application's push notif…"
