district,state,homepage,found_policy_url,found_tech_url,found_contact_url,notes,score_0_to_5,public_ai_policy_exists,ai_use_publicly_disclosed,oversight_named,board_policy_mentions_ai,public_contact_available,evidence_public_ai_policy_exists,evidence_ai_use_publicly_disclosed,evidence_oversight_named,evidence_board_policy_mentions_ai,evidence_public_contact_available
Janesville,WI,http://www.ci.janesville.wi.us/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Central/Westosha UHS School District,WI,http://www.westosha.k12.wi.us,https://www.westosha.k12.wi.us/o/chsdw/page/board-of-education,,https://www.westosha.k12.wi.us/o/chsdw/page/staff-resources,Missing: tech (crawl limited),2,0,0,1,0,1,,,oon! IMC Staples Slider is playing Databases & Resources Want to know more? Follow Us on Socials! Instagram IMC Info IMC Hours Policies IMC Director Jess Hammersmith IMC Aide Michael Klimzak IMC Aide Ashley Lenfestey Fun in the IMC Stop in and join the fun! Slider is playing Find…,,ha Central High School District Menu Translate Search site Sign in District Info ASSESSMENT INFORMATION BOARD OF EDUCATION BRAND GUIDELINES CONTACT US ENROLLMENT FACILITY USE FITNESS CENTER WCHS FOUNDATION DPI REPORT CARD PARENT LETTER REQUIRED ANNUAL NOTICES Find Us Westosha Cen…
Watertown,WI,http://www.ci.watertown.wi.us,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Middleton,WI,http://ci.middleton.wi.us/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
West Bend,WI,http://www.ci.west-bend.wi.us/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Kaukauna,WI,http://www.cityofkaukauna.com/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Walworth J1 School District,WI,http://www.walworth.k12.wi.us/,,,,"Missing: policy, tech, contact (crawl limited)",1,0,0,0,0,1,,,,,"ration & Enrollment Dining employment e-funds Volunteer help desk Find Us Walworth Jt. School District #1 121 Beloit St. Walworth, WI 53184 Phone: 262-275-6896 Fax: 262-275-2272 Schools Walworth Jt. School District #1 Community Programs Little Professors Learning Center Stay Conn…"
Waukesha School District,WI,http://www.waukesha.k12.wi.us/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Cochrane-Fountain City School District,WI,http://www.cfc.k12.wi.us/,https://www.cfc.k12.wi.us/families-students/meal-account-policy.cfm,,https://www.cfc.k12.wi.us/district/staff-listing.cfm,Missing: tech (crawl limited),2,0,0,1,0,1,,,gagement Lab Portrait of a Pirate Early Literacy Plan Academic & Career Planning Title 1 Elementary School School Calendar Curriculum Staff Directory Youth Activities & Clubs Youth Sports Junior/High School School Calendar Curriculum Staff Directory Activities & Clubs Fine Arts A…,,lum Engagement Lab Portrait of a Pirate Early Literacy Plan Academic & Career Planning Title 1 Elementary School School Calendar Curriculum Staff Directory Youth Activities & Clubs Youth Sports Junior/High School School Calendar Curriculum Staff Directory Activities & Clubs Fine …
Arrowhead UHS School District,WI,http://www.arrowheadschools.org/,https://www.arrowheadschools.org/non-discrimination-policy.cfm,,https://www.arrowheadschools.org/about/administration.cfm,Missing: tech (crawl limited),2,0,0,1,0,1,,,Search Arrowhead Union High School District Open Menu Xello Canvas Skyward Transcripts Calendar Search Site Submit About Us Academics Activities Counseling Referendum Resources Staff Staff Directory Administration Administrative Support School Board Meeting Agendas & Minutes Scho…,,Open Menu Xello Canvas Skyward Transcripts Calendar Search Site Submit About Us Academics Activities Counseling Referendum Resources Staff Staff Directory Administration Administrative Support School Board Meeting Agendas & Minutes School Board Policies School Board Elections Bud…
