district,state,homepage,found_policy_url,found_tech_url,found_contact_url,notes,score_0_to_5,public_ai_policy_exists,ai_use_publicly_disclosed,oversight_named,board_policy_mentions_ai,public_contact_available,evidence_public_ai_policy_exists,evidence_ai_use_publicly_disclosed,evidence_oversight_named,evidence_board_policy_mentions_ai,evidence_public_contact_available
Jefferson County Schools,WV,https://www.jcswv.org/,https://www.jcswv.org/page/policies-on-review,,https://www.jcswv.org/page/administration,Missing: tech (crawl limited),2,0,0,1,0,1,,,Staff Directory Education: Elementary School Education: Middle School Education: High School Finance Show submenu for Finance Finance Staff Directory Audits Budgets Finance Forms Financial Overview Levy Information Travel Expense Form Human Resources Show submenu for Human Resour…,,submenu for At-Promise Student Programs Respect & Civility Theme Months Instruction Show submenu for Instruction Department of Instruction Staff Directory Education: Elementary School Education: Middle School Education: High School Finance Show submenu for Finance Finance Staff D…
Kanawha County Schools,WV,http://kcs.kana.k12.wv.us/kcs11/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Northern Mariana Islands,WV,https://www.cnmipss.org,https://www.cnmipss.org/state-boe-board-members,,https://www.cnmipss.org/contact-info,Missing: tech (crawl limited),2,0,0,1,0,1,,,ols Elementary Schools Middle Schools Jr. Sr. High Schools High Schools Curriculum & Instruction Special Programs School Calendar Child Nutrition Program Pupil Transportation Schools Directory Head Start/ Early Head Start Special Education Special Education Program overview Onlin…,,Vacancy Announcements PSS Policies & SOPs Human Resources HR Information Job Vacancy Announcements Employee Resources Gallery Photos Videos Contact Info STUDENT REGISTRATION INFO STATE BOE - CERTIFICATION Home K-12 Schools All Schools Elementary Schools Middle Schools Jr. Sr. Hig…
McDowell County Schools,WV,http://boe.mcdo.k12.wv.us/,https://boe.mcdo.k12.wv.us/staff,,https://boe.mcdo.k12.wv.us/staff,Missing: tech (crawl limited),2,0,0,1,0,1,,,bmenu for McDowell County Schools Staff Search Use the search field above to filter by staff name. Select Departments TONYA WHITE Personnel Director Personnel 304.436.8441 twhite@k12.wv.us INGRIDA BARKER Superintendent Administration 304.436.8441 ibarker@k12.wv.us WILLIAM CHAPMAN…,,"time, if you have a disability and the format of any material on our website interferes with your ability to access the information, please contact jjnorris@k12.wv.us. To enable McDowell County Schools to respond in a manner most helpful to you, please indicate the nature of the …"
Puerto Rico,WV,https://de.pr.gov/,,,,"Missing: policy, tech, contact (crawl limited)",1,0,0,1,0,0,,,rvicios Asuntos Academicos TAL SEPI Recursos Empleos Ofertas de Empleo Portal de Recursos Humanos Portal del Empleado Aplicaciones Internas Directorio Portal oficial del Gobierno de Puerto Rico Un sitio web oficial .pr.gov pertenece a una organización oficial del Gobierno de Puer…,,
Gilmer County Schools,WV,http://www.boe.gilmer.k12.wv.us,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
American Samoa,WV,https://www.doe.as/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Hawaii,WV,http://www.hawaiipublicschools.org/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Pendleton County Schools,WV,https://pendletoncountyschools.com,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Marion County Schools,WV,http://www.marioncountywv.com,https://www.marioncountywv.com/privacy_policy/index.php,,https://www.marioncountywv.com/contact/index.php,Missing: tech (crawl limited),1,0,0,0,0,1,,,,,ili Swedish Tamil Telugu Thai Turkish Ukrainian Urdu Vietnamese Welsh Yiddish Yoruba Zulu Home About About MarionCounty Library Information Contact Local Information Funding Request Municipalities News and Information All Departments Assessor Circuit Clerk County Clerk County Com…
