district,state,homepage,found_policy_url,found_tech_url,found_contact_url,notes,score_0_to_5,public_ai_policy_exists,ai_use_publicly_disclosed,oversight_named,board_policy_mentions_ai,public_contact_available,evidence_public_ai_policy_exists,evidence_ai_use_publicly_disclosed,evidence_oversight_named,evidence_board_policy_mentions_ai,evidence_public_contact_available
Fremont County School District #38 – Arapahoe,WY,https://www.arapahoeschools.com,,https://www.arapahoeschools.com/technology-department,https://www.arapahoeschools.com/staff,Missing: policy (crawl limited),2,0,0,1,0,1,,,"pport curricular integration. Teachers, staff, and students will utilize technology with the many resources available to the learning community today. Matt Ayers Technology Director 307-856-9333 Ext 4080 District Mission & Vision Supertintendent School Board Business Department C…",,"ide WYTOPP Improvement 30 Sports Teams, Grades 5-12 Fremont County School District #38 445 Little Wind River Bottom Road Arapahoe, WY 82510 Phone +1 307-856-9333 Site Map Accessibility Login Contents © 2026 Fremont County School District #38 Notice of Non-Discrimination: In compl…"
Hot Springs,WY,http://www.hscounty.com,https://www.hscounty.com/component/edocman/disadvantaged-business-enterprise-policy-statement-signed-may-2025-pdf/viewdocument/1192?Itemid=,,,"Missing: tech, contact (crawl limited)",2,0,0,1,0,1,,,"rmation Becky Kersten Hot Springs County Clerk Phone: 307-864-3515 Email: Clerk@HSCounty.com Address: 415 Arapahoe Thermopolis, WY 82443 Visit us on FACEBOOK Becky Kersten County Clerk Karen Slocum Chief Deputy County Clerk Stefanie Ireland Deputy Clerk Meghan Goetz Deputy Clerk …",,CodeRED. Be sure you are registered to automatically receive Emergency Information. Your information will be confidential and only used to contact you in an EMERGENCY. Register for CodeRed Emergency Notifications Hot Springs County Wyoming Departments Assessor The Goal of this of…
Economy,WY,http://wyoming.gov,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Albany County School District #1 – Laramie,WY,https://www.acsd1.org/,https://www.acsd1.org/o/acsd/page/board-of-trustees,,https://www.acsd1.org/o/acsd/page/contact,Missing: tech (crawl limited),2,0,0,1,0,1,,,of Education Finance Budget Administrator Chief Financial Officer Superintendent Board of Education Employee Concerns Immediate Supervisor Chief HR Officer Superintendent Athletics&Activities Coach/Teacher Athletic Director/Assistant Principal Principal Assistant Superintendent S…,,"s Translate Sign in Menu Schools Translate Sign in Skip Gallery Welcome to ACSD#1 Welcome to ACSD#1 Laramie, WY End of Gallery SChool Board Contact Careers Menus Food Services ACSD#1 District Calendars ACSD#1 Vision 2030 Life at ACSD#1 3,200+ Students 800+ Faculty Albany County S…"
Converse County School District #2 – Glenrock,WY,http://www.cnv2.k12.wy.us/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Natrona,WY,http://www.natronacounty-wy.gov,,,https://www.natronacounty-wy.gov/directory.aspx,"Missing: policy, tech (crawl limited)",2,0,0,1,0,1,,,"View All Events /Calendar.aspx Contact Us 200 N Center Casper, WY 82601 Phone: 307-235-9200 Hours: Monday - Friday 8:00 am - 5:00 pm Staff Directory Website Feedback Report a Concern FAQs How is my property valued? How do I apply for a lost title? Where do I pay my traffic ticket…",,"eeting View All Events /Calendar.aspx Contact Us 200 N Center Casper, WY 82601 Phone: 307-235-9200 Hours: Monday - Friday 8:00 am - 5:00 pm Staff Directory Website Feedback Report a Concern FAQs How is my property valued? How do I apply for a lost title? Where do I pay my traffic…"
Jackson,WY,http://www.townofjackson.com/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Natrona County School District #1 – Casper,WY,http://natronaschools.org/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Evanston,WY,https://www.evanstonwy.org,,,https://www.evanstonwy.org/directory.aspx,"Missing: policy, tech (crawl limited)",2,0,0,1,0,1,,,"/QuickLinks.aspx FAQs How do I rent the Machine Shop, the Roundhouse, Beeman-Cashin Building, the Depot, the Patterson Visitor Center, the Superintendent's Office or other city facilities? /FAQ.aspx Evanston City Hall 1200 Main Street Evanston, WY 82930 Monday through Thursday (7…",,"ernment Websites by CivicPlus® Loading Loading Do Not Show Again Close Arrow Left Arrow Right [] Slideshow Left Arrow Slideshow Right Arrow Staff Directory • Evanston • CivicEngage Skip to Main Content Create a Website Account - Manage notification subscriptions, save form progre…"
Washakie County School District #1 – Worland,WY,https://www.wsh1.k12.wy.us/,,,,"Missing: policy, tech, contact (crawl limited)",1,0,0,0,0,1,,,,,"career ready when they graduate high school. End of Gallery Find Us Washakie County School District #1 1900 Howell Avenue Worland, WY 82401 Phone: 307-347-9286 Fax: 307-347-8116 Schools Washakie County School District #1 Worland High School Worland Middle School West Side Element…"
