district,state,homepage,found_policy_url,found_tech_url,found_contact_url,notes,score_0_to_5,public_ai_policy_exists,ai_use_publicly_disclosed,oversight_named,board_policy_mentions_ai,public_contact_available,evidence_public_ai_policy_exists,evidence_ai_use_publicly_disclosed,evidence_oversight_named,evidence_board_policy_mentions_ai,evidence_public_contact_available
Peoria Unified School District #11,AZ,http://www.peoriaud.k12.az.us/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Puerto Rico,AZ,https://de.pr.gov/,,,,"Missing: policy, tech, contact (crawl limited)",1,0,0,1,0,0,,,rvicios Asuntos Academicos TAL SEPI Recursos Empleos Ofertas de Empleo Portal de Recursos Humanos Portal del Empleado Aplicaciones Internas Directorio Portal oficial del Gobierno de Puerto Rico Un sitio web oficial .pr.gov pertenece a una organización oficial del Gobierno de Puer…,,
Fowler Elementary School District #45,AZ,https://www.fesd.org,https://www.fesd.org/governing-board,https://www.fesd.org/technology,https://www.fesd.org/contact-us,,2,0,0,1,0,1,,,"ssibility Contact Us Parents Students Employees Calendars Community Events Choose Us Employment Future Freshman Night Message from the FESD Superintendent FESD Parents and Community Members, The Fowler Elementary School District thanks the many community partners who made this ye…",,Services Human Resources Technology Transportation Helpful Resources FAQ Our Community PowerSchool School Tax Credits Website Accessibility Contact Us Parents Students Employees Calendars Community Events Choose Us Employment Future Freshman Night Message from the FESD Superinten…
Hawaii,AZ,http://www.hawaiipublicschools.org/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Coconino,AZ,http://coconino.az.gov,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Apache Elementary School District #42,AZ,http://www.apacheelementary.org,http://www.apacheelementary.org/board-members/,,,"Missing: tech, contact (crawl limited)",1,0,0,0,0,1,,,,,"al needs of children K-8 Menu Home Board Members Calendar Info and Links Minutes, Agendas & Other Postings School News Student Page Welcome Contact Us Head Teacher/Superintendent: Ms Loy Guzman Teacher’s Assistant: Mr. Frank Zepeda Business Manager: Mrs. Tamara Winkler Bus Driver…"
Lake Havasu City,AZ,http://www.lhcaz.gov,,http://www.lhcaz.gov/budget-and-finance/information-technology,http://www.lhcaz.gov/#contact-us,Missing: policy (crawl limited),2,0,0,1,0,1,,,TATEMENT | SITE MAP --> CITY DIRECTORY TOP HELP MENU HOME SERVICES & TOPICS DEPARTMENTS MEETINGS & EVENTS CITY COUNCIL NEWS CONTACT US CITY DIRECTORY SCROLL TO AIRPORT BIDS & RFPS CITY ATTORNEY CITY CLERK CITY MANAGER CODE ENFORCEMENT CUSTOMER SERVICE COURTS ENGINEERING EVENTS FI…,,L WEBSITE OF LAKE HAVASU CITY WEATHER MORE INFORMATION TOP HELP MENU HOME SERVICES & TOPICS DEPARTMENTS MEETINGS & EVENTS CITY COUNCIL NEWS CONTACT US Subscribe to our YouTube Channel! Subscribe to our YouTube Channel! CLICK HERE HELP 2026 CITIZEN SURVEY IS NOW AVAILABLE CLICK HE…
Navajo,AZ,http://www.navajocountyaz.gov,,,https://www.navajocountyaz.gov/directory.aspx,"Missing: policy, tech (crawl limited)",2,0,0,1,0,1,,,"urt (County seat – Holbrook, AZ) 928-524-4000 Superior Court (Show Low) Treasurer 928-524-4172 Address Holder http://www.navajocountyaz.gov/directory.aspx?DID= Live Edit Pay Property Taxes Property Search Agendas & Minutes Roadways 101 Permits Inmate Housing Report Contact Us Nav…",,"ernment Websites by CivicPlus® Loading Loading Do Not Show Again Close Arrow Left Arrow Right [] Slideshow Left Arrow Slideshow Right Arrow Staff Directory • Navajo County, AZ • CivicEngage Skip to Main Content Create a Website Account - Manage notification subscriptions, save fo…"
Coolidge Unified School District #21,AZ,https://www.coolidgeschools.org,https://www.coolidgeschools.org/departments/food-nutrition/wellness-policy,,https://www.coolidgeschools.org/departments/district-admin-directory,Missing: tech (crawl limited),2,0,0,1,0,1,,,"ob Title: Dean of Students - Academics Locations: Coolidge Junior High School Email: Wesley Delbridge, RDN, SNS Job Title: Food & Nutrition Director Locations: District Office Departments: Food & Nutrition Email: Dr. Yvette Dix Job Title: Principal Locations: Coolidge Junior High…",,lunteer Login Mini Bears Open Search Search Clear Search Close Search Menu Open In This Section Home Home Careers (opens in new window/tab) Contact pause slideshow play slideshow Click here to be taken to a webpage to review the policy in full. < > Bell Schedules PowerSchool Pare…
Elfrida Elementary School District #12,AZ,http://www.elfridaschools.org,https://www.elfridaschools.org/files/user/1/file/Open-Enrollment-Policy-2018.doc,,https://www.elfridaschools.org/District/Staff/,Missing: tech (crawl limited),2,0,0,1,0,1,,,"rict. Nonresident pupils may enroll in schools within this District, subject to the procedures that follow. Information and Application The Superintendent shall prepare a written information packet concerning the District�s application process, standards for acceptance or rejecti…",,A ELEMENTARY SCHOOL DISTRICT #12 Site Map Home Safe to Return in Person About Us Our Mission Governing Board Our Administration and Faculty Staff Directory Registration and Immunization School Info Departments Business Services Food Services Human Resources Exceptional Student Se…
Baboquivari Unified School District #40,AZ,http://www.busd40.org/,https://www.busd40.org/anti-bullying-policy,,https://www.busd40.org/administration,Missing: tech (crawl limited),2,0,0,1,0,1,,,| Waw Giwulk Ha-Mamṣcamakuḍ Cekṣañ Baboquivari Unified School District MENU MENU Home About Us Our Core Values School Board Administration Superintendent's Message Title IX - Equal Opportunity Our Community School Info Our Schools Registration & Immunizations Faculty & Staff Pled…,,ick Links Parents #647 (no title) Employees Community Choose Us School Board Superintendents Message BUSD Policy Student Enrollment Process Contact Us Parent Portal Parents Students Employees Community Choose Us School Board Superintendent BUSD Policy Welcome to Our District The …
Kayenta Unified School District #27,AZ,http://www.kayenta.k12.az.us/,https://www.kayenta.k12.az.us/page/governing-board,,https://www.kayenta.k12.az.us/page/contact-us,Missing: tech (crawl limited),2,0,0,1,0,1,,,son@kayenta.k12.az.us Adrienne John Executive Coordinator to Superintendent & Governing Board Adrienne.John@kayenta.k12.az.us VACANT Acting Director of Operations Charles.Smith@kayenta.k12.az.us ; Stanley.Clitso@kayenta.k12.az.us Dr. Jacqueline Holiday Executive Director of Human…,,ederal Programs Food Services Human Resources Maintenance & Operations Transportation Yazzie & Salt Cultural Center Our Schools Our Schools Contact Us Contact Us More Show submenu for Collapse Menu ABC PreSch Debbie Braff Elem Baker Middle Sch Monument Valley High Skip Gallery We…
Avondale,AZ,http://www.avondale.org,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Casa Grande,AZ,http://www.casagrandeaz.gov/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Ray Unified School District #3,AZ,http://www.ray.k12.az.us/default.aspx,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Alpine Elementary School District #7,AZ,https://www.alpine.k12.az.us,,,https://www.alpine.k12.az.us/page/contact-us,"Missing: policy, tech (crawl limited)",2,0,0,1,0,1,,,nt Vue Polices and Procedures Polices and Procedures More Show submenu for Skip Gallery End of Gallery enrollment Calendar Technology staff directory governing board employment Tax Credit Budget Fiscal Year 2026 Read more The Six Pillars of Character Trustworthiness Be honest. Do…,,/Student Vue Polices and Procedures Polices and Procedures More Show submenu for Skip Gallery End of Gallery enrollment Calendar Technology staff directory governing board employment Tax Credit Budget Fiscal Year 2026 Read more The Six Pillars of Character Trustworthiness Be hone…
