district,state,homepage,found_policy_url,found_tech_url,found_contact_url,notes,score_0_to_5,public_ai_policy_exists,ai_use_publicly_disclosed,oversight_named,board_policy_mentions_ai,public_contact_available,evidence_public_ai_policy_exists,evidence_ai_use_publicly_disclosed,evidence_oversight_named,evidence_board_policy_mentions_ai,evidence_public_contact_available
Laurel,KY,https://londonky.gov/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
American Samoa,KY,https://www.doe.as/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Bourbon County Schools,KY,http://www.parisky.com,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
McCreary,KY,http://www.mccrearycounty.com,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Fulton,KY,http://www.fultoncounty.ky.gov/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Calloway,KY,http://www.callowaycounty-ky.gov,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Jefferson County Public Schools,KY,https://www.jefferson.kyschools.us/,https://www.jefferson.kyschools.us/page/sms-mms-privacy-policy,,https://www.jefferson.kyschools.us/page/administration,Missing: tech (crawl limited),2,0,0,1,0,1,,,Systems Improvement Division Assessment Research & Systems Improvement Resource Development Administration Show submenu for Administration Superintendent Internal Audit Office of the Chief of Staff Show submenu for Office of the Chief of Staff Culture & Climate Health Services Pr…,,ember Board Member District Map Board of Education FAQs When and where does the board meet? What are the board's responsibilities? How do I contact a board member? What happens at board meetings? May I speak at a board meeting? JCPS Committees Committee Agendas & Minutes Schedule…
Barren County Schools,KY,http://www.barren.kyschools.us,https://www.barren.kyschools.us/page/board-of-education,https://www.barren.kyschools.us/o/bcsd/page/staff-technology-resources,https://www.barren.kyschools.us/o/bcsd/page/staff-technology-resources,,2,0,0,1,0,1,,,"n (christa.middleton@barren.kyschools.us) or Anthony Frazier (anthony.frazier@barren.kyschools.us). After receipt of the complaint, the ADA Coordinator will contact the person filing the complaint within 15 days to discuss the issue. Once the issue is discussed, the ADA Coordinat…",,"ton@barren.kyschools.us) or Anthony Frazier (anthony.frazier@barren.kyschools.us). After receipt of the complaint, the ADA Coordinator will contact the person filing the complaint within 15 days to discuss the issue. Once the issue is discussed, the ADA Coordinator will provide a…"
Butler County Schools,KY,http://www.butler.kyschools.us,https://www.butler.kyschools.us/boardofed,,,"Missing: tech, contact (crawl limited)",2,0,0,1,0,1,,,"nrollment, Attendance and Records Title I Program Transportation Enroll in BCS Join Our Team BCS Job Postings KY Educator Placement Service Directory Parent Portal Staff Links Funding Initiatives Home About BCS About Us BCS Stories Calendar Departments Board of Education District…",,"Street PO Box 339 Morgantown, KY 42261 Phone +1 270-526-5624 Fax 270-526-5625 BCS Parent Portal Important Documents Mental Health Resources Staff Directory S.T.O.P Safety Tipline Site Map Accessibility Login Contents © 2026 Butler County Schools Notice of Non-Discrimination: In c…"
Campbell,KY,http://www.campbellcountyky.org,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Allen County Schools,KY,http://www.allen.kyschools.us/,https://www.allen.kyschools.us/page/board-of-education,https://www.allen.kyschools.us/page/technology,,Missing: contact (crawl limited),2,0,0,1,0,1,,,Teaching & Learning Academics Curriculum District Improvement Exceptional Child Education Preschool Operations Show submenu for Operations Director of Pupil Personnel Facilities Finance Food Service Human Resource Operations Technology Transportation Current Facility Projects Req…,,"Preschool! Slider is playing Welcome to the ACPC Preschool page! We are excited to share our program with you! Feel free to look around and contact our Preschool Coordinator, Matt Shepherd, at 270-618-7200 with any questions. Our Mission Statement The Allen County Preschool progr…"
Fayette County Public Schools,KY,https://www.fcps.net/,https://www.fcps.net/about/board-of-education/fayette-school-board,,,"Missing: tech, contact (crawl limited)",2,0,0,1,0,1,,,"al at 4 p.m.) | April 22 budget work session & superintendent search updates | April 22 video April 23, 2021 ( virtual at 8 a.m.) | Board's Superintendent Screening Committee reviews the leading prospects and selects a slate for the interview phase. | April 23 video April 26, 202…",,ion Logo Image Logo Title Fayette County Public Schools 450 Park Place Lexington Kentucky 40511 (859) 422-4100 Resources District Directory Contact A Department Contact A School District Webmaster Get Help (opens in new window/tab) Community Transparency Communications Waiver Sta…
Grayson,KY,http://www.graysoncountychamber.com,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Corbin Independent School District,KY,https://www.corbinschools.org,https://www.corbinschools.org/board-of-education,,https://www.corbinschools.org/staff-1,Missing: tech (crawl limited),1,0,0,0,0,1,,,,,tment COVID-19 Response COVID-19 Dashboard Our Schools Board of Education Board Meeting Agenda and Minutes Superintendent Message Calendars Contact Us More Use tab to navigate through the menu items. Click here for the School Report Card Corbin Independent Striving to Be Our Best…
McLean,KY,http://www.mcleancounty.ky.gov,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Barren,KY,http://www.barrencounty.com,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Newport Independent Schools,KY,http://www.newportwildcats.org/school_home.aspx?schoolID=4,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Anderson,KY,http://www.kyhometown.com/lawrenceburg,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Washington,KY,http://www.washingtoncountyky.com,,,https://www.washingtoncountyky.com/contactus.html,"Missing: policy, tech (crawl limited)",1,0,0,0,0,1,,,,,"Washington County, KY Government Home Elected Officials Employment Opportunities Department Contact Info FAQ's Additional Forms and Resources Contact Info for Building in Washington County Welcome to Washington County, KY! Washington Count…"
Harrison,KY,http://www.harrisoncountyfiscalcourt.com,,,http://www.harrisoncountyfiscalcourt.com/contact.asp,"Missing: policy, tech (crawl limited)",2,0,0,1,0,1,,,"ntact Us Links Administration Judge/Executive Jason Marshall Office Staff Treasurer Finance Officer Tax Administrator Melody McClure Judy Smith Julie Franklin Northcutt Departments Solid Waste 911 Director Emergency Management Mike Aldridge Bob Chaffee Michael ""Joey"" Nelson Road …",,"nal/Net Profits Tax Road Department Parks and Recreation Sheriff Department Solid Waste Property Valuation Administrator News & Info Boards Contact Us Links Judge / Executive Jason Marshall Contact Information Harrison County Fiscal Court 111 S. Main St., Ste 201 Cynthiana, KY 41…"
McCracken,KY,http://mccrackencounty.org,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Nelson,KY,http://www.nelsoncountyky.com,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Religion,KY,https://kentucky.gov,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Adair County Schools,KY,http://www.adair.k12.ky.us/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
