district,state,homepage,found_policy_url,found_tech_url,found_contact_url,notes,score_0_to_5,public_ai_policy_exists,ai_use_publicly_disclosed,oversight_named,board_policy_mentions_ai,public_contact_available,evidence_public_ai_policy_exists,evidence_ai_use_publicly_disclosed,evidence_oversight_named,evidence_board_policy_mentions_ai,evidence_public_contact_available
Guilford,NC,http://www.co.guilford.nc.us,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Stanly,NC,http://www.co.stanly.nc.us,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Randolph County Schools,NC,http://www.randolph.k12.nc.us,,,,"Missing: policy, tech, contact (crawl limited)",2,0,0,1,0,1,,,"s provided by law. The following person has been designated to handle inquiries regarding the non-discrimination policies: Anthony Grosch, Title IX Coordinator and Section 504/ADA Coordinator, 2222-C South Fayetteville St. Asheboro, NC 27205 Phone: 336-633-5000. The Randolph Coun…",,"ring that all web users can access its web content. If you have difficulty accessing information on our website due to a disability, please contact us at a1ward@randolph.k12.nc.us and provide the URL (web address) of the material you tried to access, the problem you experienced, …"
McDowell,NC,https://www.mcdowellgov.com/,,https://www.mcdowellgov.com/departments/information-technology,https://www.mcdowellgov.com/contact,Missing: policy (crawl limited),2,0,0,1,0,1,,,"g Tax Collections Transit Volunteer Center Home Contact Contact If you need to contact a specific department, please head to the Department Directory . You may also call the main switchboard at (828) 652-7121 or send a message to info@mcdowellgov.com . © by McDowell County Icons …",,"content McDowell County, North Carolina Page Title Page Details Search Departments County Commissioners Employment Tourism Links Employees Contact More Economic Development Projects Plans and Reports Bid Opportunities Facts and Figures Non-Discrimination ADA Compliance Opioid Set…"
Cumberland,NC,http://www.co.cumberland.nc.us,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Martin,NC,http://www.martincountyncgov.com,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Charlotte-Mecklenburg Schools,NC,https://www.cms.k12.nc.us/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Perquimans,NC,http://www.co.perquimans.nc.us,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Wilson,NC,http://www.wilson-co.com,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Alamance,NC,http://www.alamance-nc.com,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
