district,state,homepage,found_policy_url,found_tech_url,found_contact_url,notes,score_0_to_5,public_ai_policy_exists,ai_use_publicly_disclosed,oversight_named,board_policy_mentions_ai,public_contact_available,evidence_public_ai_policy_exists,evidence_ai_use_publicly_disclosed,evidence_oversight_named,evidence_board_policy_mentions_ai,evidence_public_contact_available
Geography Rivers,SC,https://www.sc.gov/,https://www.sc.gov/accessibility-policy,,,"Missing: tech, contact (crawl limited)",2,0,0,1,0,1,,,tion for parents and childcare providers about childcare facilities and regulations. Learn More about Child Care Licensing Cities and Towns Directory of South Carolina cities and towns. Includes contact information and web addresses where available. Learn More about Cities and To…,,SC.GOV account Learn More Main navigation Residents Visitors Business Government Footer (left) About Us Online Services Data & Transparency Contact Us Connect With Us Footer (right) Help Center E11 My SC.GOV South Carolina Follow Us: LinkedIn Flag Status Footer (bottom) Accessibi…
Clarendon County School District 1,SC,http://clarendon1.k12.sc.us,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Dillon,SC,https://dilloncountysc.org,https://dilloncountysc.org/leadership/boards_commissions.php,https://dilloncountysc.org/departments/administrative/information_technology_it.php,https://dilloncountysc.org/contact/index.php,,1,0,0,0,0,1,,,,,Marlboro Electric Cooperative Pee Dee Electric Cooperative IMG_0914 (2) - Copy - Copy IMG_0914 (2) - Copy - Copy IMG_0914 (2) - Copy - Copy Contact Human Resources Library Events News Code Red FEMA Latest News view all news DCP3 Celebrates Mamie Legette 02-11-2026 DCP3 celebrated…
Allendale,SC,http://www.allendalecounty.com,,,https://www.allendalecounty.com/i_want_to/contact.php,"Missing: policy, tech (crawl limited)",2,0,0,1,0,1,,,"810 803-584-7049 dss.sc.gov Department of Transportation Department of Motor Vehicles 803-684-2694 Onlinedmv.com www.scdot.org Guardian Ad Litem LaVonnia Smith County Coordinator 454 Second St. Estill, S.C.29918 803-312-4968 803-625-2450 Gal.sc.gov Healthy Learners 219 Old Barnwe…",,urch Trinity Methodist Church The Topper Site The Topper Site Exhibit USC Salkehatchie Virginia Durant House I Want To Current Job Openings Contact RFP Find Learn About Pay For Sign Up For Go Minutes & Agendas Online Tax Payments Report A Concern Contact Us Allendale County YouTu…
Laurens,SC,https://laurenscounty.us/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Greenwood,SC,http://www.co.greenwood.sc.us,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Charleston County School District,SC,http://www.ccsdschools.com,https://www.ccsdschools.com/about-us/board-of-trustees/policies,,https://www.ccsdschools.com/about-us/administration,Missing: tech (crawl limited),2,0,0,1,0,1,,,History Month Profiles - February 2025 Recognition of Observances Video Services Produced Features Spotlight on CCSD Stories of CCSD Deputy Superintendent Office of Accountability Assessment and Evaluation CCSD Public Interactive Dashboard Testing Central Testing Tips and Prepara…,,"oards Back to School Bash 2025 Back to School Bash FAQ Back to School Bash 2024 Board of Trustees Home Board of Trustees Members and Direct Contact Information 2025-2026 Meeting Schedule (opens in new window/tab) Agendas, Minutes, and Public Comments 2024-2025 Agendas and Minutes…"
York 2 (Clover),SC,http://www.clover2.k12.sc.us/index.php,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Anderson,SC,http://www.andersoncountysc.org,https://www.andersoncountysc.org/privacy-policy/,https://www.andersoncountysc.org/departments-a-z/technology-services/,,Missing: contact (crawl limited),2,0,0,1,0,1,,,"in 180 days of the alleged discriminatory act. For additional information on the Title VI Program, you may contact Anderson County Title VI Coordinator or visit the website www.andersoncountysc.org-privacy. If information is needed in another language, contact (864) 964-6631. The…",,id Opportunities Code of Ordinances Online Forms Apply Apply for a Job Become a county vendor Building Permits Employment 4% Tax Assessment Contact Administration County Council County Fire Human Resources Roads & Bridges Sheriff's Office Report Animal Control Environmental Enfor…
Legislature,SC,https://www.scstatehouse.gov/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
