district,state,homepage,found_policy_url,found_tech_url,found_contact_url,notes,score_0_to_5,public_ai_policy_exists,ai_use_publicly_disclosed,oversight_named,board_policy_mentions_ai,public_contact_available,evidence_public_ai_policy_exists,evidence_ai_use_publicly_disclosed,evidence_oversight_named,evidence_board_policy_mentions_ai,evidence_public_contact_available
Northern Mariana Islands,TN,https://www.cnmipss.org,https://www.cnmipss.org/state-boe-board-members,,https://www.cnmipss.org/contact-info,Missing: tech (crawl limited),2,0,0,1,0,1,,,ols Elementary Schools Middle Schools Jr. Sr. High Schools High Schools Curriculum & Instruction Special Programs School Calendar Child Nutrition Program Pupil Transportation Schools Directory Head Start/ Early Head Start Special Education Special Education Program overview Onlin…,,Vacancy Announcements PSS Policies & SOPs Human Resources HR Information Job Vacancy Announcements Employee Resources Gallery Photos Videos Contact Info STUDENT REGISTRATION INFO STATE BOE - CERTIFICATION Home K-12 Schools All Schools Elementary Schools Middle Schools Jr. Sr. Hig…
Franklin Special School District,TN,https://fssd.org/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
American Samoa,TN,https://www.doe.as/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Hamilton County Schools,TN,http://www.hcde.org/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Campbell County Schools,TN,http://www.campbell.k12.tn.us/,https://www.campbell.k12.tn.us/privacy-policy,https://www.campbell.k12.tn.us/departments/information-technology,,Missing: contact (crawl limited),2,0,0,1,0,1,,,"Strategic Plan Employee Handbook Libraries Community Resources Home > About Us > Director of Schools Director of Schools Nancy Lay Interim Director of Schools Privacy Policy Site Map Accessibility Campbell County Public Schools 172 Valley Street, Jacksboro, TN 37757 423-562-8377 …",,"enour Randy Heatherly Brandon Johnson Ronnie Lasley Jamie Wheeler Crystal Creekmore Ryne Cummins Lisa Fields Title: District 1 Board Member Phone: 423-871-3388, 423-566-4222 Jeffrey Miller Title: District 1 Board Member Send Email Phone: 423-871-3692 Jeffrey L Miller Jr, elected …"
Puerto Rico,TN,https://de.pr.gov/,,,,"Missing: policy, tech, contact (crawl limited)",1,0,0,1,0,0,,,rvicios Asuntos Academicos TAL SEPI Recursos Empleos Ofertas de Empleo Portal de Recursos Humanos Portal del Empleado Aplicaciones Internas Directorio Portal oficial del Gobierno de Puerto Rico Un sitio web oficial .pr.gov pertenece a una organización oficial del Gobierno de Puer…,,
Blount County Schools,TN,http://www.blountk12.org,https://www.blountk12.org/staff/human_resources/non-_discrimination_policy,,https://www.blountk12.org/staff/human_resources/non-_discrimination_policy,Missing: tech (crawl limited),1,0,0,0,0,1,,,,,s 2025-2026 2024 Annual Report How Do I? Get a Transcript Find My Zoned School Apply for Employment Find My Child's Bus Register for School Contact BCS Find My School's Phone Number Understand PreK in BCS Schools Volunteer in Blount County Schools Login to Powerschool for Parents…
Chester County Schools,TN,https://chestercountyschools.org,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Achievement School District,TN,http://achievementschooldistrict.org/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Jackson County Schools,TN,http://www.jacksoncotn.com,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
