district,state,homepage,found_policy_url,found_tech_url,found_contact_url,notes,score_0_to_5,public_ai_policy_exists,ai_use_publicly_disclosed,oversight_named,board_policy_mentions_ai,public_contact_available,evidence_public_ai_policy_exists,evidence_ai_use_publicly_disclosed,evidence_oversight_named,evidence_board_policy_mentions_ai,evidence_public_contact_available
Northern Mariana Islands,UT,https://www.cnmipss.org,https://www.cnmipss.org/state-boe-board-members,,https://www.cnmipss.org/contact-info,Missing: tech (crawl limited),2,0,0,1,0,1,,,ols Elementary Schools Middle Schools Jr. Sr. High Schools High Schools Curriculum & Instruction Special Programs School Calendar Child Nutrition Program Pupil Transportation Schools Directory Head Start/ Early Head Start Special Education Special Education Program overview Onlin…,,Vacancy Announcements PSS Policies & SOPs Human Resources HR Information Job Vacancy Announcements Employee Resources Gallery Photos Videos Contact Info STUDENT REGISTRATION INFO STATE BOE - CERTIFICATION Home K-12 Schools All Schools Elementary Schools Middle Schools Jr. Sr. Hig…
Snowbasin,UT,http://www.snowbasin.com,,,https://www.snowbasin.com/about/contact-us/,"Missing: policy, tech (crawl limited)",2,0,0,1,0,1,,,"rties, reunions, and celebrations where you can do as much or as little as you like. All enhanced by our award-winning culinary team, event coordinators providing custom itineraries, and majestic Wasatch Mountains. Contact Please reach out to our sales team at (801) 620-1075 or e…",,l Book Now Book Your Trip Tickets & Passes Lessons Ski & Board Rentals Dining Reservations Events Groups & Weddings My Account Sign in Cart Contact Us My Account Sign in Cart Contact Us 32°F Current 32°F Mostly Sunny Wind: 0 mph SE Watch Live Webcams Full Mountain Report Trails O…
Beaver,UT,http://beaver.utah.gov,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Alta Ski Area,UT,http://www.alta.com,https://www.alta.com/mountain-policy,,https://www.alta.com/contact,Missing: tech (crawl limited),1,0,0,0,0,1,,,,,History Culture Events Jobs Stories Photo of the Day Media Resources Hours Lifts Open Daily | 9:15am–4:30pm Office Open Daily | 8am–4:30pm Contact Us Gear Store In partnership with Mountain Collective Logo Forrest Service Logo Ikon Pass Logo ©2026 Alta Ski Area. All rights reserv…
Zion National Park,UT,https://www.nps.gov/zion/index.htm,https://www.nps.gov/aboutus/vulnerability-disclosure-policy.htm,,https://www.nps.gov/zion/contacts.htm,Missing: tech (crawl limited),1,0,0,0,0,1,,,,,ah Info Alerts Maps Calendar Fees Loading alerts Alerts In Effect Dismiss more information on current conditions... Dismiss View all alerts Contact Us Utah's First National Park Follow the paths where people have walked for thousands of years. Gaze up at massive sandstone cliffs …
Washington,UT,http://www.washco.state.ut.us,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Lagoon (amusement park),UT,http://www.lagoonpark.com/,https://www.lagoonpark.com/guest-policies/,,https://www.lagoonpark.com/contact-us/,Missing: tech (crawl limited),1,0,0,0,0,1,,,,,s Season Passport Club Season Parking Tickets Buy Single Day Tickets Deals & Packages Group Sales myFun Guest Portal myFun Portal Home FAQs Contact Us Guest Policies Terms of Use Privacy Policy Nutcracker Coming 2026! Explore See All See what is happening at Lagoon! Season Passpo…
South Sanpete School District [ 37 ],UT,https://www.ssanpete.org/,https://www.ssanpete.org/policies/c-school-administration.html,,https://www.ssanpete.org/policies/c-school-administration.html,Missing: tech (crawl limited),1,0,0,0,0,1,,,,,cation District CTE Manti CTE MHS Agriculture Gunnison CTE Technology APPS AUP Agreements Content Keeper Verifications Data Governance Plan Directory Information Employee Policies & Procedures (The Why) FERPA Notice Filtering Explained MetaData Dictionary Online Resources for Par…
Millard,UT,http://www.millardcounty.org,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Sanpete,UT,http://www.sanpete.com,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
