district,state,homepage,found_policy_url,found_tech_url,found_contact_url,notes,score_0_to_5,public_ai_policy_exists,ai_use_publicly_disclosed,oversight_named,board_policy_mentions_ai,public_contact_available,evidence_public_ai_policy_exists,evidence_ai_use_publicly_disclosed,evidence_oversight_named,evidence_board_policy_mentions_ai,evidence_public_contact_available
Inchelium School District 70,WA,https://www.inchelium.wednet.edu/,,,,"Missing: policy, tech, contact (crawl limited)",1,0,0,0,0,1,,,,,"Gallery Athletics skyward Important Notices Food services School calendar Find Us Inchelium School District PO Box 285 Inchelium, WA 99138 Phone 509-722-6181 Fax 509-383-5224 Schools Report Bullying Stay Connected Copyright © 2026 Inchelium School District. All rights reserved. P…"
Burlington-Edison School District 100,WA,http://www.be.wednet.edu/,https://www.be.wednet.edu/o/besd/page/school-board-policy-manual-copy,,https://www.be.wednet.edu/page/districtcontacts,Missing: tech (crawl limited),2,0,0,1,0,1,,,mni (BEAF) Camp Orkilla Booster Club Boys & Girls Club Tort Claim Form Packet B-ESD Golden Pass District Show submenu for District District Superintendent's Page District Policy & Procedures B-ESD Equity and Nondiscrimination B-ESD School Board District Contacts Departments Show …,,"nces; and STEM (Science, Technology, Engineering and Mathematics). For more information about CTE course offerings and admissions criteria, contact Kirk Hamilton, CTE Director, khamilton@be.wednet.edu (360-757-4074). Lack of English language proficiency will not be a barrier to a…"
Highline School District 401,WA,https://www.highlineschools.org/,https://www.highlineschools.org/about/board-policies,,,"Missing: tech, contact (crawl limited)",2,0,0,1,0,1,,,rategic Plan Listening Tour Feedback ThoughtExchange Results Strategic Plan Dashboard Our Promise Our Stories Report 2024-25 Priority Areas Superintendent Cabinet Invite the Superintendent to an Event Staff Directory School & Learning Sites Get Started Find Your School Enrollment…,,Strategic Plan Dashboard Our Promise Our Stories Report 2024-25 Priority Areas Superintendent Cabinet Invite the Superintendent to an Event Staff Directory School & Learning Sites Get Started Find Your School Enrollment Transfer Requests Kindergarten Start & Dismissal Times Middl…
Lynden School District 504,WA,https://www.lynden.wednet.edu/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Olympia School District 111,WA,https://osd.wednet.edu/,https://osd.wednet.edu/our_district/board_of_directors/board_policy_review,https://osd.wednet.edu/departments/student_support/assistive_technology,https://osd.wednet.edu/departments/student_support/staff,,2,0,0,1,0,1,,,"llment Student Insurance Technology Resources Transfers Our District 2023-24 Annual Report Accomplishments 2023-24 Accomplishments Board of Directors Agendas, Minutes & Board Packets Board Advisory Committees Board Meeting Schedule Board Policy Review Boundary Maps Communicating …",,ans School Boundaries School Finder School Hours School Improvement Plans School Performance Reports School Supply Lists Student Enrollment Staff Directory Superintendent Superintendent Goals Superintendent Messages TCTV Superintendents Roundtable Students Fees & Fines Graduation…
San Juan,WA,http://www.sanjuanco.com,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Natural Resources,WA,http://www.dnr.wa.gov/,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
Northshore School District 417,WA,http://www.nsd.org,https://www.nsd.org/our-district/leadership/policies-procedures,https://www.nsd.org/our-district/overview/bond-levies/renewal-technology-levy,https://www.nsd.org/our-district/departments/human-resources/current-employees/leave-of-absence/support-staff,,2,0,0,1,0,1,,,ed Language Art Docent Program Become an Art Docent Art Docent Program At Home Docent Portal Frameworks Training and Events Messages School Coordinator 50th Anniversary Updates Art Docent Newsletter Community Partners Scholarship Foundation of Northshore Northshore Schools Founda…,,mily Engagement Task Force Connect Social Media Facebook Twitter LinkedIn Social Media Community Guidelines Contact Us Department Directory Staff Directory Why won't my email go through? Interpreter and Translation Services Public Records Request Report Safety Concern Employment …
Ocosta School District 172,WA,http://www.ocosta.k12.wa.us/,,,,"Missing: policy, tech, contact (crawl limited)",2,0,0,1,0,1,,,use of a trained dog guide or service animal by a person with a disability and provides equal access to the Boy Scouts of America and other designated youth groups. Auxiliary aids and services will be provided upon request to individuals with disabilities. The following employee(…,,"rtification/fingerprints-background-checks/fingerprint-records-forms-and-resources For live-scan electronic fingerprinting services, please contact the Educational Service District (ESD) of your choice through their website for information on scheduling an appointment. If you are…"
Quincy School District 144,WA,http://quincypublicschools.com,,,,"Missing: policy, tech, contact (crawl limited)",0,0,0,0,0,0,,,,,
