district,state,index_score,tier,homepage,found_policy_url,found_tech_url,found_contact_url,emails_found,priority_email,cc_emails,send_class,packet_dir
Annette Island School District,AK,0,No Public AI Governance Signals,https://aisdk12.org,,,,contactus@aisdk12.org;kanderson@aisdk12.org;manderson@aisdk12.org;wbolton@aisdk12.org;dbooth@aisdk12.org;tebrendible@aisdk12.org;cbrendible@aisdk12.org;bbryant@aisdk12.org;jcaspersen@aisdk12.org;phoenixch@aisdk12.org;aclark@aisdk12.org;ccommack@aisdk12.org;ccook@aisdk12.org;sdenney@aisdk12.org;fdundas@aisdk12.org;rdundas@aisdk12.org;eeaton@aisdk12.org;kedenshaw@aisdk12.org;sedenshaw@aisdk12.org;cfagerholm@aisdk12.org;rfawcett@aisdk12.org,contactus@aisdk12.org,kanderson@aisdk12.org;manderson@aisdk12.org;wbolton@aisdk12.org;dbooth@aisdk12.org,GENERIC,outreach_out/AK_Annette_Island_School_District
Chatham School District,AK,0,No Public AI Governance Signals,https://ak01001788.schoolwires.net/,,,,,,,MANUAL_LOOKUP,outreach_out/AK_Chatham_School_District
Delta/Greely School District,AK,0,No Public AI Governance Signals,http://www.dgsd.k12.ak.us,,,,,,,MANUAL_LOOKUP,outreach_out/AK_Delta_Greely_School_District
Galena City School District,AK,0,No Public AI Governance Signals,https://www.galenaalaska.org/,,,,enrollment@galenanet.com;communications@gcsdk12.org,communications@gcsdk12.org,enrollment@galenanet.com,GENERIC,outreach_out/AK_Galena_City_School_District
Kake City School District,AK,0,No Public AI Governance Signals,https://kakeschools.com/,,,,nsuperintendent@kakeschools.com;naross@kakeschools.com;office@kakeschools.com;superintendent@kakeschools.com;aross@kakeschools.com;jgallanos@kakeschools.com;agallanos@kakeschools.com;rarceta@kakeschools.com;rbean@kakeschools.com;tacavanaugh@kakeschools.com;hchang@kakeschools.com;mchavolla@kakeschools.com;fbrendan@kakeschools.com;bfausett@kakeschools.com;ccook@kakeschools.com;cdavis@kakeschools.com;cflye@kakeschools.com;wfriday@ruralcap.org;jgrant@kakeschools.com;ehadley@kakeschools.com;mhadley@kakeschools.com;mhoward@kakeschools.com;ljackson@kakeschools.com;djarchow@kakeschools.com;ajohnson@kakeschools.com,nsuperintendent@kakeschools.com,superintendent@kakeschools.com;office@kakeschools.com;naross@kakeschools.com;aross@kakeschools.com,SUPERINTENDENT,outreach_out/AK_Kake_City_School_District
Kashunamiut School District,AK,0,No Public AI Governance Signals,http://chevakschool.org,,,,info@chevakschool.org,info@chevakschool.org,,GENERIC,outreach_out/AK_Kashunamiut_School_District
Kenai Peninsula Borough School District,AK,0,No Public AI Governance Signals,http://www.kpbsd.k12.ak.us/,,,,webmaster@kpbsd.k12.ak.us;nsipes@kpbsd.k12.ak.us;boardofeducation@kpbsd.k12.ak.us,nsipes@kpbsd.k12.ak.us,boardofeducation@kpbsd.k12.ak.us;webmaster@kpbsd.k12.ak.us,GENERIC,outreach_out/AK_Kenai_Peninsula_Borough_School_District
Nome Public Schools,AK,0,No Public AI Governance Signals,http://www.nomeschools.com,,,,,,,MANUAL_LOOKUP,outreach_out/AK_Nome_Public_Schools
Tanana City Schools,AK,0,No Public AI Governance Signals,http://aktcsd.schoolwires.net/site/default.aspx,,,,,,,MANUAL_LOOKUP,outreach_out/AK_Tanana_City_Schools
Wrangell Public School District,AK,0,No Public AI Governance Signals,http://www.wrangellschools.org/,,,,,,,MANUAL_LOOKUP,outreach_out/AK_Wrangell_Public_School_District
Blount County,AL,0,No Public AI Governance Signals,http://blountcountyschools.org/,,,,,,,MANUAL_LOOKUP,outreach_out/AL_Blount_County
Bullock County,AL,0,No Public AI Governance Signals,http://bullockcounty.schoolinsites.com/,,,,,,,MANUAL_LOOKUP,outreach_out/AL_Bullock_County
Calhoun County,AL,0,No Public AI Governance Signals,https://al01901382.schoolwires.net/ccboe,,,,,,,MANUAL_LOOKUP,outreach_out/AL_Calhoun_County
