district,state,score,homepage,superintendent_email,contact_email,source_page
Annette Island School District,AK,0,https://aisdk12.org,,,error
Delta/Greely School District,AK,0,http://www.dgsd.k12.ak.us,,,error
Tanana City Schools,AK,0,http://aktcsd.schoolwires.net/site/default.aspx,,,error
Kashunamiut School District,AK,0,http://chevakschool.org,,,error
Galena City School District,AK,0,https://www.galenaalaska.org/,,,error
Wrangell Public School District,AK,0,http://www.wrangellschools.org/,,,
Kenai Peninsula Borough School District,AK,0,http://www.kpbsd.k12.ak.us/,,,error
Kake City School District,AK,0,https://kakeschools.com/,,,error
Nome Public Schools,AK,0,http://www.nomeschools.com,,,error
Chatham School District,AK,0,https://ak01001788.schoolwires.net/,,,error
